age,female,male
0,81344,91980
1,77572,88088
2,73974,84360
3,70543,80791
4,67271,77372
5,63224,73513
6,60292,70402
7,57495,67423
8,56270,65487
9,55070,63607
10,49262,56297
11,48211,54680
12,47184,53110
13,54617,60738
14,63221,69461
15,78244,84242
16,90570,96341
17,104837,110177
18,124350,130454
19,147495,154462
20,200502,210073
21,237820,248733
22,282085,294508
23,280790,293622
24,279500,292737
25,258203,270379
26,257016,269564
27,255836,268753
28,245302,259793
29,235202,251133
30,218140,235765
31,209159,227905
32,200547,220308
33,195614,216708
34,190803,213167
35,185886,210533
36,181315,207092
37,176855,203708
38,176105,202716
39,175358,201729
40,177185,202671
41,176434,201683
42,175686,200701
43,174353,198892
44,173031,197100
45,169972,194373
46,168682,192620
47,167403,190884
48,168427,189913
49,169458,188946
50,173007,189347
51,174066,188383
52,175131,187424
53,174336,184958
54,173545,182525
55,179891,186059
56,179075,183611
57,178262,181196
58,163443,167387
59,149855,154631
60,131316,138950
61,120400,128360
62,110390,118578
63,99426,106221
64,89550,95151
65,76909,81291
66,69270,72820
67,62390,65231
68,60121,61466
69,57936,57919
70,56332,54700
71,54285,51544
72,52311,48569
73,53589,48463
74,54897,48357
75,62054,52996
76,63570,52880
77,65123,52764
78,60067,47497
79,55403,42755
80,48913,36913
81,45115,33228
82,41612,29910
83,36599,25430
84,32190,21620
85,28593,18382
86,25148,15629
87,22119,13287
88,17651,10207
89,14085,7841
90,10767,5694
91,8593,4375
92,6857,3361
93,4981,2373
94,3618,1676
95,2415,1094
96,1754,772
97,1274,545
98,926,385
99,672,272
100+,733,195
