area,mode,Year,Age,Male,Female
31,1,2021,16,73440,63162
31,1,2021,17,70328,60232
31,1,2021,18,67347,57436
31,1,2021,19,65406,56208
31,1,2021,20,63521,55005
31,1,2021,21,56214,49199
31,1,2021,22,54592,48144
31,1,2021,23,53016,47113
31,1,2021,24,60621,54528
31,1,2021,25,69315,63108
31,1,2021,26,84050,78092
31,1,2021,27,96106,90379
31,1,2021,28,109892,104599
31,1,2021,29,130099,124048
31,1,2021,30,154022,147116
31,1,2021,31,209450,199957
31,1,2021,32,247965,237136
31,1,2021,33,293562,281226
31,1,2021,34,292642,279885
31,1,2021,35,291718,278540
31,1,2021,36,269386,257253
31,1,2021,37,268511,256001
31,1,2021,38,267627,254752
31,1,2021,39,258620,244186
31,1,2021,40,249901,234052
31,1,2021,41,234495,216988
31,1,2021,42,226548,207961
31,1,2021,43,218852,199297
31,1,2021,44,215115,194285
31,1,2021,45,211414,189382
31,1,2021,46,208586,184363
31,1,2021,47,204939,179681
31,1,2021,48,201331,175103
31,1,2021,49,200068,174191
31,1,2021,50,198764,173264
31,1,2021,51,199293,174858
31,1,2021,52,197863,173886
31,1,2021,53,196381,172898
31,1,2021,54,194037,171318
31,1,2021,55,191644,169721
31,1,2021,56,188280,166394
31,1,2021,57,185810,164781
31,1,2021,58,183303,163156
31,1,2021,59,181482,163749
31,1,2021,60,179544,164302
31,1,2021,61,178739,167232
31,1,2021,62,176513,167697
31,1,2021,63,174166,168115
31,1,2021,64,170312,166701
31,1,2021,65,166369,165207
31,1,2021,66,167674,170355
31,1,2021,67,163421,168581
31,1,2021,68,159100,166707
31,1,2021,69,144838,151732
31,1,2021,70,131637,137969
31,1,2021,71,116168,119771
31,1,2021,72,105255,108683
31,1,2021,73,95239,98521
31,1,2021,74,83454,87645
31,1,2021,75,72983,77854
31,1,2021,76,60720,65840
31,1,2021,77,52848,58317
31,1,2021,78,45889,51587
31,1,2021,79,41821,48763
31,1,2021,80,37969,45966
31,1,2021,81,34388,43538
31,1,2021,82,30951,40717
31,1,2021,83,27742,37929
31,1,2021,84,26228,37415
31,1,2021,85,24648,36739
31,1,2021,86,25254,39623
31,1,2021,87,23404,38570
31,1,2021,88,21545,37386
31,1,2021,89,17777,32494
31,1,2021,90,14533,28051
31,1,2021,91,11277,23000
31,1,2021,92,9046,19591
31,1,2021,93,7193,16590
31,1,2021,94,5355,13318
31,1,2021,95,3951,10628
31,1,2021,96,2895,8517
31,1,2021,97,2111,6723
31,1,2021,98,1531,5280
31,1,2021,99,999,3742
31,1,2021,100,688,3042
31,1,2022,16,77290,67199
31,1,2022,17,73430,63156
