age,female,male
0,266811,300239
1,270630,304567
2,274504,308956
3,278433,313408
4,282418,317924
5,285204,321350
6,289287,325981
7,293427,330679
8,299757,337403
9,306224,344265
10,315334,354791
11,322136,362006
12,329086,369368
13,334113,372870
14,339217,376404
15,341401,375860
16,346617,379424
17,351912,383021
18,360274,389569
19,368834,396229
20,392219,414558
21,401538,421646
22,411078,428854
23,398427,419294
24,386165,409946
25,351742,381410
26,340917,372906
27,330425,364593
28,336270,372184
29,342218,379934
30,358059,397286
31,364393,405558
32,370838,414002
33,378293,423678
34,385897,433579
35,402106,455248
36,410189,465887
37,418435,476775
38,413157,468933
39,407945,461219
40,400431,449327
41,395379,441935
42,390392,434666
43,376447,416935
44,362999,399928
45,354613,388154
46,341946,372320
47,329731,357132
48,302186,325573
49,276943,296802
50,233371,248994
51,213876,226990
52,196010,206931
53,196890,206528
54,197774,206126
55,218605,225472
56,219586,225033
57,220572,224595
58,207486,211216
59,195177,198634
60,174522,179054
61,164167,168387
62,154428,158356
63,147597,150065
64,141069,142208
65,135703,134727
66,129700,127672
67,123963,120987
68,119313,115758
69,114838,110756
70,112775,108841
71,108545,104137
72,104473,99636
73,97758,91808
74,91474,84594
75,85864,77940
76,80345,71817
77,75181,66174
78,67485,58015
79,60577,50861
80,54677,44838
81,49081,39311
82,44057,34464
83,36783,27564
84,30710,22045
85,24993,16788
86,20867,13427
87,17422,10739
88,13538,8055
89,10520,6042
90,7789,4271
91,6051,3203
92,4702,2403
93,3540,1819
94,2665,1377
95,1951,1052
96,1469,796
97,1106,603
98,833,456
99,627,346
100+,568,209
