area,mode,Year,Age,Male,Female
53,1,2021,16,320005,284465
53,1,2021,17,324568,288526
53,1,2021,18,329172,292625
53,1,2021,19,335764,298885
53,1,2021,20,342468,305265
53,1,2021,21,352791,314267
53,1,2021,22,359794,320954
53,1,2021,23,366912,327772
53,1,2021,24,370165,332658
53,1,2021,25,373418,337593
53,1,2021,26,372619,339605
53,1,2021,27,375914,344636
53,1,2021,28,379258,349748
53,1,2021,29,385543,357908
53,1,2021,30,391956,366274
53,1,2021,31,409911,389355
53,1,2021,32,416738,398446
53,1,2021,33,423676,407734
53,1,2021,34,414050,394999
53,1,2021,35,404619,382629
53,1,2021,36,376222,348297
53,1,2021,37,367559,337346
53,1,2021,38,359047,326724
53,1,2021,39,366147,332245
53,1,2021,40,373312,337837
53,1,2021,41,389787,353140
53,1,2021,42,397226,358994
53,1,2021,43,404710,364890
53,1,2021,44,413266,371708
53,1,2021,45,421855,378566
53,1,2021,46,441653,393737
53,1,2021,47,450528,400844
53,1,2021,48,459438,408009
53,1,2021,49,450158,401914
53,1,2021,50,440808,395812
53,1,2021,51,427225,387398
53,1,2021,52,417739,381296
53,1,2021,53,408174,375180
53,1,2021,54,388676,360416
53,1,2021,55,369796,346077
53,1,2021,56,355693,336494
53,1,2021,57,337875,322826
53,1,2021,58,320705,309586
53,1,2021,59,289102,282052
53,1,2021,60,260214,256810
53,1,2021,61,215103,214841
53,1,2021,62,192910,195343
53,1,2021,63,172717,177495
53,1,2021,64,169010,176649
53,1,2021,65,165084,175607
53,1,2021,66,176402,191826
53,1,2021,67,171676,190195
53,1,2021,68,166769,188343
53,1,2021,69,152373,174442
53,1,2021,70,138824,161294
53,1,2021,71,120890,141501
53,1,2021,72,109633,130382
53,1,2021,73,99240,119938
53,1,2021,74,90355,111916
53,1,2021,75,82054,104187
53,1,2021,76,74246,97371
53,1,2021,77,66978,90233
53,1,2021,78,60223,83443
53,1,2021,79,54497,77554
53,1,2021,80,49060,71753
53,1,2021,81,45079,67277
53,1,2021,82,40129,61445
53,1,2021,83,35543,55765
53,1,2021,84,30172,48889
53,1,2021,85,25431,42568
53,1,2021,86,21242,36942
53,1,2021,87,17603,31777
53,1,2021,88,14470,27178
53,1,2021,89,11228,22174
53,1,2021,90,8621,17924
53,1,2021,91,6577,14420
53,1,2021,92,4944,11457
53,1,2021,93,3680,9037
53,1,2021,94,2476,6581
53,1,2021,95,1649,4758
53,1,2021,96,1038,3328
53,1,2021,97,683,2371
53,1,2021,98,448,1677
53,1,2021,99,274,1096
53,1,2021,100,165,765
53,1,2022,16,316527,281619
53,1,2022,17,319878,284395
53,1,2022,18,324420,288441
53,1,2022,19,329002,292524
53,1,2022,20,335576,298775
53,1,2022,21,342266,305152
53,1,2022,22,352573,314149
53,1,2022,23,359561,320831
53,1,2022,24,366664,327646
53,1,2022,25,369905,332521
53,1,2022,26,373146,337437
53,1,2022,27,372339,339431
53,1,2022,28,375622,344444
53,1,2022,29,378955,349535
53,1,2022,30,385223,357678
53,1,2022,31,391617,366031
53,1,2022,32,409541,389088
53,1,2022,33,416347,398165
53,1,2022,34,423265,407439
53,1,2022,35,413612,394689
53,1,2022,36,404135,382290
53,1,2022,37,375722,347953
53,1,2022,38,367021,336979
53,1,2022,39,358475,326337
53,1,2022,40,365496,331813
