age,female,male
0,107081,118801
1,106682,118136
2,106286,117474
3,105890,116817
4,105496,116163
5,102972,113147
6,102589,112514
7,102207,111884
8,105322,115124
9,108531,118459
10,112120,122393
11,115537,125939
12,119057,129586
13,126009,136682
14,133366,144167
15,144331,155049
16,152759,163539
17,161678,172495
18,169163,180351
19,176994,188565
20,190000,201695
21,198797,210882
22,208000,220486
23,206835,220646
24,205677,220805
25,199186,216359
26,198069,216515
27,196960,216671
28,194694,215171
29,192454,213682
30,182271,204038
31,180174,202626
32,178101,201223
33,187743,211465
34,197908,222229
35,224247,249145
36,236388,261826
37,249186,275154
38,248313,274698
39,247443,274244
40,241080,269243
41,240236,268797
42,239394,268353
43,234392,261956
44,229496,255712
45,224720,248990
46,220027,243055
47,215430,237262
48,206948,227041
49,198800,217261
50,187786,204827
51,180392,196002
52,173289,187559
53,167873,180192
54,162626,173114
55,163357,171444
56,158251,164709
57,153305,158239
58,140418,144455
59,128614,131872
60,112427,115676
61,102976,105600
62,94319,96401
63,87918,88930
64,81951,82038
65,75539,73734
66,70412,68020
67,65633,62749
68,63828,61561
69,62073,60397
70,64325,64145
71,62555,62931
72,60835,61740
73,55400,56396
74,50451,51515
75,45459,46405
76,41398,42389
77,37700,38720
78,32052,33023
79,27250,28164
80,22354,23411
81,19006,19966
82,16158,17029
83,13263,13707
84,10887,11034
85,9039,8844
86,7420,7118
87,6090,5730
88,4522,4121
89,3358,2963
90,2288,1904
91,1699,1370
92,1261,985
93,932,732
94,689,544
95,506,415
96,375,309
97,277,230
98,205,171
99,151,127
100+,117,71
