area,mode,Year,Age,Male,Female
15,1,2021,16,112906,102809
15,1,2021,17,112262,102424
15,1,2021,18,111617,102035
15,1,2021,19,114827,105133
15,1,2021,20,118127,108320
15,1,2021,21,122019,111884
15,1,2021,22,125519,115273
15,1,2021,23,129114,118762
15,1,2021,24,136138,125670
15,1,2021,25,143540,132973
15,1,2021,26,154317,143866
15,1,2021,27,162711,152226
15,1,2021,28,171568,161071
15,1,2021,29,179330,168484
15,1,2021,30,187450,176241
15,1,2021,31,200453,189147
15,1,2021,32,209532,197853
15,1,2021,33,219019,206955
15,1,2021,34,219123,205734
15,1,2021,35,219218,204511
15,1,2021,36,214724,197975
15,1,2021,37,214781,196778
15,1,2021,38,214820,195583
15,1,2021,39,213199,193234
15,1,2021,40,211565,190904
15,1,2021,41,201831,180687
15,1,2021,42,200219,178478
15,1,2021,43,198587,176278
15,1,2021,44,208403,185649
15,1,2021,45,218651,195490
15,1,2021,46,244665,221233
15,1,2021,47,256571,232895
15,1,2021,48,268996,245142
15,1,2021,49,267860,243893
15,1,2021,50,266615,242608
15,1,2021,51,260817,235903
15,1,2021,52,259316,234568
15,1,2021,53,257685,233192
15,1,2021,54,250235,227734
15,1,2021,55,242838,222337
15,1,2021,56,234905,217012
15,1,2021,57,227664,211743
15,1,2021,58,220509,206540
15,1,2021,59,209244,197607
15,1,2021,60,198312,188978
15,1,2021,61,184875,177621
15,1,2021,62,174702,169701
15,1,2021,63,164865,162057
15,1,2021,64,155981,155994
15,1,2021,65,147348,150030
15,1,2021,66,143255,149455
15,1,2021,67,134905,143445
15,1,2021,68,126845,137540
15,1,2021,69,113159,124565
15,1,2021,70,100712,112662
15,1,2021,71,85918,97102
15,1,2021,72,76159,87578
15,1,2021,73,67395,78880
15,1,2021,74,60168,72206
15,1,2021,75,53587,65968
15,1,2021,76,46353,59474
15,1,2021,77,41031,54132
15,1,2021,78,36209,49184
15,1,2021,79,33882,46550
15,1,2021,80,31551,43893
15,1,2021,81,31616,43861
15,1,2021,82,29122,40924
15,1,2021,83,26692,37987
15,1,2021,84,22667,32846
15,1,2021,85,19113,28236
15,1,2021,86,15753,23881
15,1,2021,87,13063,20309
15,1,2021,88,10746,17182
15,1,2021,89,8189,13502
15,1,2021,90,6174,10522
15,1,2021,91,4483,7838
15,1,2021,92,3308,6014
15,1,2021,93,2417,4583
15,1,2021,94,1651,3349
15,1,2021,95,1116,2431
15,1,2021,96,746,1773
15,1,2021,97,498,1270
15,1,2021,98,331,904
15,1,2021,99,195,578
15,1,2021,100,114,397
15,1,2022,16,115903,105312
15,1,2022,17,112879,102792
15,1,2022,18,112231,102403
15,1,2022,19,111582,102011
15,1,2022,20,114788,105106
15,1,2022,21,118085,108293
15,1,2022,22,121973,111855
