age,female,male
0,73735,81166
1,69093,76389
2,64743,71894
3,60668,67663
4,56848,63681
5,51323,58015
6,48091,54601
7,45064,51388
8,45148,51265
9,45232,51142
10,42842,47835
11,42921,47720
12,43001,47605
13,50047,55460
14,58247,64610
15,71306,79836
16,82990,93008
17,96587,108353
18,116004,129322
19,139323,154349
20,196079,214657
21,235496,256198
22,282836,305778
23,277774,299011
24,272804,292395
25,244972,259675
26,240588,253930
27,236282,248311
28,223165,236350
29,210776,224965
30,189682,205636
31,179151,195732
32,169205,186303
33,166598,184764
34,164031,183237
35,165059,186305
36,162515,184764
37,160011,183237
38,158731,181916
39,157460,180603
40,156292,179195
41,155040,177901
42,153800,176618
43,153597,175710
44,153395,174807
45,156559,178127
46,156353,177213
47,156148,176302
48,151334,168691
49,146668,161409
50,138245,149430
51,133984,142980
52,129853,136807
53,127877,132865
54,125931,129036
55,130765,131298
56,128776,127514
57,126816,123840
58,115653,112416
59,105472,102046
60,90219,87878
61,82278,79771
62,75035,72413
63,70132,66644
64,65550,61336
65,60135,54659
66,56205,50304
67,52533,46297
68,52334,46019
69,52136,45742
70,55821,48856
71,55609,48563
72,55398,48271
73,52197,46094
74,49181,44015
75,46343,42966
76,43665,41028
77,41141,39177
78,36187,34194
79,31829,29844
80,27284,25192
81,23998,21987
82,21108,19190
83,17671,15664
84,14793,12786
85,12310,10225
86,10304,8347
87,8626,6813
88,6689,5123
89,5187,3851
90,3848,2747
91,2985,2065
92,2315,1553
93,1697,1105
94,1244,786
95,867,531
96,635,378
97,466,269
98,341,191
99,250,136
100,406,146
