area,mode,Year,Age,Male,Female
11,1,2021,16,57958,51272
11,1,2021,17,54544,48042
11,1,2021,18,51330,45016
11,1,2021,19,51202,45097
11,1,2021,20,51074,45177
11,1,2021,21,47765,42786
11,1,2021,22,47644,42860
11,1,2021,23,47522,42935
11,1,2021,24,55354,49963
11,1,2021,25,64476,58141
11,1,2021,26,79656,71164
11,1,2021,27,92783,82811
11,1,2021,28,108075,96363
11,1,2021,29,128973,115716
11,1,2021,30,153914,138956
11,1,2021,31,214026,195533
11,1,2021,32,255414,234802
11,1,2021,33,304804,281954
11,1,2021,34,298022,276856
11,1,2021,35,291386,271844
11,1,2021,36,258730,244048
11,1,2021,37,252946,239615
11,1,2021,38,247280,235256
11,1,2021,39,235292,222125
11,1,2021,40,223871,209720
11,1,2021,41,204538,188656
11,1,2021,42,194577,178100
11,1,2021,43,185082,168125
11,1,2021,44,183418,165439
11,1,2021,45,181743,162780
11,1,2021,46,184597,163674
11,1,2021,47,182860,161015
11,1,2021,48,181117,158388
11,1,2021,49,179559,156963
11,1,2021,50,177971,155534
11,1,2021,51,176233,154189
11,1,2021,52,174560,152746
11,1,2021,53,172849,151300
11,1,2021,54,171456,150858
11,1,2021,55,170008,150389
11,1,2021,56,172589,153183
11,1,2021,57,170999,152649
11,1,2021,58,169358,152091
11,1,2021,59,161263,147029
11,1,2021,60,153442,142097
11,1,2021,61,141126,133519
11,1,2021,62,134043,128964
11,1,2021,63,127206,124525
11,1,2021,64,122427,122142
11,1,2021,65,117704,119736
11,1,2021,66,118424,123669
11,1,2021,67,113599,121053
11,1,2021,68,108850,118406
11,1,2021,69,97383,107177
11,1,2021,70,86980,96919
11,1,2021,71,73570,82113
11,1,2021,72,65509,74099
11,1,2021,73,58255,66797
11,1,2021,74,52452,61651
11,1,2021,75,47135,56816
11,1,2021,76,40911,51310
11,1,2021,77,36588,47148
11,1,2021,78,32647,43267
11,1,2021,79,31391,42267
11,1,2021,80,30069,41174
11,1,2021,81,30805,42927
11,1,2021,82,29254,41481
11,1,2021,83,27667,39926
11,1,2021,84,25038,36202
11,1,2021,85,22524,32675
11,1,2021,86,20562,29357
11,1,2021,87,18242,26264
11,1,2021,88,16077,23396
11,1,2021,89,12866,19375
11,1,2021,90,10203,15936
11,1,2021,91,7744,12675
11,1,2021,92,6025,10285
11,1,2021,93,4648,8297
11,1,2021,94,3323,6333
11,1,2021,95,2355,4805
11,1,2021,96,1624,3603
11,1,2021,97,1138,2704
11,1,2021,98,793,2018
11,1,2021,99,506,1388
11,1,2021,100,340,1081
11,1,2022,16,63614,56785
11,1,2022,17,57950,51266
11,1,2022,18,54536,48036
11,1,2022,19,51322,45010
11,1,2022,20,51193,45090
11,1,2022,21,51064,45170
11,1,2022,22,47756,42778
11,1,2022,23,47634,42853
11,1,2022,24,47511,42927
11,1,2022,25,55341,49954
11,1,2022,26,64460,58129
11,1,2022,27,79636,71148
11,1,2022,28,92760,82790
11,1,2022,29,108047,96337
