age,female,male
0,101318,113275
1,101654,113541
2,101992,113809
3,102332,114077
4,102672,114346
5,102923,114509
6,103266,114778
7,103609,115049
8,104106,115499
9,104605,115951
10,99833,111315
11,100311,111750
12,100792,112188
13,110024,121122
14,120102,130767
15,137464,147122
16,150055,158838
17,163800,171486
18,178111,184752
19,193674,199045
20,228905,231657
21,248907,249578
22,270655,268885
23,257607,256069
24,245188,243863
25,207212,206537
26,197222,196694
27,187714,187318
28,190959,191957
29,194259,196710
30,203723,209550
31,207245,214738
32,210827,220055
33,217865,227358
34,225139,234903
35,236150,244889
36,244033,253016
37,252180,261413
38,258162,268247
39,264285,275261
40,276089,289661
41,282637,297234
42,289341,305005
43,284009,298415
44,278774,291967
45,269798,280396
46,264827,274338
47,259946,268410
48,250186,257925
49,240792,247849
50,225350,232417
51,216890,223339
52,208746,214614
53,206465,211011
54,204209,207468
55,213700,215025
56,211364,211416
57,209055,207866
58,192862,190876
59,177924,175274
60,157411,154609
61,145218,141972
62,133970,130368
63,122647,118507
64,112282,107726
65,99950,94345
66,91504,85761
67,83770,77959
68,80071,75069
69,76535,72287
70,77080,74582
71,73677,71817
72,70423,69155
73,64423,62897
74,58934,57204
75,53257,50718
76,48719,46127
77,44568,41952
78,39384,37162
79,34803,32919
80,30851,29563
81,27262,26186
82,24091,23196
83,20052,19157
84,16691,15821
85,13699,12808
86,11403,10579
87,9491,8737
88,7306,6624
89,5624,5022
90,4052,3537
91,3119,2682
92,2401,2033
93,1849,1542
94,1424,1170
95,1098,887
96,845,674
97,651,511
98,501,388
99,386,294
100+,331,248
