area,mode,Year,Age,Male,Female
22,1,2021,16,114323,102777
22,1,2021,17,114582,103116
22,1,2021,18,114838,103452
22,1,2021,19,115269,103938
22,1,2021,20,115699,104422
22,1,2021,21,111051,99644
22,1,2021,22,111461,100105
22,1,2021,23,111871,100568
22,1,2021,24,120748,109758
22,1,2021,25,130326,119785
22,1,2021,26,146584,137067
22,1,2021,27,158215,149585
22,1,2021,28,170772,163249
22,1,2021,29,183942,177470
22,1,2021,30,198133,192935
22,1,2021,31,230551,227983
22,1,2021,32,248338,247847
22,1,2021,33,267496,269434
22,1,2021,34,254696,256377
22,1,2021,35,242499,243940
22,1,2021,36,205321,206082
22,1,2021,37,195465,196068
22,1,2021,38,186067,186536
22,1,2021,39,190578,189673
22,1,2021,40,195179,192853
22,1,2021,41,207765,202132
22,1,2021,42,212723,205491
22,1,2021,43,217770,208886
22,1,2021,44,224741,215679
22,1,2021,45,231888,222664
22,1,2021,46,241367,233293
22,1,2021,47,248940,240787
22,1,2021,48,256702,248495
22,1,2021,49,262853,254023
22,1,2021,50,269055,259633
22,1,2021,51,282286,270746
22,1,2021,52,288671,276625
22,1,2021,53,295063,282582
22,1,2021,54,287426,276732
22,1,2021,55,279825,270929
22,1,2021,56,267245,261448
22,1,2021,57,259884,255827
22,1,2021,58,252586,250261
22,1,2021,59,240989,239986
22,1,2021,60,229679,230044
22,1,2021,61,213317,214325
22,1,2021,62,202788,205269
22,1,2021,63,192544,196510
22,1,2021,64,186830,193247
22,1,2021,65,181031,189890
22,1,2021,66,184635,197221
22,1,2021,67,178398,193423
22,1,2021,68,172129,189524
22,1,2021,69,154898,173050
22,1,2021,70,139094,157812
22,1,2021,71,119719,137819
22,1,2021,72,107103,125350
22,1,2021,73,95665,113865
22,1,2021,74,84457,102511
22,1,2021,75,74392,92120
22,1,2021,76,62944,80334
22,1,2021,77,55125,71935
22,1,2021,78,48140,64309
22,1,2021,79,44411,59935
22,1,2021,80,40784,55663
22,1,2021,81,39905,54187
22,1,2021,82,36271,49828
22,1,2021,83,32810,45596
22,1,2021,84,27902,39735
22,1,2021,85,23566,34437
22,1,2021,86,19239,29322
22,1,2021,87,15991,25150
22,1,2021,88,13189,21465
22,1,2021,89,10515,17611
22,1,2021,90,8297,14333
22,1,2021,91,6561,11598
22,1,2021,92,5069,9297
22,1,2021,93,3879,7405
22,1,2021,94,2741,5519
22,1,2021,95,1918,4086
22,1,2021,96,1306,2964
22,1,2021,97,902,2167
22,1,2021,98,620,1574
22,1,2021,99,389,1051
22,1,2021,100,248,770
22,1,2022,16,114151,102511
22,1,2022,17,114301,102761
22,1,2022,18,114556,103097
22,1,2022,19,114809,103430
