age,female,male
0,406251,449120
1,405804,449586
2,405358,450052
3,404912,450519
4,404467,450986
5,395057,442391
6,394623,442850
7,394189,443309
8,408490,458727
9,423310,474680
10,444965,500852
11,461109,518270
12,477839,536294
13,500559,554621
14,524359,573574
15,565602,605677
16,592496,626375
17,620667,647780
18,626815,647509
19,633024,647237
20,654968,659914
21,661456,659636
22,668007,659360
23,624273,615135
24,583401,573877
25,495235,488240
26,462813,455493
27,432512,424942
28,439058,431656
29,445703,438476
30,451199,443231
31,458028,450235
32,464960,457348
33,512874,507459
34,565726,563062
35,699699,704000
36,771802,781136
37,851337,866725
38,844588,862345
39,837893,857987
40,803759,825721
41,797387,821547
42,791066,817395
43,748544,773570
44,708307,732094
45,657154,676106
46,621830,639857
47,588404,605551
48,545971,565161
49,506599,527465
50,426909,453318
51,396123,423083
52,367557,394863
53,394462,418840
54,423338,444272
55,537373,543720
56,576709,576736
57,618925,611756
58,580952,581346
59,545308,552447
60,468318,491482
61,439584,467051
62,412613,443834
63,391456,420427
64,371383,398254
65,356248,378738
66,337981,358764
67,320650,339843
68,301980,318372
69,284397,298258
70,268634,281325
71,252994,263550
72,238263,246899
73,221148,225182
74,205262,205375
75,190331,185589
76,176659,169264
77,163969,154375
78,149650,138276
79,136582,123855
80,127380,114126
81,116256,102225
82,106104,91564
83,90522,75146
84,77229,61671
85,64474,48727
86,55006,39989
87,46928,32819
88,37508,24999
89,29979,19043
90,23158,13698
91,18509,10434
92,14794,7948
93,11261,5942
94,8572,4442
95,6253,3266
96,4761,2442
97,3624,1825
98,2758,1365
99,2100,1020
100+,2311,916
