area,mode,Year,Age,Male,Female
51,1,2021,16,441474,394450
51,1,2021,17,441886,394005
51,1,2021,18,442279,393545
51,1,2021,19,457575,407777
51,1,2021,20,473384,422511
51,1,2021,21,499362,444056
51,1,2021,22,516587,460087
51,1,2021,23,534392,476689
51,1,2021,24,552472,499251
51,1,2021,25,571145,522861
51,1,2021,26,602893,563834
51,1,2021,27,623287,590489
51,1,2021,28,644388,618406
51,1,2021,29,643939,624374
51,1,2021,30,643508,630411
51,1,2021,31,655956,652114
51,1,2021,32,655521,658408
51,1,2021,33,655086,664749
51,1,2021,34,610998,621048
51,1,2021,35,569856,580189
51,1,2021,36,484644,492313
51,1,2021,37,451937,459884
51,1,2021,38,421402,429576
51,1,2021,39,427798,435860
51,1,2021,40,434237,442216
51,1,2021,41,438553,447391
51,1,2021,42,445015,453839
51,1,2021,43,451498,460336
51,1,2021,44,500281,507316
51,1,2021,45,554204,559009
51,1,2021,46,691625,690559
51,1,2021,47,765802,760719
51,1,2021,48,847747,837909
51,1,2021,49,841332,829974
51,1,2021,50,834617,821978
51,1,2021,51,800406,786977
51,1,2021,52,793147,779093
51,1,2021,53,785532,771137
51,1,2021,54,739616,727865
51,1,2021,55,695923,686816
51,1,2021,56,638555,635230
51,1,2021,57,600061,599054
51,1,2021,58,563537,564781
51,1,2021,59,521614,521992
51,1,2021,60,482225,482245
51,1,2021,61,409875,404419
51,1,2021,62,377831,373274
51,1,2021,63,347819,344368
51,1,2021,64,363408,367288
51,1,2021,65,379110,391412
51,1,2021,66,455586,492834
51,1,2021,67,473807,524142
51,1,2021,68,492003,556894
51,1,2021,69,457025,517001
51,1,2021,70,423540,479333
51,1,2021,71,366576,406015
51,1,2021,72,338358,375395
51,1,2021,73,311789,346622
51,1,2021,74,285924,323065
51,1,2021,75,261576,300532
51,1,2021,76,239500,282088
51,1,2021,77,217772,261444
51,1,2021,78,197416,241898
51,1,2021,79,176473,221821
51,1,2021,80,156988,202670
51,1,2021,81,139776,184721
51,1,2021,82,123003,167033
51,1,2021,83,107705,150270
51,1,2021,84,91371,132549
51,1,2021,85,76966,116250
51,1,2021,86,63673,101284
51,1,2021,87,52748,87887
51,1,2021,88,43351,75871
51,1,2021,89,34717,64081
51,1,2021,90,27508,53678
51,1,2021,91,22155,45527
51,1,2021,92,17181,37548
51,1,2021,93,13194,30762
51,1,2021,94,9194,23402
51,1,2021,95,6343,17683
51,1,2021,96,4180,12990
51,1,2021,97,2847,9689
51,1,2021,98,1929,7181
51,1,2021,99,1206,4953
51,1,2021,100,760,3808
51,1,2022,16,450004,403783
51,1,2022,17,441371,394385
51,1,2022,18,441766,393928
51,1,2022,19,442143,393455
51,1,2022,20,457423,407676
51,1,2022,21,473218,422406
51,1,2022,22,499178,443944
51,1,2022,23,516388,459970
51,1,2022,24,534176,476567
51,1,2022,25,552239,499114
51,1,2022,26,570895,522699
51,1,2022,27,602620,563642
51,1,2022,28,622995,590268
51,1,2022,29,644077,618154
51,1,2022,30,643616,624105
51,1,2022,31,643171,630130
51,1,2022,32,655599,651814
51,1,2022,33,655150,658096
51,1,2022,34,654703,664425
51,1,2022,35,610607,620720
51,1,2022,36,569439,579843
51,1,2022,37,484246,491985
51,1,2022,38,451526,459548
51,1,2022,39,420982,429233
51,1,2022,40,427319,435478
51,1,2022,41,433682,441789
51,1,2022,42,437925,446920
51,1,2022,43,444308,453321
51,1,2022,44,450713,459772
51,1,2022,45,499302,506628
51,1,2022,46,552959,558154
51,1,2022,47,689876,689386
51,1,2022,48,763649,759298
51,1,2022,49,845136,836204
51,1,2022,50,838356,828113
51,1,2022,51,831123,819931
51,1,2022,52,796549,784824
51,1,2022,53,788823,776770
51,1,2022,54,780759,768654
51,1,2022,55,734589,725286
51,1,2022,56,690622,684104
51,1,2022,57,633174,632466
51,1,2022,58,594517,596208
51,1,2022,59,557900,561877
51,1,2022,60,515697,519041
51,1,2022,61,475831,479213
51,1,2022,62,403676,401624
51,1,2022,63,371412,370462
51,1,2022,64,341267,341568
51,1,2022,65,355842,363959
51,1,2022,66,370419,387364
51,1,2022,67,444188,487122
51,1,2022,68,460963,517413
51,1,2022,69,477667,549063
51,1,2022,70,442448,508949
51,1,2022,71,408549,471004
51,1,2022,72,352345,398239
51,1,2022,73,324066,367540
51,1,2022,74,297575,338769
51,1,2022,75,271733,315021
51,1,2022,76,247351,292221
51,1,2022,77,225356,273524
51,1,2022,78,203899,252800
51,1,2022,79,183950,233283
