age,female,male
0,45872,51813
1,44498,50353
2,43165,48934
3,41872,47554
4,40618,46214
5,38554,44061
6,37400,42819
7,36279,41612
8,36531,41790
9,36784,41968
10,34862,39520
11,35103,39689
12,35346,39858
13,40454,45593
14,46299,52153
15,56371,62761
16,64517,71792
17,73839,82122
18,84868,95916
19,97546,112028
20,127712,151349
21,146788,176773
22,168715,206466
23,160538,198159
24,152756,190186
25,130223,163846
26,123910,157254
27,117904,150927
28,111888,143378
29,106178,136206
30,97393,124877
31,92423,118631
32,87707,112698
33,88109,112674
34,88512,112651
35,91926,116097
36,92348,116072
37,92770,116048
38,93452,116252
39,94138,116457
40,94672,116983
41,95368,117188
42,96068,117394
43,97297,117293
44,98542,117192
45,101718,118493
46,103018,118392
47,104336,118290
48,102941,115527
49,101565,112830
50,98553,108502
51,97235,105968
52,95935,103494
53,94782,101330
54,93644,99212
55,96683,101299
56,95521,99180
57,94374,97107
58,86371,88425
59,79047,80520
60,68613,69920
61,62794,63669
62,57469,57977
63,52809,52670
64,48526,47850
65,43699,42367
66,40155,38489
67,36898,34967
68,35406,33269
69,33974,31655
70,33689,31031
71,32327,29525
72,31019,28092
73,29530,26774
74,28112,25517
75,27406,25240
76,26091,24055
77,24838,22926
78,22403,20419
79,20206,18186
80,18197,16057
81,16413,14301
82,14803,12737
83,12396,10449
84,10380,8571
85,8522,6811
86,7135,5588
87,5975,4584
88,4579,3467
89,3509,2622
90,2511,1856
91,1925,1404
92,1475,1062
93,1110,795
94,836,595
95,618,441
96,466,331
97,351,248
98,264,185
99,199,139
100+,136,80
