area,mode,Year,Age,Male,Female
12,1,2021,16,44013,38509
12,1,2021,17,42770,37355
12,1,2021,18,41561,36234
12,1,2021,19,41734,36482
12,1,2021,20,41906,36731
12,1,2021,21,39457,34808
12,1,2021,22,39619,35044
12,1,2021,23,39781,35281
12,1,2021,24,45497,40373
12,1,2021,25,52034,46198
12,1,2021,26,62606,56237
12,1,2021,27,71601,64351
12,1,2021,28,81891,73635
12,1,2021,29,95632,84617
12,1,2021,30,111681,97240
12,1,2021,31,150860,127289
12,1,2021,32,176178,146273
12,1,2021,33,205744,168089
12,1,2021,34,197439,159907
12,1,2021,35,189465,152116
12,1,2021,36,163191,129638
12,1,2021,37,156585,123313
12,1,2021,38,150239,117295
12,1,2021,39,142674,111267
12,1,2021,40,135479,105545
12,1,2021,41,124145,96766
12,1,2021,42,117863,91778
12,1,2021,43,111888,87041
12,1,2021,44,111774,87380
12,1,2021,45,111644,87709
12,1,2021,46,114930,91009
12,1,2021,47,114761,91335
12,1,2021,48,114577,91651
12,1,2021,49,114603,92215
12,1,2021,50,114599,92770
12,1,2021,51,114867,93159
12,1,2021,52,114781,93692
12,1,2021,53,114655,94213
12,1,2021,54,114190,95236
12,1,2021,55,113677,96249
12,1,2021,56,114470,99114
12,1,2021,57,113860,100121
12,1,2021,58,113206,101118
12,1,2021,59,109978,99466
12,1,2021,60,106758,97810
12,1,2021,61,101931,94558
12,1,2021,62,98754,92916
12,1,2021,63,95588,91270
12,1,2021,64,92670,89746
12,1,2021,65,89740,88190
12,1,2021,66,90514,90480
12,1,2021,67,87444,88761
12,1,2021,68,84381,87004
12,1,2021,69,75642,78935
12,1,2021,70,67690,71535
12,1,2021,71,57656,61409
12,1,2021,72,51429,55522
12,1,2021,73,45811,50142
12,1,2021,74,40655,45416
12,1,2021,75,36006,41066
12,1,2021,76,30999,36326
12,1,2021,77,27317,32743
12,1,2021,78,24015,29469
12,1,2021,79,22058,27658
12,1,2021,80,20182,25878
12,1,2021,81,18931,24905
12,1,2021,82,17164,23095
12,1,2021,83,15497,21323
12,1,2021,84,13957,19446
12,1,2021,85,12492,17646
12,1,2021,86,11517,16314
12,1,2021,87,10161,14664
12,1,2021,88,8903,13119
12,1,2021,89,7241,11070
12,1,2021,90,5833,9273
12,1,2021,91,4609,7691
12,1,2021,92,3642,6351
12,1,2021,93,2852,5212
12,1,2021,94,2038,3946
12,1,2021,95,1443,2969
12,1,2021,96,983,2177
12,1,2021,97,688,1619
12,1,2021,98,479,1197
12,1,2021,99,306,805
12,1,2021,100,204,600
12,1,2022,16,46161,40565
12,1,2022,17,44007,38504
12,1,2022,18,42763,37349
12,1,2022,19,41553,36227
12,1,2022,20,41726,36475
12,1,2022,21,41898,36724
12,1,2022,22,39448,34801
12,1,2022,23,39610,35037
12,1,2022,24,39772,35274
12,1,2022,25,45486,40365
12,1,2022,26,52020,46187
12,1,2022,27,62589,56222
12,1,2022,28,71581,64332
12,1,2022,29,81867,73611
12,1,2022,30,95603,84588
12,1,2022,31,111646,97206
12,1,2022,32,150811,127243
12,1,2022,33,176119,146219
12,1,2022,34,205672,168025
12,1,2022,35,197363,159841
12,1,2022,36,189381,152045
12,1,2022,37,163110,129571
12,1,2022,38,156498,123243
12,1,2022,39,150148,117222
12,1,2022,40,142576,111191
12,1,2022,41,135373,105465
12,1,2022,42,124036,96687
12,1,2022,43,117747,91696
12,1,2022,44,111768,86958
12,1,2022,45,111638,87288
12,1,2022,46,111488,87605
12,1,2022,47,114749,90888
12,1,2022,48,114559,91201
12,1,2022,49,114356,91506
12,1,2022,50,114347,92054
12,1,2022,51,114295,92589
12,1,2022,52,114515,92960
12,1,2022,53,114381,93474
12,1,2022,54,114209,93977
12,1,2022,55,113691,94973
12,1,2022,56,113119,95952
12,1,2022,57,113846,98778
