age,female,male
0,38174,43441
1,38663,43836
2,39160,44236
3,39663,44638
4,40172,45045
5,40378,45190
6,40895,45602
7,41420,46018
8,42478,46882
9,43563,47763
10,44927,48905
11,46075,49823
12,47251,50759
13,48582,51760
14,49950,52781
15,52259,54582
16,53729,55658
17,55242,56756
18,55354,56615
19,55467,56475
20,55475,56117
21,55588,55978
22,55700,55839
23,54580,54842
24,53481,53863
25,50711,51320
26,49690,50403
27,48690,49504
28,49286,50358
29,49889,51228
30,51355,53087
31,51985,54004
32,52621,54937
33,53494,56097
34,54382,57282
35,56114,59626
36,57045,60886
37,57992,62172
38,57769,61743
39,57547,61316
40,58324,61358
41,58101,60934
42,57877,60514
43,54803,57636
44,51892,54894
45,48294,51923
46,45728,49454
47,43299,47102
48,39864,43259
49,36702,39731
50,31604,34073
51,29097,31295
52,26788,28742
53,26926,28630
54,27064,28518
55,29967,31116
56,30120,30993
57,30275,30872
58,28309,28687
59,26471,26656
60,23381,23435
61,21863,21776
62,20443,20234
63,19489,19162
64,18580,18145
65,18032,17343
66,17191,16424
67,16388,15553
68,15476,14816
69,14615,14114
70,14088,13886
71,13303,13228
72,12563,12601
73,11279,11387
74,10127,10290
75,9050,9227
76,8125,8337
77,7295,7534
78,6147,6423
79,5180,5476
80,4203,4573
81,3541,3898
82,2984,3323
83,2459,2691
84,2025,2180
85,1684,1742
86,1388,1410
87,1144,1142
88,880,861
89,677,649
90,489,458
91,377,346
92,290,261
93,225,198
94,174,150
95,136,116
96,105,87
97,81,66
98,63,50
99,49,38
100+,56,20
