area,mode,Year,Age,Male,Female
64,1,2021,16,45083,40304
64,1,2021,17,45489,40818
64,1,2021,18,45897,41339
64,1,2021,19,46749,42389
64,1,2021,20,47616,43465
64,1,2021,21,48741,44818
64,1,2021,22,49641,45953
64,1,2021,23,50556,47115
64,1,2021,24,51534,48430
64,1,2021,25,52530,49779
64,1,2021,26,54300,52063
64,1,2021,27,55349,53511
64,1,2021,28,56421,55001
64,1,2021,29,56264,55095
64,1,2021,30,56109,55193
64,1,2021,31,55738,55186
64,1,2021,32,55585,55281
64,1,2021,33,55432,55375
64,1,2021,34,54427,54243
64,1,2021,35,53439,53129
64,1,2021,36,50896,50353
64,1,2021,37,49962,49314
64,1,2021,38,49042,48295
64,1,2021,39,49854,48858
64,1,2021,40,50674,49424
64,1,2021,41,52462,50839
64,1,2021,42,53306,51420
64,1,2021,43,54155,51999
64,1,2021,44,55216,52806
64,1,2021,45,56283,53616
64,1,2021,46,58466,55245
64,1,2021,47,59566,56075
64,1,2021,48,60671,56910
64,1,2021,49,60087,56587
64,1,2021,50,59482,56256
64,1,2021,51,59296,56887
64,1,2021,52,58630,56530
64,1,2021,53,57939,56160
64,1,2021,54,54881,53021
64,1,2021,55,51946,50040
64,1,2021,56,48795,46401
64,1,2021,57,46124,43761
64,1,2021,58,43571,41259
64,1,2021,59,39664,37811
64,1,2021,60,36063,34635
64,1,2021,61,30565,29655
64,1,2021,62,27706,27134
64,1,2021,63,25078,24813
64,1,2021,64,24583,24760
64,1,2021,65,24059,24684
64,1,2021,66,25750,27075
64,1,2021,67,25119,26930
64,1,2021,68,24467,26758
64,1,2021,69,22197,24707
64,1,2021,70,20088,22780
64,1,2021,71,17158,19807
64,1,2021,72,15464,18207
64,1,2021,73,13913,16711
64,1,2021,74,12737,15616
64,1,2021,75,11630,14562
64,1,2021,76,10686,13793
64,1,2021,77,9697,12811
64,1,2021,78,8773,11876
64,1,2021,79,7960,10887
64,1,2021,80,7187,9941
64,1,2021,81,6661,9210
64,1,2021,82,5948,8314
64,1,2021,83,5285,7465
64,1,2021,84,4433,6335
64,1,2021,85,3691,5344
64,1,2021,86,3023,4460
64,1,2021,87,2475,3719
64,1,2021,88,2010,3085
64,1,2021,89,1528,2389
64,1,2021,90,1150,1834
64,1,2021,91,837,1343
64,1,2021,92,616,1014
64,1,2021,93,449,761
64,1,2021,94,308,554
64,1,2021,95,209,401
64,1,2021,96,139,290
64,1,2021,97,93,207
64,1,2021,98,62,147
64,1,2021,99,38,96
64,1,2021,100,24,69
64,1,2022,16,44933,40091
64,1,2022,17,45072,40296
64,1,2022,18,45476,40809
64,1,2022,19,45881,41328
64,1,2022,20,46732,42377
64,1,2022,21,47597,43452
64,1,2022,22,48721,44804
64,1,2022,23,49620,45940
64,1,2022,24,50534,47101
64,1,2022,25,51511,48415
64,1,2022,26,52504,49762
64,1,2022,27,54273,52043
64,1,2022,28,55321,53488
64,1,2022,29,56392,54975
64,1,2022,30,56233,55068
64,1,2022,31,56077,55164
64,1,2022,32,55705,55156
64,1,2022,33,55551,55251
64,1,2022,34,55396,55344
64,1,2022,35,54389,54210
64,1,2022,36,53396,53092
64,1,2022,37,50850,50315
64,1,2022,38,49912,49273
64,1,2022,39,48989,48251
64,1,2022,40,49794,48808
64,1,2022,41,50604,49369
64,1,2022,42,52380,50777
64,1,2022,43,53214,51352
64,1,2022,44,54053,51926
64,1,2022,45,55099,52723
64,1,2022,46,56146,53521
64,1,2022,47,58306,55137
64,1,2022,48,59385,55954
64,1,2022,49,60470,56776
64,1,2022,50,59858,56441
64,1,2022,51,59214,56094
64,1,2022,52,58989,56707
64,1,2022,53,58287,56335
64,1,2022,54,57562,55951
64,1,2022,55,54481,52804
64,1,2022,56,51523,49812
64,1,2022,57,48356,46167
64,1,2022,58,45670,43521
64,1,2022,59,43106,41014
64,1,2022,60,39185,37564
64,1,2022,61,35554,34383
64,1,2022,62,30074,29418
64,1,2022,63,27206,26898
64,1,2022,64,24576,24580
64,1,2022,65,24040,24501
64,1,2022,66,23475,24390
64,1,2022,67,25068,26715
64,1,2022,68,24400,26535
64,1,2022,69,23714,26329
64,1,2022,70,21450,24269
64,1,2022,71,19339,22330
64,1,2022,72,16457,19377
64,1,2022,73,14777,17775
64,1,2022,74,13247,16283
64,1,2022,75,12074,15177
64,1,2022,76,10968,14109
64,1,2022,77,10025,13322
64,1,2022,78,9052,12336
64,1,2022,79,8148,11402
64,1,2022,80,7342,10400
64,1,2022,81,6571,9427
64,1,2022,82,6038,8672
64,1,2022,83,5345,7773
64,1,2022,84,4709,6929
64,1,2022,85,3907,5837
64,1,2022,86,3211,4885
64,1,2022,87,2596,4045
64,1,2022,88,2098,3347
64,1,2022,89,1683,2755
64,1,2022,90,1260,2111
64,1,2022,91,930,1597
64,1,2022,92,665,1153
64,1,2022,93,480,859
64,1,2022,94,344,635
64,1,2022,95,231,456
64,1,2022,96,154,325
64,1,2022,97,101,233
64,1,2022,98,66,164
64,1,2022,99,43,114
64,1,2022,100,27,82
64,1,2023,16,44521,39572
64,1,2023,17,44922,40083
64,1,2023,18,45059,40287
64,1,2023,19,45461,40799
64,1,2023,20,45865,41317
64,1,2023,21,46714,42366
64,1,2023,22,47579,43440
64,1,2023,23,48701,44792
64,1,2023,24,49599,45927
64,1,2023,25,50512,47087
64,1,2023,26,51487,48398
64,1,2023,27,52479,49743
64,1,2023,28,54246,52021
64,1,2023,29,55293,53463
64,1,2023,30,56362,54948
64,1,2023,31,56202,55040
64,1,2023,32,56045,55136
64,1,2023,33,55672,55127
64,1,2023,34,55517,55221
64,1,2023,35,55359,55311
64,1,2023,36,54347,54173
64,1,2023,37,53350,53053
64,1,2023,38,50801,50273
64,1,2023,39,49860,49228
64,1,2023,40,48931,48203
64,1,2023,41,49727,48755
64,1,2023,42,50528,49310
64,1,2023,43,52293,50712
64,1,2023,44,53117,51281
64,1,2023,45,53942,51847
64,1,2023,46,54969,52633
64,1,2023,47,55997,53420
64,1,2023,48,58135,55022
64,1,2023,49,59194,55826
64,1,2023,50,60246,56633
64,1,2023,51,59597,56283
64,1,2023,52,58916,55922
64,1,2023,53,58654,56518
64,1,2023,54,57918,56132
64,1,2023,55,57154,55729
64,1,2023,56,54049,52571
64,1,2023,57,51070,49570
64,1,2023,58,47890,45922
64,1,2023,59,45194,43271
64,1,2023,60,42598,40755
64,1,2023,61,38645,37300
64,1,2023,62,34995,34117
64,1,2023,63,29542,29170
64,1,2023,64,26673,26653
64,1,2023,65,24044,24331
64,1,2023,66,23468,24219
64,1,2023,67,22866,24076
64,1,2023,68,24364,26335
64,1,2023,69,23664,26122
64,1,2023,70,22931,25876
64,1,2023,71,20665,23803
64,1,2023,72,18563,21859
64,1,2023,73,15739,18931
64,1,2023,74,14082,17333
64,1,2023,75,12568,15838
64,1,2023,76,11396,14717
64,1,2023,77,10300,13640
64,1,2023,78,9367,12841
64,1,2023,79,8416,11857
64,1,2023,80,7525,10905
64,1,2023,81,6722,9875
64,1,2023,82,5964,8889
64,1,2023,83,5433,8121
64,1,2023,84,4769,7228
64,1,2023,85,4157,6397
64,1,2023,86,3405,5347
64,1,2023,87,2762,4441
64,1,2023,88,2205,3649
64,1,2023,89,1759,2996
64,1,2023,90,1389,2441
64,1,2023,91,1021,1844
64,1,2023,92,740,1376
64,1,2023,93,520,980
64,1,2023,94,369,720
64,1,2023,95,259,525
64,1,2023,96,171,372
64,1,2023,97,112,262
64,1,2023,98,72,185
64,1,2023,99,46,128
64,1,2023,100,30,97
64,1,2024,16,44105,39050
64,1,2024,17,44510,39565
64,1,2024,18,44910,40075
64,1,2024,19,45045,40277
64,1,2024,20,45445,40788
64,1,2024,21,45849,41306
64,1,2024,22,46697,42354
64,1,2024,23,47560,43428
64,1,2024,24,48681,44779
64,1,2024,25,49577,45913
64,1,2024,26,50489,47071
64,1,2024,27,51463,48380
64,1,2024,28,52454,49722
64,1,2024,29,54219,51998
64,1,2024,30,55264,53438
64,1,2024,31,56332,54922
64,1,2024,32,56171,55013
64,1,2024,33,56012,55107
64,1,2024,34,55639,55098
64,1,2024,35,55480,55189
64,1,2024,36,55318,55275
64,1,2024,37,54302,54134
64,1,2024,38,53301,53011
64,1,2024,39,50750,50230
64,1,2024,40,49803,49182
64,1,2024,41,48867,48153
64,1,2024,42,49654,48700
64,1,2024,43,50446,49249
64,1,2024,44,52200,50645
64,1,2024,45,53012,51206
64,1,2024,46,53819,51761
64,1,2024,47,54828,52536
64,1,2024,48,55837,53312
64,1,2024,49,57953,54900
64,1,2024,50,58981,55691
64,1,2024,51,59990,56481
64,1,2024,52,59305,56117
64,1,2024,53,58589,55742
64,1,2024,54,58291,56321
64,1,2024,55,57517,55917
64,1,2024,56,56711,55491
64,1,2024,57,53586,52323
64,1,2024,58,50591,49315
64,1,2024,59,47404,45666
64,1,2024,60,44673,43006
64,1,2024,61,42024,40477
64,1,2024,62,38051,37021
64,1,2024,63,34391,33839
64,1,2024,64,28977,28914
64,1,2024,65,26110,26392
64,1,2024,66,23485,24059
64,1,2024,67,22872,23917
64,1,2024,68,22237,23744
64,1,2024,69,23644,25937
64,1,2024,70,22898,25685
64,1,2024,71,22109,25394
64,1,2024,72,19852,23315
64,1,2024,73,17769,21369
64,1,2024,74,15012,18472
64,1,2024,75,13374,16872
64,1,2024,76,11876,15371
64,1,2024,77,10715,14241
64,1,2024,78,9636,13161
64,1,2024,79,8721,12355
64,1,2024,80,7783,11353
64,1,2024,81,6899,10369
64,1,2024,82,6111,9326
64,1,2024,83,5376,8338
64,1,2024,84,4857,7565
64,1,2024,85,4219,6686
64,1,2024,86,3630,5871
64,1,2024,87,2935,4871
64,1,2024,88,2352,4015
64,1,2024,89,1854,3274
64,1,2024,90,1457,2661
64,1,2024,91,1130,2138
64,1,2024,92,815,1593
64,1,2024,93,580,1173
64,1,2024,94,400,824
64,1,2024,95,279,597
64,1,2024,96,192,430
64,1,2024,97,125,301
64,1,2024,98,80,209
64,1,2024,99,51,145
64,1,2024,100,33,111
64,1,2025,16,43666,38505
64,1,2025,17,44094,39043
64,1,2025,18,44498,39557
64,1,2025,19,44896,40065
64,1,2025,20,45030,40267
64,1,2025,21,45430,40777
64,1,2025,22,45832,41295
64,1,2025,23,46679,42343
64,1,2025,24,47541,43416
64,1,2025,25,48661,44766
64,1,2025,26,49556,45898
64,1,2025,27,50467,47054
64,1,2025,28,51439,48361
64,1,2025,29,52429,49701
64,1,2025,30,54192,51974
64,1,2025,31,55236,53413
64,1,2025,32,56301,54895
64,1,2025,33,56139,54986
64,1,2025,34,55980,55079
64,1,2025,35,55604,55067
64,1,2025,36,55440,55155
64,1,2025,37,55273,55237
64,1,2025,38,54253,54093
64,1,2025,39,53248,52966
64,1,2025,40,50694,50184
64,1,2025,41,49740,49132
64,1,2025,42,48798,48100
64,1,2025,43,49576,48642
64,1,2025,44,50360,49186
64,1,2025,45,52099,50573
64,1,2025,46,52894,51124
64,1,2025,47,53684,51669
64,1,2025,48,54675,52433
64,1,2025,49,55667,53198
64,1,2025,50,57750,54772
64,1,2025,51,58736,55546
64,1,2025,52,59703,56319
64,1,2025,53,58984,55942
64,1,2025,54,58237,55554
64,1,2025,55,57899,56112
64,1,2025,56,57083,55686
64,1,2025,57,56238,55238
64,1,2025,58,53095,52063
64,1,2025,59,50089,49049
64,1,2025,60,46871,45396
64,1,2025,61,44086,42723
64,1,2025,62,41394,40185
64,1,2025,63,37410,36729
64,1,2025,64,33749,33551
64,1,2025,65,28379,28639
64,1,2025,66,25516,26107
64,1,2025,67,22902,23768
64,1,2025,68,22257,23596
64,1,2025,69,21594,23396
64,1,2025,70,22896,25516
64,1,2025,71,22094,25221
64,1,2025,72,21257,24888
64,1,2025,73,19020,22808
64,1,2025,74,16964,20866
64,1,2025,75,14272,17994
64,1,2025,76,12651,16388
64,1,2025,77,11180,14887
64,1,2025,78,10037,13753
64,1,2025,79,8983,12675
64,1,2025,80,8077,11843
64,1,2025,81,7147,10808
64,1,2025,82,6282,9806
64,1,2025,83,5518,8761
64,1,2025,84,4814,7781
64,1,2025,85,4304,7010
64,1,2025,86,3692,6149
64,1,2025,87,3137,5360
64,1,2025,88,2505,4414
64,1,2025,89,1982,3611
64,1,2025,90,1539,2916
64,1,2025,91,1188,2338
64,1,2025,92,904,1853
64,1,2025,93,641,1363
64,1,2025,94,448,990
64,1,2025,95,303,687
64,1,2025,96,208,491
64,1,2025,97,141,349
64,1,2025,98,90,241
64,1,2025,99,57,165
64,1,2025,100,36,127
64,1,2026,16,43167,37884
64,1,2026,17,43656,38498
64,1,2026,18,44083,39035
64,1,2026,19,44485,39547
64,1,2026,20,44882,40055
64,1,2026,21,45015,40256
64,1,2026,22,45414,40767
64,1,2026,23,45815,41284
64,1,2026,24,46661,42332
64,1,2026,25,47522,43404
64,1,2026,26,48641,44752
64,1,2026,27,49534,45882
64,1,2026,28,50444,47036
64,1,2026,29,51416,48341
64,1,2026,30,52404,49679
64,1,2026,31,54165,51951
64,1,2026,32,55207,53388
64,1,2026,33,56271,54869
64,1,2026,34,56108,54959
64,1,2026,35,55945,55050
64,1,2026,36,55564,55034
64,1,2026,37,55396,55118
64,1,2026,38,55225,55196
64,1,2026,39,54201,54049
64,1,2026,40,53191,52919
64,1,2026,41,50631,50135
64,1,2026,42,49672,49080
64,1,2026,43,48724,48044
64,1,2026,44,49493,48581
64,1,2026,45,50265,49119
64,1,2026,46,51986,50495
64,1,2026,47,52765,51036
64,1,2026,48,53539,51571
64,1,2026,49,54513,52325
64,1,2026,50,55477,53077
64,1,2026,51,57516,54633
64,1,2026,52,58463,55392
64,1,2026,53,59389,56149
64,1,2026,54,58638,55759
64,1,2026,55,57854,55355
64,1,2026,56,57472,55888
64,1,2026,57,56618,55440
64,1,2026,58,55735,54972
64,1,2026,59,52581,51792
64,1,2026,60,49539,48768
64,1,2026,61,46269,45107
64,1,2026,62,43440,42423
64,1,2026,63,40712,39878
64,1,2026,64,36727,36426
64,1,2026,65,33068,33243
64,1,2026,66,27748,28339
64,1,2026,67,24896,25800
64,1,2026,68,22299,23459
64,1,2026,69,21627,23260
64,1,2026,70,20924,23027
64,1,2026,71,22107,25068
64,1,2026,72,21259,24732
64,1,2026,73,20382,24361
64,1,2026,74,18175,22285
64,1,2026,75,16144,20340
64,1,2026,76,13515,17491
64,1,2026,77,11922,15885
64,1,2026,78,10484,14389
64,1,2026,79,9368,13258
64,1,2026,80,8330,12162
64,1,2026,81,7427,11288
64,1,2026,82,6517,10234
64,1,2026,83,5681,9224
64,1,2026,84,4950,8188
64,1,2026,85,4275,7222
64,1,2026,86,3774,6459
64,1,2026,87,3197,5624
64,1,2026,88,2683,4867
64,1,2026,89,2116,3979
64,1,2026,90,1650,3223
64,1,2026,91,1258,2567
64,1,2026,92,954,2032
64,1,2026,93,713,1590
64,1,2026,94,497,1154
64,1,2026,95,341,828
64,1,2026,96,227,566
64,1,2026,97,153,400
64,1,2026,98,102,280
64,1,2026,99,64,191
64,1,2026,100,40,145
64,1,2027,16,37539,32849
64,1,2027,17,43157,37877
64,1,2027,18,43645,38491
64,1,2027,19,44070,39026
64,1,2027,20,44471,39538
64,1,2027,21,44867,40045
64,1,2027,22,44999,40246
64,1,2027,23,45397,40756
64,1,2027,24,45798,41274
64,1,2027,25,46643,42320
64,1,2027,26,47503,43391
64,1,2027,27,48620,44737
64,1,2027,28,49513,45865
64,1,2027,29,50421,47018
64,1,2027,30,51392,48321
64,1,2027,31,52379,49658
64,1,2027,32,54138,51928
64,1,2027,33,55178,53363
64,1,2027,34,56240,54842
64,1,2027,35,56074,54930
64,1,2027,36,55907,55018
64,1,2027,37,55522,54998
64,1,2027,38,55349,55078
64,1,2027,39,55173,55153
64,1,2027,40,54144,54003
64,1,2027,41,53127,52869
64,1,2027,42,50563,50083
64,1,2027,43,49598,49025
64,1,2027,44,48644,47986
64,1,2027,45,49403,48516
64,1,2027,46,50159,49045
64,1,2027,47,51863,50410
64,1,2027,48,52626,50942
64,1,2027,49,53384,51468
64,1,2027,50,54331,52210
64,1,2027,51,55259,52947
64,1,2027,52,57255,54486
64,1,2027,53,58163,55230
64,1,2027,54,59049,55971
64,1,2027,55,58262,55565
64,1,2027,56,57438,55140
64,1,2027,57,57015,55649
64,1,2027,58,56124,55181
64,1,2027,59,55208,54694
64,1,2027,60,52017,51504
