area,mode,Year,Age,Male,Female
34,1,2021,16,377511,300662
34,1,2021,17,369044,295008
34,1,2021,18,360751,289450
34,1,2021,19,364490,294412
34,1,2021,20,368257,299450
34,1,2021,21,370785,301148
34,1,2021,22,374600,306292
34,1,2021,23,378442,311519
34,1,2021,24,396867,333614
34,1,2021,25,416175,357262
34,1,2021,26,462120,405406
34,1,2021,27,484616,434137
34,1,2021,28,508220,464905
34,1,2021,29,503262,475815
34,1,2021,30,498366,486988
34,1,2021,31,491257,511113
34,1,2021,32,486482,523107
34,1,2021,33,481751,535372
34,1,2021,34,453320,503330
34,1,2021,35,426550,473183
34,1,2021,36,369504,403988
34,1,2021,37,347630,379757
34,1,2021,38,327026,356968
34,1,2021,39,335780,361812
34,1,2021,40,344727,366704
34,1,2021,41,365454,378844
34,1,2021,42,375079,383903
34,1,2021,43,384897,388995
34,1,2021,44,407751,411303
34,1,2021,45,431862,434827
34,1,2021,46,474807,478141
34,1,2021,47,502650,505356
34,1,2021,48,532010,534058
34,1,2021,49,545941,550848
34,1,2021,50,560009,568070
34,1,2021,51,589755,607117
34,1,2021,52,604309,625863
34,1,2021,53,618899,645064
34,1,2021,54,588922,612691
34,1,2021,55,560038,581776
34,1,2021,56,530534,550144
34,1,2021,57,503879,522083
34,1,2021,58,478275,495320
34,1,2021,59,419138,429602
34,1,2021,60,366879,372452
34,1,2021,61,273850,270413
34,1,2021,62,239031,234224
34,1,2021,63,208363,202786
34,1,2021,64,219402,217267
34,1,2021,65,230679,232593
34,1,2021,66,290850,306385
34,1,2021,67,304872,327344
34,1,2021,68,319090,349401
34,1,2021,69,298419,327506
34,1,2021,70,278448,306585
34,1,2021,71,242918,264533
34,1,2021,72,225764,246961
34,1,2021,73,209473,230253
34,1,2021,74,193064,214812
34,1,2021,75,177519,200029
34,1,2021,76,163669,186974
34,1,2021,77,149585,173469
34,1,2021,78,136304,160670
34,1,2021,79,121802,147342
34,1,2021,80,108322,134632
34,1,2021,81,95042,120738
34,1,2021,82,83621,109200
34,1,2021,83,73209,98269
34,1,2021,84,63381,89257
34,1,2021,85,54487,80614
34,1,2021,86,47651,74999
34,1,2021,87,40292,67024
34,1,2021,88,33801,59592
34,1,2021,89,26525,50256
34,1,2021,90,20595,42037
34,1,2021,91,15631,34592
34,1,2021,92,11880,28492
34,1,2021,93,8941,23313
34,1,2021,94,6222,18005
34,1,2021,95,4287,13812
34,1,2021,96,2915,10642
34,1,2021,97,1983,8059
34,1,2021,98,1341,6064
34,1,2021,99,797,4055
34,1,2021,100,470,2962
34,1,2022,16,393679,312986
34,1,2022,17,377425,300613
34,1,2022,18,368947,294951
34,1,2022,19,360644,289385
34,1,2022,20,364373,294340
34,1,2022,21,368133,299376
34,1,2022,22,370654,301074
34,1,2022,23,374461,306215
34,1,2022,24,378295,311440
34,1,2022,25,396706,333524
34,1,2022,26,416000,357154
34,1,2022,27,461919,405270
34,1,2022,28,484397,433977
34,1,2022,29,507984,464719
34,1,2022,30,503019,475614
34,1,2022,31,498114,486775
34,1,2022,32,490999,510883
34,1,2022,33,486217,522864
34,1,2022,34,481480,535116
34,1,2022,35,453040,503070
34,1,2022,36,426249,472906
34,1,2022,37,369211,403725
34,1,2022,38,347325,379485
34,1,2022,39,326711,356688
34,1,2022,40,335417,361501
34,1,2022,41,344301,366357
34,1,2022,42,364948,378453
34,1,2022,43,374503,383473
34,1,2022,44,384251,388527
34,1,2022,45,406980,410756
34,1,2022,46,430924,434175
34,1,2022,47,473645,477345
34,1,2022,48,501282,504431
34,1,2022,49,530423,532994
34,1,2022,50,544069,549638
34,1,2022,51,557737,566684
34,1,2022,52,587000,605490
34,1,2022,53,601114,624035
34,1,2022,54,615251,643030
34,1,2022,55,585038,610565
34,1,2022,56,555896,579525
34,1,2022,57,526192,547799
34,1,2022,58,499358,519653
34,1,2022,59,473627,492825
34,1,2022,60,414518,427222
34,1,2022,61,362150,370158
34,1,2022,62,269822,268582
34,1,2022,63,235082,232495
34,1,2022,64,204545,201171
34,1,2022,65,214958,215337
34,1,2022,66,225529,230234
34,1,2022,67,283759,302901
34,1,2022,68,296815,323220
34,1,2022,69,310022,344578
34,1,2022,70,289132,322498
34,1,2022,71,268826,301352
34,1,2022,72,233708,259555
34,1,2022,73,216447,241882
34,1,2022,74,200141,225124
34,1,2022,75,183696,209553
34,1,2022,76,168074,194587
34,1,2022,77,154208,181387
34,1,2022,78,140254,167824
34,1,2022,79,127197,155036
34,1,2022,80,112924,141530
34,1,2022,81,99582,128477
34,1,2022,82,86652,114483
34,1,2022,83,75610,102882
34,1,2022,84,65658,91996
34,1,2022,85,56263,82994
34,1,2022,86,47759,74415
34,1,2022,87,41250,68735
34,1,2022,88,34447,60984
34,1,2022,89,28544,53843
34,1,2022,90,22068,44959
34,1,2022,91,16827,37115
34,1,2022,92,12546,30150
34,1,2022,93,9366,24515
34,1,2022,94,6925,19802
34,1,2022,95,4734,15097
34,1,2022,96,3205,11433
34,1,2022,97,2140,8696
34,1,2022,98,1430,6501
34,1,2022,99,950,4829
34,1,2022,100,561,3551
34,1,2023,16,402622,318901
34,1,2023,17,393593,312936
34,1,2023,18,377330,300556
34,1,2023,19,368842,294886
34,1,2023,20,360532,289317
34,1,2023,21,364254,294271
34,1,2023,22,368006,299305
34,1,2023,23,370520,301001
34,1,2023,24,374319,306141
34,1,2023,25,378146,311359
34,1,2023,26,396544,333426
34,1,2023,27,415824,357038
34,1,2023,28,461716,405126
34,1,2023,29,484178,433809
