age,female,male
0,487711,610022
1,483509,598583
2,479342,587359
3,475211,576346
4,471115,565539
5,466179,552149
6,462161,541797
7,458178,531638
8,455672,526185
9,453179,520788
10,441692,507780
11,439276,502572
12,436872,497417
13,450620,509218
14,464800,521299
15,462285,516906
16,476832,529167
17,491837,541721
18,553533,600516
19,622968,665692
20,825176,857646
21,928686,950729
22,1045180,1053915
23,983470,988340
24,925403,926846
25,761850,762070
26,716869,714654
27,674543,670188
28,664639,662731
29,654880,655356
30,643309,649572
31,633863,642343
32,624557,635195
33,649028,661159
34,674458,688183
35,724648,741869
36,753041,772194
37,782547,803757
38,809969,829405
39,838352,855871
40,898854,913118
41,930353,942256
42,962954,972323
43,937737,942529
44,913180,913648
45,870803,860295
46,847999,833933
47,825792,808379
48,781661,770983
49,739889,735317
50,661546,671467
51,626194,640404
52,592730,610779
53,600633,617204
54,608642,623698
55,674115,684420
56,683104,691620
57,692212,698896
58,647046,651410
59,604827,607151
60,540359,540110
61,505102,503414
62,472145,469210
63,435902,432827
64,402441,399265
65,361321,359695
66,333586,331804
67,307979,306075
68,294939,291329
69,282451,277293
70,275758,271380
71,264082,258305
72,252901,245860
73,244249,230990
74,235893,217019
75,236071,208983
76,227995,196342
77,220195,184467
78,201285,162580
79,184000,143289
80,167411,124928
81,153033,110105
82,139891,97041
83,119786,79348
84,102571,64880
85,86494,51590
86,74064,42184
87,63419,34493
88,50339,26090
89,39957,19735
90,30671,14230
91,24345,10763
92,19324,8141
93,14219,5817
94,10462,4156
95,7194,2816
96,5294,2012
97,3895,1437
98,2866,1027
99,2109,734
100+,2066,633
