area,mode,Year,Age,Male,Female
37,1,2021,16,551245,465553
37,1,2021,17,540861,461529
37,1,2021,18,530654,457524
37,1,2021,19,525129,454976
37,1,2021,20,519649,452431
37,1,2021,21,506567,440903
37,1,2021,22,501261,438425
37,1,2021,23,495999,435954
37,1,2021,24,507633,449592
37,1,2021,25,519526,463642
37,1,2021,26,514999,461026
37,1,2021,27,527074,475425
37,1,2021,28,539446,490277
37,1,2021,29,597860,551656
37,1,2021,30,662614,620727
37,1,2021,31,853516,822041
37,1,2021,32,945965,924954
37,1,2021,33,1048425,1040734
37,1,2021,34,982995,979040
37,1,2021,35,921620,920961
37,1,2021,36,757547,757931
37,1,2021,37,710151,712914
37,1,2021,38,665674,670549
37,1,2021,39,657933,660415
37,1,2021,40,650213,650407
37,1,2021,41,643993,638568
37,1,2021,42,636267,628799
37,1,2021,43,628549,619130
37,1,2021,44,653491,642881
37,1,2021,45,679283,667458
37,1,2021,46,731118,716372
37,1,2021,47,759662,743584
37,1,2021,48,789166,771749
37,1,2021,49,812606,797706
37,1,2021,50,836438,824414
37,1,2021,51,889706,882422
37,1,2021,52,914924,911658
37,1,2021,53,940414,941701
37,1,2021,54,907590,915035
37,1,2021,55,875403,888894
37,1,2021,56,819686,845331
37,1,2021,57,789717,820758
37,1,2021,58,760425,796706
37,1,2021,59,720048,751533
37,1,2021,60,681085,708662
37,1,2021,61,615959,630938
37,1,2021,62,581131,594458
37,1,2021,63,547611,559860
37,1,2021,64,546078,564248
37,1,2021,65,543787,568250
37,1,2021,66,587172,624887
37,1,2021,67,583042,628158
37,1,2021,68,578128,630881
37,1,2021,69,528019,583959
37,1,2021,70,481223,539876
37,1,2021,71,417656,476402
37,1,2021,72,379215,439316
37,1,2021,73,343763,404617
37,1,2021,74,307939,367620
37,1,2021,75,275215,333412
37,1,2021,76,239509,293496
37,1,2021,77,212827,265268
37,1,2021,78,188579,239376
37,1,2021,79,171938,223735
37,1,2021,80,156050,208410
37,1,2021,81,144806,196922
37,1,2021,82,130075,181676
37,1,2021,83,116284,166822
37,1,2021,84,102133,153747
37,1,2021,85,89091,140938
37,1,2021,86,78979,133160
37,1,2021,87,67794,120839
37,1,2021,88,57747,109123
37,1,2021,89,45796,92829
37,1,2021,90,35944,78352
37,1,2021,91,27584,65250
37,1,2021,92,21199,54259
37,1,2021,93,16136,44831
37,1,2021,94,11286,34474
37,1,2021,95,7817,26337
37,1,2021,96,5225,19691
37,1,2021,97,3573,14859
37,1,2021,98,2430,11144
37,1,2021,99,1520,7700
37,1,2021,100,969,5974
37,1,2022,16,564564,470417
37,1,2022,17,551137,465484
37,1,2022,18,540739,461448
37,1,2022,19,530518,457431
37,1,2022,20,524983,454877
37,1,2022,21,519496,452332
37,1,2022,22,506411,440805
37,1,2022,23,501099,438326
37,1,2022,24,495831,435855
37,1,2022,25,507454,449483
37,1,2022,26,519336,463516
37,1,2022,27,514804,460887
37,1,2022,28,526867,475268
37,1,2022,29,539227,490100
