age,female,male
0,171502,189610
1,172353,190476
2,173208,191346
3,174067,192220
4,174931,193098
5,170625,188553
6,171472,189414
7,172322,190279
8,181716,200107
9,191621,210443
10,204928,225586
11,216098,237239
12,227877,249493
13,245081,265095
14,263584,281672
15,302593,314838
16,325439,334526
17,350008,355446
18,345868,351927
19,341777,348442
20,325574,335088
21,321723,331770
22,317918,328485
23,307272,318418
24,296983,308658
25,280487,292569
26,271094,283601
27,262017,274909
28,257351,270781
29,252768,266714
30,239746,254428
31,235476,250608
32,231283,246844
33,244663,260532
34,258817,274978
35,297311,313071
36,314512,330431
37,332707,348753
38,330348,347551
39,328006,346352
40,316731,337837
41,314485,336673
42,312255,335512
43,305163,327528
44,298231,319735
45,291948,310670
46,285317,303277
47,278836,296060
48,267076,284969
49,255811,274294
50,239139,260136
51,229054,250391
52,219393,241011
53,214462,234407
54,209643,227984
55,213542,229219
56,208742,222938
57,204051,216829
58,189656,201062
59,176275,186441
60,159152,168171
61,147923,155942
62,137487,144602
63,126788,133094
64,116921,122502
65,104586,109508
66,96446,100792
67,88941,92771
68,85965,89343
69,83089,86043
70,83784,86941
71,80982,83728
72,78273,80635
73,74072,75107
74,70097,69959
75,68042,66532
76,64391,61971
77,60936,57723
78,53513,49400
79,46994,42276
80,40133,34963
81,35244,29922
82,30951,25607
83,25747,20566
84,21418,16517
85,17826,13093
86,14828,10515
87,12335,8445
88,9238,6128
89,6918,4447
90,4791,2965
91,3589,2152
92,2688,1561
93,1938,1111
94,1397,790
95,973,552
96,701,392
97,505,279
98,364,199
99,263,141
100+,176,51
