area,mode,Year,Age,Male,Female
14,1,2021,16,188193,170355
14,1,2021,17,189033,171196
14,1,2021,18,189870,172032
14,1,2021,19,199642,181390
14,1,2021,20,209911,191249
14,1,2021,21,224964,204497
14,1,2021,22,236525,215605
14,1,2021,23,248673,227313
14,1,2021,24,264143,244422
14,1,2021,25,280566,262809
14,1,2021,26,313496,301619
14,1,2021,27,332997,324304
14,1,2021,28,353721,348695
14,1,2021,29,350129,344482
14,1,2021,30,346581,340325
14,1,2021,31,333224,324114
14,1,2021,32,329850,320197
14,1,2021,33,326510,316322
14,1,2021,34,316431,305638
14,1,2021,35,306651,295300
14,1,2021,36,290568,278783
14,1,2021,37,281545,269328
14,1,2021,38,272780,260186
14,1,2021,39,268530,255422
14,1,2021,40,264314,250733
14,1,2021,41,251926,237664
14,1,2021,42,247899,233261
14,1,2021,43,243897,228917
14,1,2021,44,257089,241936
14,1,2021,45,270933,255656
14,1,2021,46,307920,293317
14,1,2021,47,324353,309868
14,1,2021,48,341590,327311
14,1,2021,49,339600,324472
14,1,2021,50,337485,321602
14,1,2021,51,328090,309934
14,1,2021,52,325707,307070
14,1,2021,53,323174,304171
14,1,2021,54,313951,296500
14,1,2021,55,304798,288934
14,1,2021,56,294336,281941
14,1,2021,57,285401,274581
14,1,2021,58,276572,267337
14,1,2021,59,264114,255028
14,1,2021,60,251926,243181
14,1,2021,61,236406,226202
14,1,2021,62,224869,215487
14,1,2021,63,213616,205182
14,1,2021,64,204776,199295
14,1,2021,65,196009,193415
14,1,2021,66,193647,195380
14,1,2021,67,184799,189224
14,1,2021,68,176094,183080
14,1,2021,69,159749,168256
14,1,2021,70,144591,154424
14,1,2021,71,127006,137470
14,1,2021,72,114505,125816
14,1,2021,73,103064,114994
14,1,2021,74,91931,104141
14,1,2021,75,81807,94129
14,1,2021,76,70487,82354
14,1,2021,77,62350,74157
14,1,2021,78,54988,66661
14,1,2021,79,50596,62704
14,1,2021,80,46335,58765
14,1,2021,81,44260,57140
14,1,2021,82,40101,52990
14,1,2021,83,36155,48887
14,1,2021,84,31376,43927
