age,female,male
0,526148,637350
1,515803,628085
2,505661,618954
3,495718,609957
4,485970,601090
5,454081,568907
6,445152,560636
7,436399,552486
8,463117,581928
9,491471,612939
10,535006,664271
11,567761,699670
12,602521,736956
13,658216,787407
14,719059,841311
15,821777,922504
16,897740,985657
17,980724,1053133
18,1024884,1094538
19,1071032,1137570
20,1145546,1211582
21,1197129,1259216
22,1251033,1308723
23,1211247,1275387
24,1172726,1242901
25,1086631,1169534
26,1052073,1139743
27,1018614,1110712
28,981896,1075043
29,946501,1040520
30,882686,977861
31,850866,946458
32,820194,916064
33,833022,925864
34,846051,935768
35,902416,986222
36,916530,996773
37,930865,1007436
38,918412,991905
39,906126,976614
40,896253,961886
41,884263,947057
42,872434,932458
43,831335,892555
44,792172,854361
45,747896,816467
46,712665,781528
47,679092,748085
48,631961,695115
49,588101,645895
50,522827,573366
51,486540,532769
52,452772,495045
53,445107,482498
54,437572,470269
55,460660,483980
56,452862,471714
57,445196,459758
58,412334,429538
59,381899,401304
60,338127,365608
61,313169,341576
62,290053,319124
63,271620,296719
64,254358,275887
65,233931,249960
66,219064,232411
67,205143,216095
68,201206,209513
69,197344,203132
70,200971,206386
71,197114,200099
72,193331,194004
73,186938,181539
74,180757,169875
75,178471,159440
76,172568,149195
77,166862,139609
78,152821,124205
79,139962,110501
80,126396,97858
81,115760,87061
82,106020,77454
83,92862,64520
84,81337,53746
85,71168,43773
86,62335,36463
87,54599,30374
88,44663,23649
89,36536,18412
90,28786,13549
91,23549,10549
92,19264,8213
93,15143,6393
94,11904,4976
95,9050,3873
96,7115,3014
97,5593,2346
98,4396,1826
99,3456,1422
100+,3434,866
