area,mode,Year,Age,Male,Female
44,1,2021,16,567970,453488
44,1,2021,17,559661,444560
44,1,2021,18,551457,435793
44,1,2021,19,580753,462430
44,1,2021,20,611589,490683
44,1,2021,21,662675,534078
44,1,2021,22,697834,566693
44,1,2021,23,734843,601291
44,1,2021,24,784940,656758
44,1,2021,25,838432,717319
44,1,2021,26,919080,819604
44,1,2021,27,981734,895169
44,1,2021,28,1048682,977704
44,1,2021,29,1089667,1021510
44,1,2021,30,1132279,1067292
44,1,2021,31,1205712,1141321
44,1,2021,32,1252867,1192459
44,1,2021,33,1301863,1245866
44,1,2021,34,1268448,1205949
44,1,2021,35,1235851,1167261
44,1,2021,36,1162550,1081203
44,1,2021,37,1132519,1046437
44,1,2021,38,1103186,1012758
44,1,2021,39,1067213,975837
44,1,2021,40,1032306,940224
44,1,2021,41,969414,876369
44,1,2021,42,937454,844265
44,1,2021,43,906425,813272
44,1,2021,44,915065,825359
44,1,2021,45,923598,837522
44,1,2021,46,971851,892406
44,1,2021,47,980508,905350
44,1,2021,48,989049,918389
44,1,2021,49,971708,904905
44,1,2021,50,954323,891491
44,1,2021,51,937097,880335
44,1,2021,52,919446,867000
44,1,2021,53,901704,853726
44,1,2021,54,859306,811780
44,1,2021,55,818425,771701
44,1,2021,56,777744,726638
44,1,2021,57,739897,690417
44,1,2021,58,703504,655846
44,1,2021,59,648984,608287
44,1,2021,60,598046,563976
44,1,2021,61,525761,499314
44,1,2021,62,483247,462570
44,1,2021,63,443631,428362
44,1,2021,64,426666,418892
44,1,2021,65,409772,409334
44,1,2021,66,414940,427940
44,1,2021,67,397374,417419
44,1,2021,68,380014,406800
44,1,2021,69,347877,373183
44,1,2021,70,317775,341942
44,1,2021,71,282432,299115
44,1,2021,72,257023,273388
44,1,2021,73,233528,249570
44,1,2021,74,210836,230076
44,1,2021,75,189912,211732
44,1,2021,76,166198,191001
44,1,2021,77,148842,175176
44,1,2021,78,132918,160413
44,1,2021,79,123431,153629
44,1,2021,80,114098,146642
44,1,2021,81,109902,144619
44,1,2021,82,100546,136741
44,1,2021,83,91546,128693
44,1,2021,84,80071,118846
44,1,2021,85,69555,109174
44,1,2021,86,60088,101868
44,1,2021,87,51362,92646
44,1,2021,88,43567,83854
44,1,2021,89,34869,71550
44,1,2021,90,27620,60581
44,1,2021,91,21525,50141
44,1,2021,92,16695,41831
44,1,2021,93,12825,34677
44,1,2021,94,9136,27316
44,1,2021,95,6445,21378
44,1,2021,96,4411,16610
44,1,2021,97,3072,12843
44,1,2021,98,2128,9870
44,1,2021,99,1370,7040
44,1,2021,100,903,5712
44,1,2022,16,600047,485270
44,1,2022,17,567858,453423
44,1,2022,18,559534,444485
44,1,2022,19,551315,435707
44,1,2022,20,580590,462332
44,1,2022,21,611409,490578
44,1,2022,22,662469,533962
44,1,2022,23,697607,566569
44,1,2022,24,734593,601158
44,1,2022,25,784662,656603
44,1,2022,26,838124,717129
44,1,2022,27,918729,819363
44,1,2022,28,981347,894881
44,1,2022,29,1048255,977361
44,1,2022,30,1089206,1021130
44,1,2022,31,1131779,1066883
44,1,2022,32,1205158,1140870
44,1,2022,33,1252269,1191973
44,1,2022,34,1301222,1245345
44,1,2022,35,1267762,1205402
44,1,2022,36,1235085,1166661
44,1,2022,37,1161741,1080585
44,1,2022,38,1131644,1045778
44,1,2022,39,1102252,1012063
44,1,2022,40,1066198,975102
44,1,2022,41,1031183,939444
44,1,2022,42,968229,875575
44,1,2022,43,936183,843436
44,1,2022,44,905079,812414
44,1,2022,45,913532,824397
44,1,2022,46,921818,836421
44,1,2022,47,969738,891102
44,1,2022,48,978134,903896
44,1,2022,49,986423,916782
44,1,2022,50,968738,903160
44,1,2022,51,950864,889582
44,1,2022,52,933180,878264
44,1,2022,53,915092,864777
44,1,2022,54,896940,851362
44,1,2022,55,854219,809306
44,1,2022,56,812986,769080
44,1,2022,57,772015,723919
44,1,2022,58,733915,687597
44,1,2022,59,697339,652946
44,1,2022,60,642526,605330
44,1,2022,61,591078,560927
44,1,2022,62,518765,496346
44,1,2022,63,476018,459573
44,1,2022,64,436267,425367
44,1,2022,65,418821,415618
44,1,2022,66,401446,405668
44,1,2022,67,405713,423630
44,1,2022,68,387777,412751
44,1,2022,69,370130,401807
44,1,2022,70,337949,368097
44,1,2022,71,307687,336729
44,1,2022,72,272578,294078
44,1,2022,73,247251,268349
44,1,2022,74,223933,244582
44,1,2022,75,201383,225010
44,1,2022,76,180553,206538
44,1,2022,77,157283,185844
44,1,2022,78,140211,170015
44,1,2022,79,124652,155313
44,1,2022,80,115040,148122
44,1,2022,81,105491,140533
44,1,2022,82,100815,137778
44,1,2022,83,91508,129506
44,1,2022,84,82675,121171
44,1,2022,85,71605,111193
44,1,2022,86,61450,101449
44,1,2022,87,52455,94019
44,1,2022,88,44305,84929
44,1,2022,89,37141,76364
44,1,2022,90,29301,64552
44,1,2022,91,22807,53981
44,1,2022,92,17471,44138
44,1,2022,93,13319,36378
44,1,2022,94,10057,29792
44,1,2022,95,7042,23184
44,1,2022,96,4883,17925
44,1,2022,97,3285,13759
44,1,2022,98,2249,10509
44,1,2022,99,1531,7979
44,1,2022,100,1004,6471
44,1,2023,16,608834,494905
44,1,2023,17,599932,485203
44,1,2023,18,567732,453348
44,1,2023,19,559394,444399
44,1,2023,20,551165,435617
44,1,2023,21,580424,462236
44,1,2023,22,611225,490475
44,1,2023,23,662260,533848
44,1,2023,24,697376,566447
