age,female,male
0,325062,395819
1,322154,390230
2,319271,384721
3,316414,379290
4,313582,373936
5,311157,367663
6,308371,362473
7,305611,357356
8,302250,353935
9,298926,350548
10,289663,343420
11,286477,340132
12,283326,336877
13,289315,341409
14,295430,346003
15,305610,354685
16,312071,359457
17,318667,364294
18,328483,370538
19,338602,376889
20,359607,390911
21,370685,397612
22,382104,404427
23,378586,399741
24,375100,395110
25,363495,383056
26,360148,378618
27,356832,374232
28,352684,371197
29,348585,368187
30,339557,360795
31,335611,357869
32,331710,354967
33,335123,360578
34,338572,366278
35,348084,379813
36,351665,385818
37,355284,391916
38,356365,393907
39,357448,395907
40,363353,403754
41,364457,405804
42,365565,407865
43,355946,395799
44,346580,384089
45,337995,372493
46,329100,361474
47,320440,350780
48,301159,327787
49,283038,306302
50,250567,268921
51,235491,251294
52,221321,234822
53,222131,234820
54,222944,234818
55,241883,253372
56,242768,253371
57,243656,253369
58,229402,239024
59,215981,225491
60,193130,204470
61,181832,192892
62,171194,181971
63,164342,172395
64,157764,163323
65,152645,154032
66,146536,145925
67,140671,138246
68,136180,132716
69,131832,127408
70,129631,125662
71,125493,120636
72,121487,115810
73,115480,107500
74,109771,99786
75,105936,93010
76,100698,86335
77,95719,80140
78,86521,70640
79,78206,62265
80,69736,54421
81,63035,47970
82,56978,42283
83,49348,35054
84,42740,29061
85,36557,23421
86,31662,19417
87,27422,16097
88,22780,12744
89,18925,10090
90,15547,7772
91,12916,6152
92,10729,4871
93,8467,3750
94,6682,2887
95,5053,2169
96,3988,1671
97,3147,1287
98,2484,991
99,1960,763
100+,2369,608
