area,mode,Year,Age,Male,Female
45,1,2021,16,366849,310738
45,1,2021,17,361630,307949
45,1,2021,18,356470,305174
45,1,2021,19,352988,301788
45,1,2021,20,349529,298432
45,1,2021,21,342333,289145
45,1,2021,22,338958,285922
45,1,2021,23,335608,282730
45,1,2021,24,340004,288654
45,1,2021,25,344447,294693
45,1,2021,26,352953,304777
45,1,2021,27,357574,311150
45,1,2021,28,362268,317655
45,1,2021,29,368368,327368
45,1,2021,30,374583,337383
45,1,2021,31,388421,358239
45,1,2021,32,394978,369194
45,1,2021,33,401644,380477
45,1,2021,34,396887,376879
45,1,2021,35,392172,373298
45,1,2021,36,380062,361623
45,1,2021,37,375484,358159
45,1,2021,38,370928,354717
45,1,2021,39,367683,350440
45,1,2021,40,364419,346202
45,1,2021,41,356766,337052
45,1,2021,42,353483,332927
45,1,2021,43,350171,328824
45,1,2021,44,355195,331946
45,1,2021,45,360202,335054
45,1,2021,46,372780,344104
45,1,2021,47,377848,347244
45,1,2021,48,382894,350376
45,1,2021,49,383825,350964
45,1,2021,50,384591,351499
45,1,2021,51,390778,356703
45,1,2021,52,391114,357126
45,1,2021,53,391234,357488
45,1,2021,54,377645,347320
45,1,2021,55,364279,337353
45,1,2021,56,350919,328098
45,1,2021,57,338053,318517
45,1,2021,58,325451,309142
45,1,2021,59,301525,289539
45,1,2021,60,279011,271080
45,1,2021,61,242176,238962
45,1,2021,62,223429,223544
45,1,2021,63,205845,209035
45,1,2021,64,202661,208661
45,1,2021,65,199213,208133
45,1,2021,66,210957,224201
45,1,2021,67,206717,223221
45,1,2021,68,202246,222046
45,1,2021,69,186386,207013
45,1,2021,70,171360,192765
45,1,2021,71,151061,170249
45,1,2021,72,138318,158128
45,1,2021,73,126436,146687
45,1,2021,74,115873,138576
45,1,2021,75,105935,130680
45,1,2021,76,96111,123967
45,1,2021,77,87326,116501
45,1,2021,78,79102,109311
45,1,2021,79,72391,103278
45,1,2021,80,65926,97248
45,1,2021,81,61314,92544
45,1,2021,82,55232,86306
45,1,2021,83,49504,80109
45,1,2021,84,42694,72663
45,1,2021,85,36559,65557
45,1,2021,86,31158,59728
45,1,2021,87,26237,53345
45,1,2021,88,21916,47411
45,1,2021,89,17248,39879
45,1,2021,90,13430,33282
45,1,2021,91,10245,27162
45,1,2021,92,7807,22333
45,1,2021,93,5891,18246
45,1,2021,94,4141,14190
45,1,2021,95,2881,10965
45,1,2021,96,1934,8314
45,1,2021,97,1329,6346
45,1,2021,98,908,4814
45,1,2021,99,589,3480
45,1,2021,100,389,2894
45,1,2022,16,373067,313117
45,1,2022,17,366759,310693
45,1,2022,18,361528,307895
45,1,2022,19,356356,305112
45,1,2022,20,352866,301722
45,1,2022,21,349401,298367
45,1,2022,22,342202,289081
45,1,2022,23,338821,285857
45,1,2022,24,335466,282666
45,1,2022,25,339855,288584
45,1,2022,26,344290,294613
45,1,2022,27,352787,304685
45,1,2022,28,357400,311047
45,1,2022,29,362085,317540
45,1,2022,30,368175,327243
45,1,2022,31,374378,337250
45,1,2022,32,388201,358094
45,1,2022,33,394745,369039
45,1,2022,34,401399,380313
45,1,2022,35,396622,376703
45,1,2022,36,391873,373101
45,1,2022,37,379737,361411
45,1,2022,38,375128,357927
45,1,2022,39,370543,354467
45,1,2022,40,367255,350169
45,1,2022,41,363935,345906
45,1,2022,42,356235,336738
45,1,2022,43,352899,332591
45,1,2022,44,349539,328468
45,1,2022,45,354473,331548
45,1,2022,46,359362,334601
45,1,2022,47,371802,343588
45,1,2022,48,376746,346671
45,1,2022,49,381670,349747
45,1,2022,50,382417,350268
45,1,2022,51,382922,350725
45,1,2022,52,388827,355841
45,1,2022,53,388905,356185
45,1,2022,54,388772,356471
45,1,2022,55,374987,346232
45,1,2022,56,361407,336176
45,1,2022,57,347859,326836
45,1,2022,58,334823,317180
45,1,2022,59,322084,307737
45,1,2022,60,297990,288092
45,1,2022,61,275189,269574
45,1,2022,62,238392,237503
45,1,2022,63,219508,222055
45,1,2022,64,201841,207533
45,1,2022,65,198306,206986
45,1,2022,66,194503,206220
