age,female,male
0,159514,168172
1,155756,164335
2,152086,160585
3,148503,156920
4,145005,153339
5,138275,146472
6,135016,143130
7,131835,139863
8,134013,142047
9,136227,144264
10,140601,148585
11,142924,150904
12,145285,153260
13,149787,157930
14,154428,162741
15,159549,168488
16,164492,173622
17,169589,178911
18,176507,185431
19,183708,192189
20,200782,208003
21,208974,215582
22,217499,223438
23,210951,216997
24,204600,210742
25,187235,193675
26,181597,188092
27,176130,182670
28,175388,182254
29,174650,181839
30,172299,179231
31,171573,178823
32,170851,178416
33,177397,186529
34,184194,195012
35,201499,215869
36,209219,225684
37,217235,235947
38,215608,235016
39,213993,234089
40,214316,234421
41,212710,233496
42,211116,232574
43,196846,218463
44,183541,205208
45,165099,187694
46,153940,176305
47,143534,165608
48,132644,152337
49,122579,140129
50,109778,124468
51,101448,114494
52,93750,105319
53,90822,100751
54,87985,96382
55,87916,94764
56,85170,90655
57,82510,86723
58,79878,82721
59,77331,78903
60,75283,74869
61,72881,71413
62,70557,68117
63,67587,65365
64,64742,62724
65,62465,59946
66,59835,57524
67,57317,55200
68,53525,53720
69,49984,52279
70,47363,54340
71,44229,52882
72,41303,51464
73,36293,45080
74,31890,39487
75,27166,32142
76,23870,28155
77,20974,24662
78,17953,21586
79,15366,18894
80,13058,16947
81,11177,14835
82,9567,12985
83,7961,10761
84,6625,8919
85,5431,7243
86,4520,6002
87,3761,4975
88,3079,3908
89,2520,3070
90,2063,2308
91,1688,1814
92,1382,1425
93,1095,1118
94,868,877
95,670,687
96,531,539
97,421,423
98,333,332
99,264,260
100+,384,359
