area,mode,Year,Age,Male,Female
65,1,2021,16,146075,137998
65,1,2021,17,142724,134741
65,1,2021,18,139442,131555
65,1,2021,19,141587,133710
65,1,2021,20,143759,135894
65,1,2021,21,148020,140230
65,1,2021,22,150279,142515
65,1,2021,23,152568,144833
65,1,2021,24,157152,149279
65,1,2021,25,161864,153854
65,1,2021,26,167501,158899
65,1,2021,27,172531,163765
65,1,2021,28,177717,168783
65,1,2021,29,184128,175610
65,1,2021,30,190778,182720
65,1,2021,31,206414,199643
65,1,2021,32,213870,207722
65,1,2021,33,221596,216121
65,1,2021,34,215142,209536
65,1,2021,35,208867,203138
65,1,2021,36,191866,185801
65,1,2021,37,186234,180107
65,1,2021,38,180749,174581
65,1,2021,39,180203,173736
65,1,2021,40,179631,172886
65,1,2021,41,176861,170425
65,1,2021,42,176235,169555
65,1,2021,43,175577,168669
65,1,2021,44,183258,174932
65,1,2021,45,191223,181393
65,1,2021,46,211202,198132
65,1,2021,47,220257,205382
65,1,2021,48,229643,212865
65,1,2021,49,228054,210858
65,1,2021,50,226368,208825
65,1,2021,51,225756,208636
65,1,2021,52,223808,206525
65,1,2021,53,221742,204385
65,1,2021,54,207055,189972
65,1,2021,55,193198,176510
65,1,2021,56,175400,158153
65,1,2021,57,163428,146838
65,1,2021,58,152170,136285
65,1,2021,59,138662,125324
65,1,2021,60,126182,115184
65,1,2021,61,110684,102530
65,1,2021,62,100401,94124
65,1,2021,63,90937,86357
65,1,2021,64,85528,83012
65,1,2021,65,80308,79717
65,1,2021,66,77369,78860
65,1,2021,67,72407,75553
65,1,2021,68,67651,72303
65,1,2021,69,62922,69067
65,1,2021,70,58376,65876
65,1,2021,71,53737,63077
65,1,2021,72,49643,59973
65,1,2021,73,45780,56937
65,1,2021,74,42399,53404
65,1,2021,75,39170,49982
65,1,2021,76,35924,47009
65,1,2021,77,32977,43814
65,1,2021,78,30177,40759
65,1,2021,79,27919,36898
65,1,2021,80,25700,33265
65,1,2021,81,25113,30244
65,1,2021,82,22861,26946
65,1,2021,83,20706,23871
65,1,2021,84,16797,19781
65,1,2021,85,13527,16287
