age,female,male
0,369770,444758
1,357191,429889
2,345041,415516
3,333303,401624
4,321965,388197
5,304555,367969
6,294195,355667
7,284188,343776
8,284685,343710
9,285183,343645
10,270332,328469
11,270805,328406
12,271279,328344
13,306607,364109
14,346536,403770
15,431741,488810
16,487967,542055
17,551514,601099
18,593345,635656
19,638349,672199
20,729275,747656
21,784588,790638
22,844097,836091
23,792915,781988
24,744837,731386
25,623167,610933
26,585382,571400
27,549887,534425
28,546957,533382
29,544042,532341
30,549005,542922
31,546079,541864
32,543169,540806
33,559580,556728
34,576486,573118
35,600125,595886
36,618257,613428
37,636936,631487
38,666587,658392
39,697618,686443
40,777646,756834
41,813848,789078
42,851735,822698
43,816347,792530
44,782429,763469
45,717217,706486
46,687419,680580
47,658858,655624
48,620806,622393
49,584953,590846
50,520996,533927
51,490907,506866
52,462556,481175
53,472010,489781
54,481657,498541
55,541395,554092
56,552461,564003
57,563753,574090
58,530257,540983
59,498751,509785
60,446528,459428
61,419998,432934
62,395043,407967
63,369907,381349
64,346370,356467
65,319260,328735
66,298947,307287
67,279925,287238
68,268353,272586
69,257259,258682
70,250344,250140
71,239994,237381
72,230072,225273
73,220692,210337
74,211695,196391
75,208187,186614
76,199699,174242
77,191557,162689
78,175664,143798
79,161089,127100
80,146969,111179
81,134775,98269
82,123593,86858
83,107788,72221
84,94004,60051
85,82507,49647
86,71956,41280
87,62754,34324
88,49713,25757
89,39383,19328
90,29796,13512
91,23603,10140
92,18698,7609
93,13592,5416
94,9881,3855
95,6647,2612
96,4831,1859
97,3512,1323
98,2553,942
99,1856,670
100+,1699,454
