area,mode,Year,Age,Male,Female
32,1,2021,16,367408,304136
32,1,2021,17,355095,293783
32,1,2021,18,343183,283773
32,1,2021,19,343066,284240
32,1,2021,20,342943,284701
32,1,2021,21,327736,269838
32,1,2021,22,327605,270268
32,1,2021,23,327468,270695
32,1,2021,24,363048,305891
32,1,2021,25,402485,345652
32,1,2021,26,487123,430537
32,1,2021,27,540050,486493
32,1,2021,28,598738,549722
32,1,2021,29,633028,591284
32,1,2021,30,669293,635997
32,1,2021,31,744289,726438
32,1,2021,32,786933,781359
32,1,2021,33,832017,840420
32,1,2021,34,778033,789257
32,1,2021,35,727528,741176
32,1,2021,36,607539,619884
32,1,2021,37,568029,582074
32,1,2021,38,531053,546553
32,1,2021,39,529762,543397
32,1,2021,40,528423,540237
32,1,2021,41,538546,544862
32,1,2021,42,537051,541612
32,1,2021,43,535488,538337
32,1,2021,44,550655,554154
32,1,2021,45,566142,570360
32,1,2021,46,587752,593108
32,1,2021,47,604043,610309
32,1,2021,48,620673,627939
32,1,2021,49,645803,656256
32,1,2021,50,671718,685746
32,1,2021,51,738486,763095
32,1,2021,52,767417,797110
32,1,2021,53,797125,832495
32,1,2021,54,764680,796121
32,1,2021,55,733148,761134
32,1,2021,56,674819,695748
32,1,2021,57,646285,664822
32,1,2021,58,618632,635112
32,1,2021,59,583254,596323
32,1,2021,60,549335,559694
32,1,2021,61,491846,496335
32,1,2021,62,462102,465455
32,1,2021,63,433650,436316
32,1,2021,64,435834,442763
32,1,2021,65,437433,448965
32,1,2021,66,478696,500969
32,1,2021,67,479121,507035
32,1,2021,68,478890,512709
32,1,2021,69,442538,477442
32,1,2021,70,408097,444056
32,1,2021,71,359137,392579
32,1,2021,72,329973,364185
32,1,2021,73,302703,337421
32,1,2021,74,275034,310839
32,1,2021,75,249330,285836
32,1,2021,76,222347,258229
32,1,2021,77,200431,236631
32,1,2021,78,180173,216490
32,1,2021,79,163985,202477
32,1,2021,80,148585,188722
32,1,2021,81,136424,177649
32,1,2021,82,122364,163973
32,1,2021,83,109236,150629
32,1,2021,84,95504,137785
32,1,2021,85,82935,125354
32,1,2021,86,72682,116292
32,1,2021,87,62124,104725
32,1,2021,88,52698,93845
32,1,2021,89,42002,80011
32,1,2021,90,33135,67680
32,1,2021,91,25573,56456
32,1,2021,92,19758,47043
32,1,2021,93,15121,38948
32,1,2021,94,10783,30467
32,1,2021,95,7615,23677
32,1,2021,96,5306,18401
32,1,2021,97,3700,14124
32,1,2021,98,2566,10774
32,1,2021,99,1597,7418
32,1,2021,100,1011,5702
32,1,2022,16,387574,321477
32,1,2022,17,367340,304090
32,1,2022,18,355019,293730
32,1,2022,19,343100,283714
32,1,2022,20,342976,284177
32,1,2022,21,342848,284637
32,1,2022,22,327640,269776
32,1,2022,23,327505,270206
32,1,2022,24,327364,270632
32,1,2022,25,362927,305815
32,1,2022,26,402346,345555
32,1,2022,27,486949,430404
32,1,2022,28,539850,486328
32,1,2022,29,598510,549519
32,1,2022,30,632777,591053
32,1,2022,31,669017,635741
32,1,2022,32,743969,726136
32,1,2022,33,786581,781025
32,1,2022,34,831633,840050
32,1,2022,35,777639,788881
32,1,2022,36,727106,740776
32,1,2022,37,607142,619511
32,1,2022,38,567617,581689
32,1,2022,39,530630,546158
32,1,2022,40,529288,542967
32,1,2022,41,527882,539766
32,1,2022,42,537926,544344
32,1,2022,43,536364,541054
32,1,2022,44,534739,537740
32,1,2022,45,549785,553476
32,1,2022,46,565112,569573
32,1,2022,47,586545,592199
32,1,2022,48,602661,609279
32,1,2022,49,619114,626785
32,1,2022,50,643935,654927
32,1,2022,51,669411,684203
32,1,2022,52,735559,761209
32,1,2022,53,763969,794964
32,1,2022,54,793127,830075
32,1,2022,55,760380,793574
32,1,2022,56,728515,758419
32,1,2022,57,670090,693014
32,1,2022,58,641311,661970
32,1,2022,59,613469,632163
32,1,2022,60,577723,593278
32,1,2022,61,543232,556516
32,1,2022,62,485602,493237
32,1,2022,63,455504,462288
32,1,2022,64,426778,433113
32,1,2022,65,428177,439132
32,1,2022,66,428927,444751
32,1,2022,67,468497,495687
32,1,2022,68,468023,501104
32,1,2022,69,466933,506130
32,1,2022,70,430405,470644
32,1,2022,71,395638,436990
32,1,2022,72,347078,385683
32,1,2022,73,317891,357186
32,1,2022,74,290718,330393
32,1,2022,75,263141,303713
32,1,2022,76,237466,278541
32,1,2022,77,210819,250982
32,1,2022,78,189189,229388
32,1,2022,79,169325,209344
32,1,2022,80,153182,194947
32,1,2022,81,137710,180573
32,1,2022,82,125469,168946
32,1,2022,83,111674,154993
32,1,2022,84,98942,141520
32,1,2022,85,85674,128612
32,1,2022,86,73516,116193
32,1,2022,87,63675,107046
32,1,2022,88,53790,95731
32,1,2022,89,45104,85207
32,1,2022,90,35443,71953
32,1,2022,91,27483,60095
32,1,2022,92,20853,49509
32,1,2022,93,15840,40743
32,1,2022,94,11919,33315
32,1,2022,95,8356,25738
32,1,2022,96,5801,19755
32,1,2022,97,3975,15163
32,1,2022,98,2724,11494
32,1,2022,99,1858,8659
32,1,2022,100,1173,6666
32,1,2023,16,400940,332728
32,1,2023,17,387504,321430
32,1,2023,18,367265,304038
32,1,2023,19,354936,293671
32,1,2023,20,343013,283652
32,1,2023,21,342885,284115
32,1,2023,22,342752,284574
32,1,2023,23,327544,269716
32,1,2023,24,327404,270145
32,1,2023,25,327259,270567
32,1,2023,26,362806,305732
32,1,2023,27,402207,345452
32,1,2023,28,486775,430263
32,1,2023,29,539650,486154
32,1,2023,30,598279,549312
32,1,2023,31,632523,590823
32,1,2023,32,668737,635485
32,1,2023,33,743646,725835
32,1,2023,34,786229,780692
32,1,2023,35,831225,839663
32,1,2023,36,777200,788468
32,1,2023,37,726645,740345
32,1,2023,38,606715,619115
32,1,2023,39,567178,581283
32,1,2023,40,530169,545739
32,1,2023,41,528761,542508
32,1,2023,42,527291,539268
32,1,2023,43,537258,543800
32,1,2023,44,535634,540473
32,1,2023,45,533916,537102
32,1,2023,46,548811,552735
32,1,2023,47,563981,568726
32,1,2023,48,585237,591231
32,1,2023,49,601186,608194
32,1,2023,50,617368,625556
32,1,2023,51,641778,653500
32,1,2023,52,666822,682565
32,1,2023,53,732334,759224
32,1,2023,54,760229,792724
32,1,2023,55,788773,827501
32,1,2023,56,755686,790831
32,1,2023,57,723527,755531
32,1,2023,58,665050,690133
32,1,2023,59,636079,658991
32,1,2023,60,607780,629035
32,1,2023,61,571445,590014
32,1,2023,62,536484,553150
32,1,2023,63,478817,489985
32,1,2023,64,448439,459000
32,1,2023,65,419436,429669
32,1,2023,66,420018,435132
32,1,2023,67,419967,440198
32,1,2023,68,457853,490053
32,1,2023,69,456557,494853
32,1,2023,70,454364,499122
32,1,2023,71,417499,463356
32,1,2023,72,382585,429517
32,1,2023,73,334587,378465
32,1,2023,74,305516,349939
32,1,2023,75,278352,323011
32,1,2023,76,250818,296154
32,1,2023,77,225343,270913
32,1,2023,78,199170,243483
32,1,2023,79,177965,221994
32,1,2023,80,158329,201737
32,1,2023,81,142124,186717
32,1,2023,82,126798,171919
32,1,2023,83,114648,159891
32,1,2023,84,101281,145817
32,1,2023,85,88880,132292
32,1,2023,86,76056,119400
32,1,2023,87,64507,107134
32,1,2023,88,55225,98026
32,1,2023,89,46119,87082
32,1,2023,90,38131,76780
32,1,2023,91,29454,64029
32,1,2023,92,22456,52824
32,1,2023,93,16754,42987
32,1,2023,94,12513,34945
32,1,2023,95,9258,28225
32,1,2023,96,6382,21540
32,1,2023,97,4357,16330
32,1,2023,98,2935,12381
32,1,2023,99,1978,9271
32,1,2023,100,1370,7821
32,1,2024,16,414723,344312
32,1,2024,17,400871,332681
32,1,2024,18,387427,321376
32,1,2024,19,367181,303978
32,1,2024,20,354849,293610
32,1,2024,21,342924,283592
32,1,2024,22,342791,284054
32,1,2024,23,342653,284513
32,1,2024,24,327446,269657
32,1,2024,25,327301,270082
32,1,2024,26,327152,270496
