age,female,male
0,309790,401999
1,305243,396796
2,300762,391661
3,296347,386591
4,291997,381588
5,286388,376680
6,282185,371804
7,278043,366992
8,276117,362191
9,274204,357453
10,267054,347280
11,265204,342737
12,263367,338253
13,272220,342704
14,281371,347212
15,294650,356557
16,304555,361247
17,314793,366000
18,330588,372108
19,347176,378317
20,391513,403599
21,411159,410334
22,431789,417182
23,409821,392351
24,388970,368999
25,330885,311903
26,314050,293338
27,298072,275879
28,306944,286782
29,316081,298117
30,343864,331429
31,354101,344528
32,364641,358145
33,371765,367779
34,379029,377672
35,391963,394384
36,399620,404992
37,407428,415886
38,401985,410894
39,396615,405962
40,390180,399036
41,384966,394247
42,379824,389515
43,363963,373022
44,348765,357227
45,328203,334935
46,314498,320752
47,301365,307171
48,288581,294910
49,276339,283138
50,260215,268298
51,249175,257590
52,238605,247308
53,235171,243675
54,231786,240095
55,238868,246283
56,235430,242666
57,232042,239101
58,218296,225876
59,205364,213384
60,189254,198876
61,178042,187877
62,167495,177485
63,154804,163477
64,143074,150573
65,126806,132886
66,117199,122398
67,108319,112737
68,105823,108942
69,103384,105275
70,107350,108160
71,104875,104518
72,102458,101000
73,95690,92405
74,89369,84542
75,82715,76148
76,77251,69668
77,72149,63739
78,64795,55909
79,58191,49041
80,51860,42891
81,46574,37623
82,41827,33001
83,36076,27268
84,31116,22530
85,27246,18575
86,23501,15348
87,20270,12681
88,15758,9369
89,12250,6921
90,8900,4630
91,6920,3420
92,5380,2527
93,3978,1874
94,2941,1389
95,2080,1035
96,1537,766
97,1136,568
98,840,421
99,621,312
100+,437,162
