area,mode,Year,Age,Male,Female
36,1,2021,16,375866,285926
36,1,2021,17,370960,281721
36,1,2021,18,366103,277566
36,1,2021,19,361244,275611
36,1,2021,20,356437,273661
36,1,2021,21,346205,266481
36,1,2021,22,341580,264587
36,1,2021,23,337006,262702
36,1,2021,24,341324,271473
36,1,2021,25,345684,280526
36,1,2021,26,354853,293682
36,1,2021,27,359396,303471
36,1,2021,28,364008,313588
36,1,2021,29,369976,329235
36,1,2021,30,376052,345670
36,1,2021,31,401083,389721
36,1,2021,32,407674,409169
36,1,2021,33,414372,429576
36,1,2021,34,389609,407597
36,1,2021,35,366313,386721
36,1,2021,36,309517,328834
36,1,2021,37,290960,311963
36,1,2021,38,273494,295947
36,1,2021,39,284122,304597
36,1,2021,40,295128,313485
36,1,2021,41,327802,340818
36,1,2021,42,340389,350703
36,1,2021,43,353400,360836
36,1,2021,44,362394,367539
36,1,2021,45,371525,374309
36,1,2021,46,387216,386594
36,1,2021,47,396777,393603
36,1,2021,48,406482,400691
36,1,2021,49,400561,394695
36,1,2021,50,394556,388720
36,1,2021,51,386426,381644
36,1,2021,52,380209,375713
36,1,2021,53,373885,369801
36,1,2021,54,356179,353432
36,1,2021,55,339082,337684
36,1,2021,56,315824,316739
36,1,2021,57,300270,302439
36,1,2021,58,285304,288701
36,1,2021,59,271608,275317
36,1,2021,60,258250,262439
36,1,2021,61,241964,245874
36,1,2021,62,229390,234142
36,1,2021,63,217168,222863
36,1,2021,64,210705,218233
36,1,2021,65,204116,213515
36,1,2021,66,205522,218183
36,1,2021,67,198474,213022
36,1,2021,68,191371,207773
36,1,2021,69,176647,193237
36,1,2021,70,162670,179474
36,1,2021,71,147428,163042
36,1,2021,72,135215,151000
36,1,2021,73,123803,139657
36,1,2021,74,110340,126724
36,1,2021,75,98102,114764
36,1,2021,76,83312,99455
36,1,2021,77,73618,89728
36,1,2021,78,64854,80810
36,1,2021,79,59764,76805
36,1,2021,80,54805,72726
36,1,2021,81,53114,72787
36,1,2021,82,48179,68190
36,1,2021,83,43485,63551
36,1,2021,84,36979,56321
36,1,2021,85,31223,49622
36,1,2021,86,25725,43079
36,1,2021,87,21360,37544
36,1,2021,88,17594,32550
36,1,2021,89,13786,26997
36,1,2021,90,10687,22204
36,1,2021,91,8162,17954
36,1,2021,92,6193,14536
36,1,2021,93,4653,11690
36,1,2021,94,3261,8968
36,1,2021,95,2263,6833
36,1,2021,96,1554,5250
36,1,2021,97,1065,3948
36,1,2021,98,725,2949
36,1,2021,99,440,1973
36,1,2021,100,265,1440
36,1,2022,16,380722,291479
36,1,2022,17,375775,285876
36,1,2022,18,370857,281663
36,1,2022,19,365988,277500
36,1,2022,20,361120,275540
36,1,2022,21,356309,273590
36,1,2022,22,346074,266411
36,1,2022,23,341444,264517
36,1,2022,24,336866,262631
36,1,2022,25,341176,271395
36,1,2022,26,345529,280436
36,1,2022,27,354688,293578
36,1,2022,28,359223,303352
36,1,2022,29,363827,313454
36,1,2022,30,369785,329087
36,1,2022,31,375849,345509
36,1,2022,32,400859,389533
36,1,2022,33,407437,408966
36,1,2022,34,414123,429358
36,1,2022,35,389353,407372
36,1,2022,36,366038,386479
36,1,2022,37,309256,328606
36,1,2022,38,290688,311724
36,1,2022,39,273214,295700
36,1,2022,40,283796,304318
36,1,2022,41,294741,313169
36,1,2022,42,327321,340443
36,1,2022,43,339834,350285
36,1,2022,44,352771,360375
36,1,2022,45,361667,367019
36,1,2022,46,370670,373711
36,1,2022,47,386213,385908
36,1,2022,48,395635,392836
36,1,2022,49,405200,399840
36,1,2022,50,399110,393771
36,1,2022,51,392866,387710
36,1,2022,52,384520,380554
36,1,2022,53,378088,374544
36,1,2022,54,371561,368559
36,1,2022,55,353703,352126
36,1,2022,56,336442,336292
36,1,2022,57,313103,315301
36,1,2022,58,297435,300940
36,1,2022,59,282387,287152
36,1,2022,60,268460,273693
36,1,2022,61,254753,260717
36,1,2022,62,238226,244101
36,1,2022,63,225410,232301
36,1,2022,64,212991,220972
36,1,2022,65,206228,216170
36,1,2022,66,199342,211215
36,1,2022,67,200278,215552
36,1,2022,68,192990,210178
36,1,2022,69,185688,204737
36,1,2022,70,170907,190111
36,1,2022,71,156807,176237
36,1,2022,72,141601,159803
36,1,2022,73,129402,147724
36,1,2022,74,118059,136377
36,1,2022,75,104769,123456
36,1,2022,76,92677,111479
36,1,2022,77,78311,96332
36,1,2022,78,68853,86662
36,1,2022,79,60360,77837
36,1,2022,80,55251,73630
36,1,2022,81,50229,69245
36,1,2022,82,48266,68843
36,1,2022,83,43411,64067
36,1,2022,84,38855,59314
36,1,2022,85,32695,52197
36,1,2022,86,27250,45646
36,1,2022,87,22168,39334
36,1,2022,88,18173,34026
36,1,2022,89,14782,29287
36,1,2022,90,11407,24044
36,1,2022,91,8681,19509
36,1,2022,92,6511,15567
36,1,2022,93,4851,12437
36,1,2022,94,3579,9870
36,1,2022,95,2463,7472
36,1,2022,96,1679,5618
36,1,2022,97,1132,4260
36,1,2022,98,762,3161
36,1,2022,99,510,2330
36,1,2022,100,307,1709
36,1,2023,16,385661,295749
36,1,2023,17,380633,291430
36,1,2023,18,375674,285819
36,1,2023,19,370743,281598
36,1,2023,20,365867,277430
36,1,2023,21,360994,275471
36,1,2023,22,356178,273520
36,1,2023,23,345941,266343
36,1,2023,24,341307,264448
36,1,2023,25,336725,262558
36,1,2023,26,341028,271310
36,1,2023,27,345373,280339
36,1,2023,28,354523,293467
36,1,2023,29,359050,303227
36,1,2023,30,363645,313318
