age,female,male
0,470771,549855
1,455588,531425
2,440893,513613
3,426672,496398
4,412910,479761
5,401255,466233
6,388314,450606
7,375789,435503
8,361003,416824
9,346798,398946
10,303502,350734
11,291560,335691
12,280088,321293
13,311327,350743
14,346049,382894
15,424668,456099
16,472031,497906
17,524676,543546
18,566723,581069
19,612139,621181
20,706599,706312
21,763224,755072
22,824387,807196
23,783740,768770
24,745096,732173
25,653620,645467
26,621391,614739
27,590753,585474
28,564272,564256
29,538979,543806
30,497483,512593
31,475183,494015
32,453883,476111
33,462598,483069
34,471480,490127
35,494303,505519
36,503793,512906
37,513466,520401
38,532440,540491
39,552115,561357
40,598554,614035
41,620672,637741
42,643607,662361
43,631032,646380
44,618703,630784
45,592225,594286
46,580656,579947
47,569311,565954
48,548844,549918
49,529113,534337
50,493245,509844
51,475514,495399
52,458419,481362
53,459874,480365
54,461334,479371
55,493860,505368
56,495428,504322
57,497000,503278
58,464844,469732
59,434767,438423
60,395197,398025
61,369626,371495
62,345710,346733
63,313265,314091
64,283865,284521
65,245012,245851
66,222018,222706
67,201181,201739
68,191942,192333
69,183128,183365
70,181275,183818
71,172950,175248
72,165008,167077
73,156699,154616
74,148808,143085
75,145043,133761
76,137741,123785
77,130805,114553
78,117620,99916
79,105764,87148
80,94567,75426
81,85035,65789
82,76464,57382
83,64308,46307
84,54084,37370
85,44961,29425
86,37814,23745
87,31802,19162
88,24345,14020
89,18636,10258
90,13404,6936
91,10261,5076
92,7855,3714
93,5724,2646
94,4171,1885
95,2906,1310
96,2118,933
97,1543,665
98,1125,474
99,820,337
100+,761,179
