area,mode,Year,Age,Male,Female
13,1,2021,16,465323,400632
13,1,2021,17,449680,387700
13,1,2021,18,434548,375169
13,1,2021,19,415835,360366
13,1,2021,20,397916,346137
13,1,2021,21,349747,302875
13,1,2021,22,334660,290907
13,1,2021,23,320215,279407
13,1,2021,24,349457,310504
13,1,2021,25,381360,345049
13,1,2021,26,454115,423326
13,1,2021,27,495583,470415
13,1,2021,28,540853,522744
13,1,2021,29,578038,564492
13,1,2021,30,617795,609585
13,1,2021,31,702302,703486
13,1,2021,32,750613,759669
13,1,2021,33,802243,820322
13,1,2021,34,763875,779647
13,1,2021,35,727315,740949
13,1,2021,36,640963,649721
13,1,2021,37,610191,617416
13,1,2021,38,580850,586699
13,1,2021,39,559472,560117
13,1,2021,40,538816,534716
13,1,2021,41,507455,493239
13,1,2021,42,488571,470790
13,1,2021,43,470319,449321
13,1,2021,44,476566,457531
13,1,2021,45,482784,465822
13,1,2021,46,497050,487777
13,1,2021,47,503303,496481
13,1,2021,48,509524,505281
13,1,2021,49,527910,523130
13,1,2021,50,546739,541517
13,1,2021,51,596022,585925
13,1,2021,52,616627,606283
13,1,2021,53,637610,627224
13,1,2021,54,619160,613417
13,1,2021,55,600857,599736
13,1,2021,56,562564,572262
13,1,2021,57,545252,559168
13,1,2021,58,528153,546219
13,1,2021,59,509095,524491
13,1,2021,60,490148,503416
13,1,2021,61,462693,466995
13,1,2021,62,444222,447806
13,1,2021,63,425925,429204
13,1,2021,64,418860,427874
13,1,2021,65,411293,426193
13,1,2021,66,425980,452520
13,1,2021,67,417018,449826
13,1,2021,68,407633,446706
13,1,2021,69,372126,413186
13,1,2021,70,338935,381674
13,1,2021,71,299564,342140
13,1,2021,72,271768,315169
13,1,2021,73,246143,289935
13,1,2021,74,216019,258067
13,1,2021,75,189132,229260
13,1,2021,76,157471,193595
13,1,2021,77,137044,171346
13,1,2021,78,118909,151393
13,1,2021,79,108273,140614
13,1,2021,80,98118,130125
13,1,2021,81,92946,124258
13,1,2021,82,83331,113795
13,1,2021,83,74341,103681
13,1,2021,84,64066,93539
13,1,2021,85,54825,83904
13,1,2021,86,46981,76812
13,1,2021,87,39544,68167
13,1,2021,88,33022,60182
13,1,2021,89,25789,50057
13,1,2021,90,19928,41291
13,1,2021,91,15100,33557
13,1,2021,92,11421,27253
13,1,2021,93,8554,21986
13,1,2021,94,5871,16478
13,1,2021,95,3989,12267
13,1,2021,96,2625,8968
13,1,2021,97,1761,6590
13,1,2021,98,1175,4811
13,1,2021,99,707,3176
13,1,2021,100,425,2285
13,1,2022,16,478776,412205
13,1,2022,17,465218,400565
13,1,2022,18,449564,387622
13,1,2022,19,434420,375081
13,1,2022,20,415702,360276
13,1,2022,21,397783,346050
13,1,2022,22,349624,302798
13,1,2022,23,334536,290832
13,1,2022,24,320091,279334
13,1,2022,25,349316,310418
13,1,2022,26,381200,344942
13,1,2022,27,453918,423180
13,1,2022,28,495361,470237
13,1,2022,29,540602,522528
13,1,2022,30,577760,564246
13,1,2022,31,617484,609310
13,1,2022,32,701935,703160
13,1,2022,33,750205,759305
13,1,2022,34,801793,819918
13,1,2022,35,763406,779231
13,1,2022,36,726804,740502
13,1,2022,37,640458,649284
13,1,2022,38,609658,616959
13,1,2022,39,580294,586225
13,1,2022,40,558871,559621
13,1,2022,41,538155,534195
13,1,2022,42,506756,492714
13,1,2022,43,487825,470248
13,1,2022,44,469533,448764
13,1,2022,45,475669,456905
13,1,2022,46,481740,465103
13,1,2022,47,495839,486941
13,1,2022,48,501939,495545
13,1,2022,49,508011,504243
13,1,2022,50,526109,521946
13,1,2022,51,544530,540155
13,1,2022,52,593249,584307
13,1,2022,53,613380,604458
13,1,2022,54,633868,625184
13,1,2022,55,615093,611223
13,1,2022,56,596433,597344
13,1,2022,57,557979,569748
13,1,2022,58,540379,556485
13,1,2022,59,523040,543383
13,1,2022,60,503505,521497
13,1,2022,61,483855,500220
13,1,2022,62,455914,463736
13,1,2022,63,436910,444400
13,1,2022,64,418150,425681
13,1,2022,65,410406,423958
13,1,2022,66,402143,421744
13,1,2022,67,415632,447228
13,1,2022,68,406036,444000
13,1,2022,69,396088,440369
13,1,2022,70,360584,406696
13,1,2022,71,327262,374985
13,1,2022,72,288243,335532
13,1,2022,73,260590,308519
13,1,2022,74,235211,283312
13,1,2022,75,205569,251590
13,1,2022,76,179099,222870
13,1,2022,77,148396,187672
13,1,2022,78,128519,165638
13,1,2022,79,110986,145961
13,1,2022,80,100403,134942
13,1,2022,81,90222,124044
13,1,2022,82,84763,117682
13,1,2022,83,75368,107072
13,1,2022,84,66693,96924
13,1,2022,85,56889,86841
13,1,2022,86,48070,77325
13,1,2022,87,40683,70273
13,1,2022,88,33820,61909
13,1,2022,89,27897,54270
13,1,2022,90,21465,44687
13,1,2022,91,16289,36372
13,1,2022,92,12125,29176
13,1,2022,93,9009,23387
13,1,2022,94,6629,18622
13,1,2022,95,4469,13776
13,1,2022,96,2983,10122
13,1,2022,97,1928,7304
13,1,2022,98,1271,5297
13,1,2022,99,833,3817
13,1,2022,100,499,2757
13,1,2023,16,495318,425843
13,1,2023,17,478671,412137
13,1,2023,18,465101,400487
13,1,2023,19,449436,387535
13,1,2023,20,434285,374991
13,1,2023,21,415567,360188
13,1,2023,22,397646,345964
13,1,2023,23,349498,302723
13,1,2023,24,334410,290759
13,1,2023,25,319965,279259
13,1,2023,26,349174,310325
13,1,2023,27,381039,344826
13,1,2023,28,453720,423025
13,1,2023,29,495138,470049
13,1,2023,30,540350,522308
13,1,2023,31,577478,564000
13,1,2023,32,617171,609036
13,1,2023,33,701565,702833
13,1,2023,34,749797,758943
13,1,2023,35,801315,819495
13,1,2023,36,762885,778776
13,1,2023,37,726248,740021
13,1,2023,38,639914,648820
13,1,2023,39,609090,616478
13,1,2023,40,579687,585723
13,1,2023,41,558203,559093
13,1,2023,42,537434,533644
13,1,2023,43,506003,492164
13,1,2023,44,487032,469684
13,1,2023,45,468672,448170
13,1,2023,46,474667,456222
13,1,2023,47,480597,464330
13,1,2023,48,494530,486051
13,1,2023,49,500487,494559
13,1,2023,50,506322,503138
13,1,2023,51,524037,520675
13,1,2023,52,542059,538711
13,1,2023,53,590202,582604
13,1,2023,54,609867,602555
13,1,2023,55,629804,623019
13,1,2023,56,610670,608863
13,1,2023,57,591684,594803
13,1,2023,58,553107,567102
13,1,2023,59,535267,553688
13,1,2023,60,517428,540380
13,1,2023,61,497185,518292
13,1,2023,62,476923,496841
13,1,2023,63,448575,460322
13,1,2023,64,429110,440868
13,1,2023,65,409893,421907
13,1,2023,66,401469,419668
13,1,2023,67,392575,416959
13,1,2023,68,404907,441605
13,1,2023,69,394764,437883
13,1,2023,70,384041,433648
13,1,2023,71,348401,399767
13,1,2023,72,315125,367942
13,1,2023,73,276605,328644
13,1,2023,74,249227,301660
13,1,2023,75,224035,276388
13,1,2023,76,194853,244757
13,1,2023,77,168951,216222
13,1,2023,78,139318,181575
13,1,2023,79,120095,159839
13,1,2023,80,103046,140213
13,1,2023,81,92447,128782
13,1,2023,82,82396,117628
13,1,2023,83,76780,110884
13,1,2023,84,67724,100247
13,1,2023,85,59324,90132
13,1,2023,86,49973,80173
13,1,2023,87,41710,70875
13,1,2023,88,34868,63948
13,1,2023,89,28635,55944
13,1,2023,90,23274,48557
13,1,2023,91,17589,39460
