age,female,male
0,659321,815179
1,644894,802557
2,630782,790131
3,616978,777897
4,603477,765853
5,584636,753121
6,571843,741461
7,559330,729981
8,556162,720104
9,553012,710360
10,536216,685723
11,533178,676444
12,530158,667291
13,558332,683924
14,588003,700970
15,633428,729171
16,667089,747346
17,702540,765973
18,751132,794674
19,803086,824451
20,952837,929782
21,1018742,964621
22,1089204,1000765
23,996816,913099
24,912263,833113
25,724271,665171
26,662837,606903
27,606613,553739
28,601145,554237
29,595727,554736
30,603451,572947
31,598010,573463
32,592620,573979
33,615670,600140
34,639617,627492
35,687273,682891
36,714005,714014
37,741776,746557
38,762830,762230
39,784481,778233
40,834304,813495
41,857985,830574
42,882337,848011
43,850405,813926
44,819630,781211
45,773190,730338
46,745209,700982
47,718240,672807
48,669504,631805
49,624074,593301
50,538520,521055
51,501979,489301
52,467917,459482
53,481169,473447
54,494795,487837
55,571535,561646
56,587722,578717
57,604366,596306
58,564948,560398
59,528100,526653
60,466103,471246
61,435701,442868
62,407283,416200
63,378353,384472
64,351477,355163
65,321957,321349
66,299087,296852
67,277842,274222
68,262915,257746
69,248790,242260
70,236872,231535
71,224145,217624
72,212103,204548
73,202947,190441
74,194186,177307
75,193287,169460
76,184943,157773
77,176959,146892
78,159463,128330
79,143696,112115
80,126721,96551
81,114192,84351
82,102902,73693
83,89087,60084
84,77128,48989
85,67321,39137
86,58283,31910
87,50459,26017
88,40113,19442
89,31889,14528
90,24073,10097
91,19137,7546
92,15213,5639
93,11558,4168
94,8780,3081
95,6412,2255
96,4871,1667
97,3700,1232
98,2811,911
99,2136,673
100+,2267,674
