area,mode,Year,Age,Male,Female
41,1,2021,16,751470,583738
41,1,2021,17,739754,570948
41,1,2021,18,728190,558416
41,1,2021,19,718196,555191
41,1,2021,20,708315,551969
41,1,2021,21,683573,535121
41,1,2021,22,674131,531997
41,1,2021,23,664800,528882
41,1,2021,24,681135,556873
41,1,2021,25,697846,586323
41,1,2021,26,725643,631448
41,1,2021,27,743467,664830
41,1,2021,28,761751,699981
41,1,2021,29,790062,748207
41,1,2021,30,819452,799771
41,1,2021,31,923913,948685
41,1,2021,32,958288,1014048
41,1,2021,33,993939,1083891
41,1,2021,34,906638,991666
41,1,2021,35,826973,907241
41,1,2021,36,660019,719997
41,1,2021,37,601923,658643
41,1,2021,38,548893,602495
41,1,2021,39,549035,596766
41,1,2021,40,549107,591066
41,1,2021,41,566603,598358
41,1,2021,42,566493,592541
41,1,2021,43,566288,586727
41,1,2021,44,591254,608998
41,1,2021,45,617166,632022
41,1,2021,46,670345,678295
41,1,2021,47,699377,703752
41,1,2021,48,729500,730076
41,1,2021,49,742865,749631
41,1,2021,50,756148,769580
41,1,2021,51,787535,816885
41,1,2021,52,800715,838301
41,1,2021,53,813665,860109
41,1,2021,54,776839,826911
41,1,2021,55,741176,794762
41,1,2021,56,688302,747395
41,1,2021,57,655839,717914
41,1,2021,58,624513,689405
41,1,2021,59,581478,640100
41,1,2021,60,540737,594072
41,1,2021,61,469519,510150
41,1,2021,62,435333,473024
41,1,2021,63,403077,438396
41,1,2021,64,408935,448022
41,1,2021,65,414230,457480
41,1,2021,66,468071,524164
41,1,2021,67,472646,534151
41,1,2021,68,476523,543794
41,1,2021,69,437517,502758
41,1,2021,70,400750,464207
41,1,2021,71,348647,404095
41,1,2021,72,318053,372079
41,1,2021,73,289654,342145
41,1,2021,74,258868,312251
41,1,2021,75,230796,284424
41,1,2021,76,200909,254936
41,1,2021,77,178020,231358
41,1,2021,78,157256,209603
41,1,2021,79,140924,193126
41,1,2021,80,125671,177296
41,1,2021,81,113274,162880
41,1,2021,82,99919,147986
41,1,2021,83,87698,133771
41,1,2021,84,75873,121640
41,1,2021,85,65177,109977
41,1,2021,86,56968,102857
41,1,2021,87,48123,92009
41,1,2021,88,40327,81882
41,1,2021,89,31462,68283
41,1,2021,90,24285,56474
41,1,2021,91,18258,45291
41,1,2021,92,13792,36881
41,1,2021,93,10318,29834
41,1,2021,94,7133,23031
41,1,2021,95,4883,17660
41,1,2021,96,3250,13563
41,1,2021,97,2196,10267
41,1,2021,98,1476,7721
41,1,2021,99,904,5297
41,1,2021,100,554,4025
41,1,2022,16,764091,602457
41,1,2022,17,751287,583641
41,1,2022,18,739547,570835
41,1,2022,19,727958,558288
41,1,2022,20,717948,555054
41,1,2022,21,708057,551831
41,1,2022,22,683312,534986
41,1,2022,23,673861,531861
41,1,2022,24,664521,528746
41,1,2022,25,680838,556720
41,1,2022,26,697530,586142
41,1,2022,27,725303,631232
41,1,2022,28,743107,664581
41,1,2022,29,761369,699695
41,1,2022,30,789652,747884
41,1,2022,31,819007,799415
41,1,2022,32,923391,948249
41,1,2022,33,957726,1013567
41,1,2022,34,993337,1083363
41,1,2022,35,906037,991143
41,1,2022,36,826346,906699
41,1,2022,37,659458,719519
41,1,2022,38,601356,658161
41,1,2022,39,548327,602014
41,1,2022,40,548400,596243
41,1,2022,41,548382,590495
41,1,2022,42,565764,597728
41,1,2022,43,565563,591864
41,1,2022,44,565271,586007
41,1,2022,45,590059,608173
41,1,2022,46,615735,631056
41,1,2022,47,668595,677143
41,1,2022,48,697348,702437
41,1,2022,49,727181,728590
41,1,2022,50,740154,747950
41,1,2022,51,752885,767664
41,1,2022,52,783623,814650
41,1,2022,53,796216,835801
41,1,2022,54,808571,857340
41,1,2022,55,771400,823982
41,1,2022,56,735363,791623
41,1,2022,57,682331,744143
41,1,2022,58,649604,714503
41,1,2022,59,618084,685860
41,1,2022,60,574693,636481
41,1,2022,61,533365,590338
41,1,2022,62,462218,506625
41,1,2022,63,427731,469460
41,1,2022,64,395272,434832
41,1,2022,65,400189,443961
41,1,2022,66,404480,452749
41,1,2022,67,456055,518089
41,1,2022,68,459505,527294
41,1,2022,69,462288,536148
41,1,2022,70,423218,494929
41,1,2022,71,386222,456141
41,1,2022,72,334789,396356
41,1,2022,73,304303,364293
41,1,2022,74,276142,334392
41,1,2022,75,245728,304477
41,1,2022,76,217966,276559
41,1,2022,77,188787,247196
41,1,2022,78,166439,223709
41,1,2022,79,146305,202139
41,1,2022,80,130231,185392
41,1,2022,81,115128,169069
41,1,2022,82,102888,154319
41,1,2022,83,89985,139302
41,1,2022,84,78319,125112
41,1,2022,85,67046,112987
41,1,2022,86,56851,101409
41,1,2022,87,49058,94154
41,1,2022,88,40915,83613
41,1,2022,89,33857,73884
41,1,2022,90,26013,61000
41,1,2022,91,19711,49784
41,1,2022,92,14552,39410
41,1,2022,93,10795,31677
41,1,2022,94,7930,25293
41,1,2022,95,5383,19273
41,1,2022,96,3619,14588
41,1,2022,97,2365,11059
41,1,2022,98,1569,8263
41,1,2022,99,1036,6133
41,1,2022,100,631,4669
41,1,2023,16,775999,615792
41,1,2023,17,763910,602360
41,1,2023,18,751083,583529
41,1,2023,19,739319,570708
41,1,2023,20,727714,558154
41,1,2023,21,717695,554920
41,1,2023,22,707795,551696
41,1,2023,23,683047,534853
41,1,2023,24,673587,531728
41,1,2023,25,664240,528606
41,1,2023,26,680539,556553
41,1,2023,27,697213,585948
41,1,2023,28,724962,631003
41,1,2023,29,742746,664318
41,1,2023,30,760986,699403
41,1,2023,31,789236,747561
41,1,2023,32,818559,799059
41,1,2023,33,922866,947813
41,1,2023,34,957164,1013089
41,1,2023,35,992699,1082809
41,1,2023,36,905371,990569
41,1,2023,37,825664,906115
41,1,2023,38,658855,719008
41,1,2023,39,600754,657651
41,1,2023,40,547710,601502
41,1,2023,41,547696,595685
41,1,2023,42,547593,589892
41,1,2023,43,564862,597066
41,1,2023,44,564576,591161
41,1,2023,45,564160,585237
41,1,2023,46,588728,607272
41,1,2023,47,614171,630017
41,1,2023,48,666707,675917
41,1,2023,49,695191,701052
41,1,2023,50,724598,727007
41,1,2023,51,737042,746145
41,1,2023,52,749242,765628
41,1,2023,53,779333,812296
41,1,2023,54,791358,833194
