age,female,male
0,227133,264300
1,226475,262645
2,225819,261001
3,225165,259366
4,224513,257742
5,223376,255276
6,222731,253678
7,222086,252089
8,222249,251918
9,222412,251746
10,211277,240243
11,211434,240080
12,211589,239916
13,230828,259497
14,251816,280675
15,291730,320738
16,318255,346914
17,347193,375227
18,371396,398894
19,397287,424053
20,444766,470609
21,475772,500292
22,508938,531847
23,498872,520721
24,489004,509829
25,450459,469037
26,441548,459226
27,432814,449620
28,431847,450310
29,430882,451001
30,426006,450380
31,425053,451072
32,424103,451764
33,437250,464967
34,450805,478556
35,479085,506169
36,493935,520962
37,509247,536188
38,515616,541787
39,522065,547446
40,536806,559968
41,543521,565816
42,550319,571726
43,533564,555922
44,517320,540556
45,497048,522063
46,481915,507634
47,467243,493602
48,438920,465779
49,412315,439524
50,367526,396706
51,345247,374346
52,324319,353245
53,322600,348651
54,320889,344116
55,341416,358730
56,339606,354064
57,337805,349460
58,318109,329330
59,299561,310359
60,278122,289394
61,261905,272723
62,246634,257013
63,223213,233606
64,202017,212331
65,171292,181752
66,155025,165199
67,140304,150154
68,136480,145908
69,132761,141782
70,134321,144429
71,130661,140345
72,127100,136376
73,125300,131666
74,123527,127118
75,128588,128012
76,126768,123591
77,124973,119322
78,113464,105729
79,103015,93686
80,90645,80631
81,82297,71447
82,74718,63308
83,64619,52545
84,55884,43612
85,48844,36014
86,42242,29892
87,36532,24810
88,28407,18379
89,22089,13615
90,16252,9357
91,12637,6931
92,9826,5134
93,6972,3528
94,4947,2424
95,3225,1550
96,2288,1064
97,1624,731
98,1152,502
99,817,345
100+,883,308
