area,mode,Year,Age,Male,Female
33,1,2021,16,254932,223106
33,1,2021,17,253317,222457
33,1,2021,18,251704,221801
33,1,2021,19,251500,221944
33,1,2021,20,251290,222083
33,1,2021,21,239767,210938
33,1,2021,22,239560,211067
33,1,2021,23,239348,211190
33,1,2021,24,258826,230356
33,1,2021,25,279882,251254
33,1,2021,26,319755,291018
33,1,2021,27,345775,317414
33,1,2021,28,373919,346207
33,1,2021,29,397429,370268
33,1,2021,30,422425,396007
33,1,2021,31,468726,443253
33,1,2021,32,498209,474060
33,1,2021,33,529544,506999
33,1,2021,34,518380,496859
33,1,2021,35,507438,486901
33,1,2021,36,466720,448383
33,1,2021,37,456815,439366
33,1,2021,38,447093,430518
33,1,2021,39,447586,429388
33,1,2021,40,448040,428245
33,1,2021,41,447139,423192
33,1,2021,42,447490,422009
33,1,2021,43,447789,420799
33,1,2021,44,460424,433536
33,1,2021,45,473332,446609
33,1,2021,46,499966,474178
33,1,2021,47,513798,488371
33,1,2021,48,527924,502944
33,1,2021,49,532453,508612
33,1,2021,50,536851,514277
33,1,2021,51,547703,527999
33,1,2021,52,551763,533718
33,1,2021,53,555624,539415
33,1,2021,54,538198,521966
33,1,2021,55,521053,504966
33,1,2021,56,500775,483991
33,1,2021,57,484332,468009
33,1,2021,58,468198,452458
33,1,2021,59,439029,423718
33,1,2021,60,411286,396675
33,1,2021,61,368075,352239
33,1,2021,62,344029,329513
33,1,2021,63,321206,308142
33,1,2021,64,313339,305018
33,1,2021,65,305272,301720
33,1,2021,66,313700,318953
33,1,2021,67,304817,314965
33,1,2021,68,295802,310768
33,1,2021,69,273736,290047
33,1,2021,70,252818,270405
33,1,2021,71,230556,248230
33,1,2021,72,212187,230868
33,1,2021,73,194988,214473
33,1,2021,74,172564,191267
33,1,2021,75,152384,170288
33,1,2021,76,126371,141782
33,1,2021,77,110987,125819
33,1,2021,78,97215,111488
33,1,2021,79,90800,106032
33,1,2021,80,84444,100523
33,1,2021,81,81887,98656
33,1,2021,82,75409,92688
33,1,2021,83,69127,86696
33,1,2021,84,62679,81815
33,1,2021,85,56459,76818
33,1,2021,86,52614,75772
33,1,2021,87,46667,70461
33,1,2021,88,41088,65217
33,1,2021,89,32961,55340
33,1,2021,90,26179,46609
