age,female,male
0,56620,70205
1,55125,68670
2,53669,67168
3,52251,65699
4,50871,64262
5,48405,61476
6,47126,60130
7,45882,58815
8,46454,59737
9,47032,60674
10,46793,61725
11,47377,62693
12,47967,63676
13,51808,66864
14,55958,70211
15,65299,77472
16,70529,81351
17,76177,85423
18,77166,85432
19,78169,85441
20,77410,83433
21,78416,83442
22,79434,83450
23,78662,82819
24,77898,82193
25,77058,81922
26,76308,81303
27,75567,80688
28,73238,78868
29,70981,77089
30,66435,73207
31,64387,71556
32,62403,69942
33,62755,70664
34,63109,71393
35,64861,73660
36,65228,74421
37,65596,75189
38,66034,75823
39,66474,76463
40,68029,78245
41,68483,78906
42,68941,79571
43,67586,78165
44,66257,76783
45,66145,77040
46,64845,75678
47,63571,74340
48,58620,68350
49,54055,62843
50,46235,53605
51,42634,49285
52,39314,45314
53,38652,44156
54,38002,43027
55,40119,44471
56,39445,43335
57,38781,42227
58,36146,39611
59,33690,37156
60,30206,34430
61,28155,32297
62,26242,30296
63,24636,27752
64,23128,25422
65,20881,21824
66,19603,19992
67,18403,18313
68,18678,18356
69,18957,18399
70,20992,20283
71,21305,20331
72,21623,20378
73,20533,19109
74,19498,17920
75,18070,16613
76,17160,15580
77,16295,14610
78,14973,12895
79,13760,11382
80,12699,9889
81,11669,8729
82,10723,7704
83,9348,6414
84,8150,5341
85,7001,4357
86,6103,3628
87,5320,3020
88,4409,2370
89,3654,1860
90,2964,1398
91,2456,1096
92,2035,860
93,1617,664
94,1285,513
95,987,392
96,784,302
97,623,233
98,495,180
99,393,139
100+,907,255
