area,mode,Year,Age,Male,Female
46,1,2021,16,61363,48345
46,1,2021,17,60014,47067
46,1,2021,18,58694,45822
46,1,2021,19,59604,46389
46,1,2021,20,60527,46961
46,1,2021,21,61561,46717
46,1,2021,22,62512,47293
46,1,2021,23,63475,47875
46,1,2021,24,66633,51700
46,1,2021,25,69946,55831
46,1,2021,26,77155,65137
46,1,2021,27,80994,70339
46,1,2021,28,85025,75956
46,1,2021,29,85013,76927
46,1,2021,30,85003,77912
46,1,2021,31,82987,77142
46,1,2021,32,82978,78128
46,1,2021,33,82968,79125
46,1,2021,34,82322,78338
46,1,2021,35,81679,77557
46,1,2021,36,81383,76696
46,1,2021,37,80736,75924
46,1,2021,38,80087,75158
46,1,2021,39,78237,72813
46,1,2021,40,76421,70538
46,1,2021,41,72514,65988
46,1,2021,42,70810,63917
46,1,2021,43,69137,61907
46,1,2021,44,69763,62212
46,1,2021,45,70379,62510
46,1,2021,46,72490,64184
46,1,2021,47,73098,64479
46,1,2021,48,73696,64768
46,1,2021,49,74145,65120
46,1,2021,50,74569,65463
46,1,2021,51,76059,66892
46,1,2021,52,76416,67224
46,1,2021,53,76735,67549
46,1,2021,54,75022,66089
46,1,2021,55,73302,64645
46,1,2021,56,73107,64374
46,1,2021,57,71344,62938
46,1,2021,58,69583,61521
46,1,2021,59,63485,56551
46,1,2021,60,57856,51966
46,1,2021,61,48844,44276
46,1,2021,62,44391,40654
46,1,2021,63,40293,37316
46,1,2021,64,38712,36506
46,1,2021,65,37138,35689
46,1,2021,66,37732,37430
46,1,2021,67,36091,36530
46,1,2021,68,34471,35621
46,1,2021,69,31648,32900
46,1,2021,70,28991,30353
46,1,2021,71,26174,26904
46,1,2021,72,23885,24762
46,1,2021,73,21760,22763
46,1,2021,74,19327,21053
46,1,2021,75,17127,19438
46,1,2021,76,14180,17228
46,1,2021,77,12492,15855
46,1,2021,78,10972,14568
46,1,2021,79,10515,14452
46,1,2021,80,10030,14290
46,1,2021,81,10461,15344
46,1,2021,82,9873,15034
46,1,2021,83,9273,14664
46,1,2021,84,8109,13323
46,1,2021,85,7042,12042
46,1,2021,86,5993,10568
46,1,2021,87,5120,9460
46,1,2021,88,4340,8428
46,1,2021,89,3436,7232
46,1,2021,90,2692,6160
46,1,2021,91,2051,5225
46,1,2021,92,1573,4386
46,1,2021,93,1195,3659
46,1,2021,94,848,2878
46,1,2021,95,596,2249
46,1,2021,96,407,1721
46,1,2021,97,282,1329
46,1,2021,98,195,1020
46,1,2021,99,126,740
46,1,2021,100,83,619
46,1,2022,16,64138,50802
46,1,2022,17,61350,48339
46,1,2022,18,59999,47059
46,1,2022,19,58677,45813
46,1,2022,20,59586,46380
46,1,2022,21,60507,46952
46,1,2022,22,61541,46707
46,1,2022,23,62490,47283
46,1,2022,24,63451,47865
46,1,2022,25,66608,51688
46,1,2022,26,69918,55817
46,1,2022,27,77123,65118
46,1,2022,28,80959,70318
46,1,2022,29,84987,75931
46,1,2022,30,84974,76900
46,1,2022,31,84962,77884
46,1,2022,32,82946,77113
46,1,2022,33,82935,78098
46,1,2022,34,82923,79094
46,1,2022,35,82274,78305
46,1,2022,36,81624,77519
46,1,2022,37,81322,76655
46,1,2022,38,80668,75878
46,1,2022,39,80014,75110
46,1,2022,40,78157,72761
46,1,2022,41,76331,70483
46,1,2022,42,72418,65931
46,1,2022,43,70707,63858
46,1,2022,44,69026,61846
46,1,2022,45,69637,62143
46,1,2022,46,70234,62433
46,1,2022,47,72320,64095
46,1,2022,48,72909,64381
46,1,2022,49,73486,64661
46,1,2022,50,73903,65001
46,1,2022,51,74280,65331
46,1,2022,52,75720,66743
46,1,2022,53,76030,67061
46,1,2022,54,76302,67372
46,1,2022,55,74548,65898
46,1,2022,56,72782,64437
46,1,2022,57,72533,64146
46,1,2022,58,70730,62695
46,1,2022,59,68934,61264
46,1,2022,60,62814,56291
46,1,2022,61,57140,51700
46,1,2022,62,48154,44027
46,1,2022,63,43686,40405
46,1,2022,64,39584,37069
46,1,2022,65,37958,36236
46,1,2022,66,36340,35386
46,1,2022,67,36845,37073
46,1,2022,68,35171,36142
46,1,2022,69,33525,35205
46,1,2022,70,30697,32474
46,1,2022,71,28023,29913
46,1,2022,72,25215,26472
46,1,2022,73,22931,24327
46,1,2022,74,20821,22330
46,1,2022,75,18419,20611
46,1,2022,76,16244,18983
46,1,2022,77,13385,16784
46,1,2022,78,11736,15408
46,1,2022,79,10260,14125
46,1,2022,80,9770,13956
46,1,2022,81,9242,13719
46,1,2022,82,9562,14647
46,1,2022,83,8952,14270
46,1,2022,84,8341,13841
46,1,2022,85,7220,12498
46,1,2022,86,6193,11221
46,1,2022,87,5206,9783
46,1,2022,88,4394,8700
46,1,2022,89,3680,7701
46,1,2022,90,2871,6549
46,1,2022,91,2209,5511
46,1,2022,92,1654,4620
46,1,2022,93,1247,3832
46,1,2022,94,930,3160
46,1,2022,95,649,2456
46,1,2022,96,448,1896
46,1,2022,97,300,1434
46,1,2022,98,205,1095
46,1,2022,99,139,830
46,1,2022,100,91,692
46,1,2023,16,65565,52170
46,1,2023,17,64125,50795
46,1,2023,18,61336,48331
46,1,2023,19,59983,47051
46,1,2023,20,58660,45805
46,1,2023,21,59567,46371
46,1,2023,22,60487,46942
46,1,2023,23,61520,46698
46,1,2023,24,62467,47274
46,1,2023,25,63428,47854
46,1,2023,26,66582,51676
46,1,2023,27,69890,55802
46,1,2023,28,77091,65099
46,1,2023,29,80924,70295
46,1,2023,30,84949,75905
46,1,2023,31,84934,76873
46,1,2023,32,84921,77856
46,1,2023,33,82904,77084
46,1,2023,34,82892,78068
46,1,2023,35,82876,79061
46,1,2023,36,82220,78268
46,1,2023,37,81565,77478
46,1,2023,38,81256,76610
46,1,2023,39,80597,75830
46,1,2023,40,79934,75058
46,1,2023,41,78067,72706
46,1,2023,42,76233,70424
46,1,2023,43,72315,65872
46,1,2023,44,70597,63796
46,1,2023,45,68905,61779
46,1,2023,46,69497,62068
46,1,2023,47,70074,62349
46,1,2023,48,72137,64001
46,1,2023,49,72706,64278
46,1,2023,50,73252,64547
46,1,2023,51,73623,64873
46,1,2023,52,73956,65189
46,1,2023,53,75346,66585
46,1,2023,54,75611,66891
46,1,2023,55,75831,67183
46,1,2023,56,74032,65693
46,1,2023,57,72224,64215
46,1,2023,58,71923,63906
46,1,2023,59,70085,62440
46,1,2023,60,68221,60990
46,1,2023,61,62053,56011
46,1,2023,62,56350,51418
46,1,2023,63,47406,43764
46,1,2023,64,42933,40146
46,1,2023,65,38828,36803
46,1,2023,66,37158,35936
46,1,2023,67,35503,35057
46,1,2023,68,35925,36689
46,1,2023,69,34225,35732
46,1,2023,70,32537,34761
46,1,2023,71,29691,32015
46,1,2023,72,27014,29445
46,1,2023,73,24226,26018
46,1,2023,74,21960,23875
46,1,2023,75,19859,21872
46,1,2023,76,17485,20139
46,1,2023,77,15348,18504
46,1,2023,78,12587,16321
46,1,2023,79,10986,14949
46,1,2023,80,9544,13650
46,1,2023,81,9014,13410
46,1,2023,82,8459,13110
46,1,2023,83,8682,13918
46,1,2023,84,8064,13485
46,1,2023,85,7439,13001
46,1,2023,86,6361,11663
46,1,2023,87,5389,10404
46,1,2023,88,4476,9012
46,1,2023,89,3733,7964
46,1,2023,90,3081,6987
46,1,2023,91,2361,5871
46,1,2023,92,1786,4884
46,1,2023,93,1314,4046
46,1,2023,94,973,3318
46,1,2023,95,714,2703
46,1,2023,96,489,2077
46,1,2023,97,332,1585
46,1,2023,98,219,1185
46,1,2023,99,147,894
46,1,2023,100,101,780
46,1,2024,16,67014,53567
46,1,2024,17,65552,52163
46,1,2024,18,64110,50788
46,1,2024,19,61319,48323
46,1,2024,20,59966,47042
46,1,2024,21,58642,45796
