age,female,male
0,287632,354846
1,276739,341617
2,266258,328880
3,256174,316618
4,246472,304814
5,231530,286023
6,222761,275359
7,214325,265093
8,214975,266817
9,215628,268552
10,203010,258169
11,203626,259847
12,204244,261537
13,234919,294815
14,270200,332328
15,356737,426217
16,410313,480451
17,471936,541584
18,492833,551142
19,514655,560869
20,544896,567547
21,569023,577563
22,594219,587756
23,557908,548874
24,523816,512564
25,446496,436357
26,419212,407492
27,393595,380535
28,389906,380218
29,386252,379901
30,383628,385101
31,380033,384781
32,376471,384460
33,392503,401861
34,409217,420049
35,443174,454675
36,462046,475255
37,481721,496765
38,495478,511815
39,509627,527321
40,535587,555098
41,550882,571914
42,566614,589241
43,555662,578494
44,544922,567942
45,532729,555873
46,522431,545733
47,512333,535779
48,480150,502428
49,449989,471154
50,394919,414055
51,370112,388282
52,346863,364112
53,346898,363688
54,346933,363264
55,373925,389411
56,373964,388957
57,374002,388504
58,352506,367634
59,332245,347884
60,303440,321430
61,285999,304164
62,269561,287824
63,251028,267058
64,233769,247791
65,213989,225689
66,199276,209407
67,185575,194299
68,175788,182116
69,166517,170698
70,159433,161796
71,151026,151651
72,143061,142142
73,135654,132135
74,128630,122833
75,126945,118411
76,120372,110075
77,114140,102326
78,100428,87547
79,88363,74903
80,74386,61501
81,65450,52618
82,57588,45019
83,49755,36842
84,42987,30151
85,38662,24908
86,33403,20385
87,28859,16682
88,21997,12166
89,16767,8872
90,11508,5740
91,8773,4186
92,6687,3052
93,5093,2344
94,3879,1800
95,2952,1448
96,2248,1112
97,1712,854
98,1304,656
99,993,504
100+,629,197
