area,mode,Year,Age,Male,Female
42,1,2021,16,285463,231167
42,1,2021,17,274792,222405
42,1,2021,18,264510,213967
42,1,2021,19,266183,214592
42,1,2021,20,267857,215212
42,1,2021,21,257441,202586
42,1,2021,22,259047,203165
42,1,2021,23,260657,203742
42,1,2021,24,293731,234291
42,1,2021,25,330993,269411
42,1,2021,26,424358,355597
42,1,2021,27,478204,408892
42,1,2021,28,538894,470178
42,1,2021,29,548260,490871
42,1,2021,30,557804,512483
42,1,2021,31,564317,542469
42,1,2021,32,574144,566343
42,1,2021,33,584140,591256
42,1,2021,34,545371,554962
42,1,2021,35,509155,520868
42,1,2021,36,433305,443803
42,1,2021,37,404470,416500
42,1,2021,38,377522,390864
42,1,2021,39,376987,387003
42,1,2021,40,376407,383163
42,1,2021,41,381232,380320
42,1,2021,42,380532,376482
42,1,2021,43,379773,372646
42,1,2021,44,396440,388157
42,1,2021,45,413742,404253
42,1,2021,46,447041,437260
42,1,2021,47,466338,455268
42,1,2021,48,486360,473960
42,1,2021,49,499877,486722
42,1,2021,50,513562,499741
42,1,2021,51,538782,524168
42,1,2021,52,552942,537977
42,1,2021,53,567181,552039
42,1,2021,54,554088,539989
42,1,2021,55,540947,528043
42,1,2021,56,526148,514585
42,1,2021,57,513027,502898
42,1,2021,58,499932,491338
42,1,2021,59,465067,458627
42,1,2021,60,432126,427911
42,1,2021,61,375701,373688
42,1,2021,62,348108,348327
42,1,2021,63,322114,324534
42,1,2021,64,317052,322517
42,1,2021,65,311599,320242
42,1,2021,66,328152,342316
42,1,2021,67,321530,339206
42,1,2021,68,314571,335791
42,1,2021,69,291143,312962
42,1,2021,70,268841,291295
42,1,2021,71,241819,262332
42,1,2021,72,222415,243489
42,1,2021,73,204228,225695
42,1,2021,74,183579,206422
42,1,2021,75,164628,188430
42,1,2021,76,144475,168724
42,1,2021,77,128781,153441
42,1,2021,78,114449,139303
42,1,2021,79,102451,128436
42,1,2021,80,91273,117981
42,1,2021,81,81747,108945
42,1,2021,82,72050,99032
42,1,2021,83,63190,89558
42,1,2021,84,54700,80649
42,1,2021,85,47018,72208
42,1,2021,86,41546,66906
42,1,2021,87,35125,59262
42,1,2021,88,29463,52220
42,1,2021,89,22569,42481
42,1,2021,90,17106,34272
42,1,2021,91,12295,26210
42,1,2021,92,9121,20817
42,1,2021,93,6701,16424
42,1,2021,94,4663,12639
42,1,2021,95,3213,9660
42,1,2021,96,2218,7635
42,1,2021,97,1509,5760
42,1,2021,98,1021,4317
42,1,2021,99,612,2836
42,1,2021,100,364,2007
42,1,2022,16,304187,246046
42,1,2022,17,285399,231127
42,1,2022,18,274721,222360
42,1,2022,19,264432,213917
42,1,2022,20,266097,214537
42,1,2022,21,267767,215158
42,1,2022,22,257350,202534
42,1,2022,23,258951,203112
42,1,2022,24,260556,203688
42,1,2022,25,293613,234226
42,1,2022,26,330854,269326
42,1,2022,27,424174,355473
42,1,2022,28,477989,408736
42,1,2022,29,538644,469983
42,1,2022,30,547996,490655
42,1,2022,31,557523,512250
42,1,2022,32,564022,542214
42,1,2022,33,573832,566069
42,1,2022,34,583813,590963
42,1,2022,35,545035,554663
42,1,2022,36,508797,520551
42,1,2022,37,432963,443502
42,1,2022,38,404116,416189
42,1,2022,39,377160,390545
42,1,2022,40,376581,386657
42,1,2022,41,375944,382786
42,1,2022,42,380706,379911
42,1,2022,43,379950,376043
42,1,2022,44,379137,372180
42,1,2022,45,395692,387621
42,1,2022,46,412846,403623
42,1,2022,47,445951,436503
42,1,2022,48,465073,454401
42,1,2022,49,484915,472977
42,1,2022,50,498170,485609
42,1,2022,51,511485,498472
42,1,2022,52,536272,522706
42,1,2022,53,550028,536341
42,1,2022,54,563848,550227
42,1,2022,55,550444,538039
42,1,2022,56,536960,525916
42,1,2022,57,521856,512303
42,1,2022,58,508438,500462
42,1,2022,59,495088,488762
42,1,2022,60,459956,455983
42,1,2022,61,426572,425168
42,1,2022,62,370192,371055
42,1,2022,63,342373,345652
42,1,2022,64,316228,321844
42,1,2022,65,310647,319537
42,1,2022,66,304662,316869
42,1,2022,67,320173,338275
42,1,2022,68,313056,334774
42,1,2022,69,305655,330986
42,1,2022,70,282105,308003
42,1,2022,71,259575,286147
42,1,2022,72,232673,257223
42,1,2022,73,213260,238309
42,1,2022,74,195151,220497
42,1,2022,75,174692,201200
42,1,2022,76,155889,183138
42,1,2022,77,136142,163522
42,1,2022,78,120765,148291
42,1,2022,79,106818,134268
42,1,2022,80,94999,123218
42,1,2022,81,83923,112429
42,1,2022,82,74545,103139
42,1,2022,83,65161,93142
42,1,2022,84,56685,83682
42,1,2022,85,48568,74837
42,1,2022,86,41222,66510
42,1,2022,87,35974,61175
42,1,2022,88,30038,53789
42,1,2022,89,24888,47059
42,1,2022,90,18782,37898
42,1,2022,91,13981,30167
42,1,2022,92,9872,22770
42,1,2022,93,7194,17849
42,1,2022,94,5192,13898
42,1,2022,95,3550,10556
42,1,2022,96,2403,7963
42,1,2022,97,1629,6212
42,1,2022,98,1089,4625
42,1,2022,99,724,3421
42,1,2022,100,431,2447
42,1,2023,16,315927,255671
42,1,2023,17,304120,246006
42,1,2023,18,285327,231082
42,1,2023,19,274642,222309
42,1,2023,20,264350,213865
42,1,2023,21,266011,214485
42,1,2023,22,267675,215104
42,1,2023,23,257257,202483
42,1,2023,24,258853,203061
42,1,2023,25,260454,203633
42,1,2023,26,293493,234154
42,1,2023,27,330715,269235
42,1,2023,28,423989,355342
42,1,2023,29,477774,408571
42,1,2023,30,538392,469782
42,1,2023,31,547728,490439
42,1,2023,32,557240,512018
42,1,2023,33,563724,541960
42,1,2023,34,573519,565797
42,1,2023,35,583464,590655
42,1,2023,36,544663,554336
42,1,2023,37,508407,520209
42,1,2023,38,432595,443181
42,1,2023,39,403740,415861
42,1,2023,40,376766,390208
42,1,2023,41,376131,386289
42,1,2023,42,375440,382388
42,1,2023,43,380140,379483
42,1,2023,44,379331,375588
42,1,2023,45,378441,371682
42,1,2023,46,394858,387036
42,1,2023,47,411866,402946
42,1,2023,48,444773,435698
42,1,2023,49,463726,453489
42,1,2023,50,483300,471930
42,1,2023,51,496205,484416
42,1,2023,52,509161,497126
42,1,2023,53,533515,521167
42,1,2023,54,546875,534637
42,1,2023,55,560229,548303
42,1,2023,56,546482,535941
42,1,2023,57,532681,523658
42,1,2023,58,517295,509900
42,1,2023,59,503624,497922
42,1,2023,60,489770,486035
42,1,2023,61,454177,453154
42,1,2023,62,420456,422268
42,1,2023,63,364227,368296
42,1,2023,64,336255,342878
42,1,2023,65,309978,318964
42,1,2023,66,303876,316273
42,1,2023,67,297406,313240
42,1,2023,68,311904,333984
42,1,2023,69,304358,330121
42,1,2023,70,296351,325891
42,1,2023,71,272567,302712
42,1,2023,72,249941,280727
42,1,2023,73,223271,251899
42,1,2023,74,203953,232968
42,1,2023,75,185872,215066
42,1,2023,76,165579,195694
42,1,2023,77,147049,177634
42,1,2023,78,127808,158170
42,1,2023,79,112844,143062
42,1,2023,80,99171,128943
42,1,2023,81,87466,117554
42,1,2023,82,76639,106573
42,1,2023,83,67520,97141
42,1,2023,84,58548,87165
42,1,2023,85,50418,77781
42,1,2023,86,42661,69055
42,1,2023,87,35765,60929
42,1,2023,88,30829,55637
42,1,2023,89,25431,48576
42,1,2023,90,20761,42078
42,1,2023,91,15390,33441
42,1,2023,92,11255,26277
42,1,2023,93,7808,19579
42,1,2023,94,5591,15150
42,1,2023,95,3964,11646
42,1,2023,96,2663,8731
42,1,2023,97,1771,6502
42,1,2023,98,1180,5007
42,1,2023,99,775,3680
42,1,2023,100,513,2976
42,1,2024,16,328073,265617
42,1,2024,17,315860,255630
42,1,2024,18,304046,245959
42,1,2024,19,285248,231031
42,1,2024,20,274559,222257
42,1,2024,21,264266,213814
42,1,2024,22,265922,214433
42,1,2024,23,267582,215052
42,1,2024,24,257163,202433
42,1,2024,25,258755,203007
42,1,2024,26,260351,203573
42,1,2024,27,293373,234078
42,1,2024,28,330574,269139
42,1,2024,29,423804,355203
42,1,2024,30,477557,408403
42,1,2024,31,538137,469582
42,1,2024,32,547458,490223
42,1,2024,33,556955,511785
42,1,2024,34,563426,541708
42,1,2024,35,573187,565511
42,1,2024,36,583077,590317
42,1,2024,37,544257,553983
42,1,2024,38,507987,519845
42,1,2024,39,432203,442843
42,1,2024,40,403329,415513
42,1,2024,41,376328,389847
42,1,2024,42,375640,385900
42,1,2024,43,374897,381970
42,1,2024,44,379537,379038
42,1,2024,45,378653,375101
42,1,2024,46,377664,371138
42,1,2024,47,393945,386407
42,1,2024,48,410805,402226
42,1,2024,49,443518,434850
42,1,2024,50,462221,452516
42,1,2024,51,481442,470806
