age,female,male
0,389835,469003
1,384169,463692
2,378585,458442
3,373083,453252
4,367660,448120
5,363619,447453
6,358334,442388
7,353125,437379
8,345860,425152
9,338744,413267
10,317275,384203
11,310748,373463
12,304354,363023
13,319075,373803
14,334507,384902
15,354982,400370
16,372151,412258
17,390151,424500
18,425999,453626
19,465141,484749
20,567288,569903
21,619410,609005
22,676323,650789
23,642878,616944
24,611087,584858
25,525977,503443
26,499966,477260
27,475242,452439
28,464213,446758
29,453439,441147
30,431332,427419
31,421321,422052
32,411543,416752
33,432390,442615
34,454293,470084
35,505352,533507
36,530949,566617
37,557844,601781
38,572341,614644
39,587215,627782
40,616944,649177
41,632977,663053
42,649427,677226
43,626626,653221
44,604625,630067
45,575519,598877
46,555311,577649
47,535814,557174
48,494770,517694
49,456870,481011
50,386844,414071
51,357211,384731
52,329849,357469
53,337842,364405
54,346028,371476
55,395782,417387
56,405372,425485
57,415196,433740
58,392995,413040
59,371982,393328
60,339719,364787
61,321553,347376
62,304360,330798
63,280739,305701
64,258951,282508
65,226890,248838
66,209281,229959
67,193039,212512
68,189620,206829
69,186262,201298
70,195267,209048
71,191810,203457
72,188413,198016
73,177148,182102
74,166556,167466
75,155747,151734
76,146435,139540
77,137680,128325
78,123934,112783
79,111560,99123
80,100004,87237
81,90019,76671
82,81031,67385
83,69122,54991
84,58963,44877
85,50317,35829
86,42922,29239
87,36613,23861
88,28397,17743
89,22024,13194
90,15945,9017
91,12367,6705
92,9592,4986
93,7233,3739
94,5455,2805
95,4013,2120
96,3027,1590
97,2283,1192
98,1721,894
99,1298,671
100+,1209,388
