area,mode,Year,Age,Male,Female
43,1,2021,16,446530,363055
43,1,2021,17,441429,357768
43,1,2021,18,436367,352543
43,1,2021,19,424089,345250
43,1,2021,20,412143,338098
43,1,2021,21,383064,316620
43,1,2021,22,372255,310053
43,1,2021,23,361741,303614
43,1,2021,24,372360,318233
43,1,2021,25,383278,333541
43,1,2021,26,398536,353861
43,1,2021,27,410233,370878
43,1,2021,28,422286,388715
43,1,2021,29,451135,424324
43,1,2021,30,481967,463202
43,1,2021,31,566498,564791
43,1,2021,32,605220,616527
43,1,2021,33,646587,672991
43,1,2021,34,612811,639523
43,1,2021,35,580776,607689
43,1,2021,36,499749,522842
43,1,2021,37,473548,496770
43,1,2021,38,448684,471983
43,1,2021,39,442780,460798
43,1,2021,40,436897,449856
43,1,2021,41,422924,427656
43,1,2021,42,417176,417430
43,1,2021,43,411439,407410
43,1,2021,44,436376,427658
43,1,2021,45,462713,448845
43,1,2021,46,524160,498686
43,1,2021,47,555531,523250
43,1,2021,48,588646,548959
43,1,2021,49,599714,562341
43,1,2021,50,610735,575953
43,1,2021,51,629335,603938
43,1,2021,52,640200,618314
43,1,2021,53,650904,632908
43,1,2021,54,624631,609148
43,1,2021,55,599023,586104
43,1,2021,56,565706,556134
43,1,2021,57,541817,534777
43,1,2021,58,518617,514097
43,1,2021,59,477905,472833
43,1,2021,60,439857,434698
43,1,2021,61,374485,366272
43,1,2021,62,343678,336412
43,1,2021,63,314978,308844
43,1,2021,64,316285,314351
43,1,2021,65,317110,319690
43,1,2021,66,349874,362677
43,1,2021,67,349705,368087
43,1,2021,68,349003,373211
43,1,2021,69,324881,349353
43,1,2021,70,301721,326588
43,1,2021,71,272247,294142
43,1,2021,72,251825,274210
43,1,2021,73,232548,255289
43,1,2021,74,208059,231304
43,1,2021,75,185704,209169
43,1,2021,76,157492,179305
43,1,2021,77,139715,161544
43,1,2021,78,123570,145293
43,1,2021,79,114764,138941
43,1,2021,80,106071,132381
43,1,2021,81,103987,133881
43,1,2021,82,95075,126237
43,1,2021,83,86495,118420
43,1,2021,84,73994,105777
43,1,2021,85,62852,93942
43,1,2021,86,52139,82510
43,1,2021,87,43557,72498
43,1,2021,88,36098,63372
43,1,2021,89,28368,52768
43,1,2021,90,22057,43575
43,1,2021,91,16970,35505
43,1,2021,92,12914,28866
43,1,2021,93,9732,23313
43,1,2021,94,6743,17724
43,1,2021,95,4627,13383
43,1,2021,96,3082,10043
43,1,2021,97,2087,7486
43,1,2021,98,1406,5543
43,1,2021,99,858,3708
43,1,2021,100,524,2711
43,1,2022,16,447148,367032
43,1,2022,17,446425,362994
43,1,2022,18,441310,357696
43,1,2022,19,436234,352461
43,1,2022,20,423948,345164
43,1,2022,21,411999,338013
43,1,2022,22,382924,316540
43,1,2022,23,372112,309973
43,1,2022,24,361595,303536
43,1,2022,25,372204,318144
43,1,2022,26,383111,333437
43,1,2022,27,398357,353739
43,1,2022,28,410042,370738
43,1,2022,29,422082,388555
43,1,2022,30,450909,424138
43,1,2022,31,481716,462993
43,1,2022,32,566190,564529
43,1,2022,33,604879,616232
43,1,2022,34,646210,672660
43,1,2022,35,612420,639182
43,1,2022,36,580352,607322
43,1,2022,37,499340,522491
43,1,2022,38,473119,496403
43,1,2022,39,448238,471603
43,1,2022,40,442286,460390
43,1,2022,41,436342,449417
43,1,2022,42,422320,427201
43,1,2022,43,416516,416948
43,1,2022,44,410727,406905
43,1,2022,45,435525,427073
43,1,2022,46,461678,448153
43,1,2022,47,522839,497830
43,1,2022,48,553974,522263
43,1,2022,49,586839,547831
43,1,2022,50,597600,561068
43,1,2022,51,608187,574504
43,1,2022,52,626312,602269
43,1,2022,53,636721,616453
43,1,2022,54,646961,630851
43,1,2022,55,620398,606969
43,1,2022,56,594474,583766
43,1,2022,57,560952,553691
43,1,2022,58,536826,532212
