age,female,male
0,124725,148846
1,126076,149655
2,127442,150467
3,128823,151285
4,130219,152106
5,128697,149427
6,130092,150239
7,131501,151055
8,137826,157686
9,144456,164608
10,152635,174336
11,159977,181989
12,167671,189978
13,179087,200451
14,191279,211501
15,215507,234926
16,230179,247877
17,245850,261542
18,245580,256756
19,245311,252057
20,244564,243056
21,244294,238607
22,244026,234241
23,228710,220030
24,214355,206681
25,187594,182828
26,175820,171736
27,164785,161318
28,162323,160343
29,159898,159373
30,153221,155645
31,150931,154705
32,148676,153770
33,161186,166420
34,174748,180110
35,207724,212003
36,225201,229444
37,244149,248319
38,249429,254027
39,254824,259866
40,263588,269305
41,269288,275497
42,275112,281829
43,260350,267665
44,246381,254212
45,227590,235434
46,215378,223602
47,203821,212364
48,184348,193787
49,166735,176835
50,137073,148595
51,123975,135596
52,112130,123734
53,114293,125038
54,116498,126355
55,132791,140996
56,135351,142481
57,137962,143982
58,132040,136988
59,126372,130334
60,116417,119098
61,111419,113312
62,106636,107808
63,101857,103013
64,97292,98431
65,93249,94895
66,89069,90673
67,85077,86640
68,80577,81874
69,76314,77370
70,73699,74619
71,69801,70513
72,66108,66634
73,59738,59766
74,53981,53605
75,49363,48325
76,44606,43345
77,40308,38877
78,33194,31941
79,27336,26242
80,20781,20211
81,17113,16605
82,14093,13642
83,11845,11123
84,9956,9069
85,8871,7637
86,7456,6226
87,6267,5076
88,4753,3748
89,3605,2768
90,2507,1844
91,1902,1362
92,1443,1006
93,1091,776
94,825,598
95,622,480
96,470,370
97,355,285
98,269,220
99,203,170
100+,135,58
