area,mode,Year,Age,Male,Female
62,1,2021,16,149038,128417
62,1,2021,17,149829,129804
62,1,2021,18,150617,131198
62,1,2021,19,157195,137488
62,1,2021,20,164052,144074
62,1,2021,21,173697,152199
62,1,2021,22,181262,159481
62,1,2021,23,189151,167106
62,1,2021,24,199498,178429
62,1,2021,25,210401,190508
62,1,2021,26,233599,214554
62,1,2021,27,246375,229075
62,1,2021,28,259858,244581
62,1,2021,29,255016,244225
62,1,2021,30,250272,243879
62,1,2021,31,241265,243060
62,1,2021,32,236779,242707
62,1,2021,33,232377,242350
62,1,2021,34,218215,227047
62,1,2021,35,204906,212695
62,1,2021,36,181180,186039
62,1,2021,37,170098,174259
62,1,2021,38,159680,163218
62,1,2021,39,158599,160670
62,1,2021,40,157502,158154
62,1,2021,41,153655,151423
62,1,2021,42,152538,149017
62,1,2021,43,151401,146631
62,1,2021,44,163593,158775
62,1,2021,45,176718,171889
62,1,2021,46,207558,203994
62,1,2021,47,224090,220765
62,1,2021,48,241878,238878
62,1,2021,49,246717,243536
62,1,2021,50,251534,248230
62,1,2021,51,259622,256109
62,1,2021,52,264371,260911
62,1,2021,53,269043,265733
62,1,2021,54,254041,250635
62,1,2021,55,239701,236302
62,1,2021,56,220383,217370
62,1,2021,57,207651,204779
62,1,2021,58,195523,192846
62,1,2021,59,176776,173508
62,1,2021,60,159614,156022
62,1,2021,61,132483,127440
62,1,2021,62,119244,114454
62,1,2021,63,107170,102729
62,1,2021,64,106505,103850
62,1,2021,65,105670,104874
62,1,2021,66,115576,118281
62,1,2021,67,114295,119155
62,1,2021,68,112844,119896
62,1,2021,69,104727,113145
62,1,2021,70,96953,106606
62,1,2021,71,85985,96514
62,1,2021,72,79266,90640
62,1,2021,73,72946,84991
62,1,2021,74,67303,79413
62,1,2021,75,61943,74037
62,1,2021,76,57335,69096
62,1,2021,77,52435,64141
62,1,2021,78,47803,59425
62,1,2021,79,42969,54489
62,1,2021,80,38430,49750
62,1,2021,81,34865,46023
62,1,2021,82,30838,41512
62,1,2021,83,27139,37219
62,1,2021,84,22557,31647
62,1,2021,85,18614,26734
62,1,2021,86,15301,22712
62,1,2021,87,12414,18961
62,1,2021,88,9991,15741
62,1,2021,89,7307,11843
62,1,2021,90,5287,8831
62,1,2021,91,3543,6018
62,1,2021,92,2509,4412
62,1,2021,93,1759,3212
62,1,2021,94,1212,2370
62,1,2021,95,827,1736
62,1,2021,96,578,1338
62,1,2021,97,389,966
62,1,2021,98,261,693
62,1,2021,99,157,445
62,1,2021,100,94,303
62,1,2022,16,151690,129909
62,1,2022,17,148996,128389
62,1,2022,18,149781,129770
62,1,2022,19,150563,131158
62,1,2022,20,157132,137443
62,1,2022,21,163984,144027
62,1,2022,22,173621,152148
62,1,2022,23,181179,159427
62,1,2022,24,189060,167049
62,1,2022,25,199398,178365
62,1,2022,26,210292,190431
62,1,2022,27,233474,214457
62,1,2022,28,246238,228961
62,1,2022,29,259710,244449
62,1,2022,30,254865,244086
62,1,2022,31,250118,243735
62,1,2022,32,241110,242912
62,1,2022,33,236621,242555
62,1,2022,34,232217,242194
62,1,2022,35,218050,226889
62,1,2022,36,204730,212528
62,1,2022,37,181005,185876
62,1,2022,38,169917,174091
62,1,2022,39,159493,163046
62,1,2022,40,158392,160485
62,1,2022,41,157268,157953
62,1,2022,42,153399,151213
62,1,2022,43,152257,148793
62,1,2022,44,151096,146394
62,1,2022,45,163224,158492
62,1,2022,46,176262,171544
62,1,2022,47,206955,203539
62,1,2022,48,223368,220223
62,1,2022,49,241025,238240
62,1,2022,50,245721,242819
62,1,2022,51,250337,247419
62,1,2022,52,258203,255190
62,1,2022,53,262739,259891
62,1,2022,54,267194,264612
62,1,2022,55,252093,249471
62,1,2022,56,237647,235079
62,1,2022,57,218298,216131
62,1,2022,58,205502,203505
62,1,2022,59,193335,191548
62,1,2022,60,174537,172224
