age,female,male
0,197762,251200
1,193478,243400
2,189286,235841
3,185185,228518
4,181172,221421
5,176708,212374
6,172880,205778
7,169134,199388
8,166341,196650
9,163593,193950
10,149466,181183
11,146998,178696
12,144570,176242
13,160849,193101
14,178961,211573
15,217136,251463
16,241586,275518
17,268790,301873
18,290282,319174
19,313492,337465
20,358295,370173
21,386943,391387
22,417883,413817
23,403324,400273
24,389272,387173
25,347969,350722
26,335847,339242
27,324146,328139
28,318011,323984
29,311992,319882
30,299734,311007
31,294061,307068
32,288495,303180
33,298196,313646
34,308223,324473
35,337213,354574
36,348553,366815
37,360273,379477
38,356870,375441
39,353500,371448
40,347792,364394
41,344508,360518
42,341254,356683
43,327386,342014
44,314081,327948
45,297675,309927
46,285577,297179
47,273972,284957
48,259055,270660
49,244951,257080
50,223980,238545
51,211785,226576
52,200254,215208
53,197693,210803
54,195164,206488
55,206472,212713
56,203830,208359
57,201223,204095
58,184338,189211
59,168870,175413
60,145960,156446
61,133713,145036
62,122493,134459
63,114060,125236
64,106209,116646
65,97221,106834
66,90529,99506
67,84297,92680
68,82649,89561
69,81034,86548
70,83125,87361
71,81500,84420
72,79907,81579
73,76676,76079
74,73576,70949
75,71083,66014
76,68210,61563
77,65452,57412
78,60503,51406
79,55928,46028
80,52220,41789
81,48271,37416
82,44621,33502
83,38479,27409
84,33182,22424
85,28122,17648
86,24251,14438
87,20912,11812
88,16720,8929
89,13367,6750
90,10307,4859
91,8241,3672
92,6588,2776
93,4935,1984
94,3696,1418
95,2614,962
96,1958,688
97,1467,492
98,1098,351
99,823,251
100+,837,221
