area,mode,Year,Age,Male,Female
54,1,2021,16,24330,23311
54,1,2021,17,24137,23172
54,1,2021,18,23944,23033
54,1,2021,19,24112,23220
54,1,2021,20,24278,23407
54,1,2021,21,24429,23730
54,1,2021,22,24595,23918
54,1,2021,23,24760,24107
54,1,2021,24,25317,24404
54,1,2021,25,25884,24703
54,1,2021,26,26410,24717
54,1,2021,27,27003,25020
54,1,2021,28,27611,25326
54,1,2021,29,28741,26226
54,1,2021,30,29919,27161
54,1,2021,31,32546,29273
54,1,2021,32,33881,30315
54,1,2021,33,35269,31393
54,1,2021,34,34766,31135
54,1,2021,35,34268,30876
54,1,2021,36,33179,30466
54,1,2021,37,32696,30209
54,1,2021,38,32213,29952
54,1,2021,39,30930,28657
54,1,2021,40,29691,27417
54,1,2021,41,27446,25072
54,1,2021,42,26334,23979
54,1,2021,43,25260,22931
54,1,2021,44,25144,22810
54,1,2021,45,25020,22684
54,1,2021,46,25719,23272
54,1,2021,47,25574,23132
54,1,2021,48,25422,22990
54,1,2021,49,24836,22577
54,1,2021,50,24251,22166
54,1,2021,51,23679,21894
54,1,2021,52,23085,21481
54,1,2021,53,22489,21069
54,1,2021,54,21470,20181
54,1,2021,55,20479,19320
54,1,2021,56,19850,18669
54,1,2021,57,18902,17856
54,1,2021,58,17986,17069
54,1,2021,59,16210,15593
54,1,2021,60,14586,14236
54,1,2021,61,12379,12364
54,1,2021,62,11098,11270
54,1,2021,63,9932,10263
54,1,2021,64,9224,9680
54,1,2021,65,8552,9118
54,1,2021,66,8087,8697
54,1,2021,67,7468,8169
54,1,2021,68,6885,7663
54,1,2021,69,6381,7302
54,1,2021,70,5898,6946
54,1,2021,71,5495,6712
54,1,2021,72,5055,6359
54,1,2021,73,4641,6016
54,1,2021,74,4205,5615
54,1,2021,75,3799,5228
54,1,2021,76,3429,4870
54,1,2021,77,3079,4511
54,1,2021,78,2754,4170
54,1,2021,79,2412,3774
54,1,2021,80,2102,3399
54,1,2021,81,1831,3042
54,1,2021,82,1579,2702
54,1,2021,83,1354,2383
54,1,2021,84,1115,2035
54,1,2021,85,912,1725
54,1,2021,86,729,1439
54,1,2021,87,587,1205
54,1,2021,88,468,1003
54,1,2021,89,363,817
54,1,2021,90,279,660
54,1,2021,91,215,542
54,1,2021,92,162,430
54,1,2021,93,120,338
54,1,2021,94,83,244
54,1,2021,95,56,175
54,1,2021,96,37,121
54,1,2021,97,25,85
54,1,2021,98,17,60
54,1,2021,99,10,38
54,1,2021,100,6,25
54,1,2022,16,24735,23642
54,1,2022,17,24319,23303
54,1,2022,18,24125,23164
54,1,2022,19,23931,23023
54,1,2022,20,24097,23209
54,1,2022,21,24263,23396
54,1,2022,22,24413,23719
54,1,2022,23,24577,23907
54,1,2022,24,24742,24095
54,1,2022,25,25298,24392
54,1,2022,26,25864,24689
54,1,2022,27,26389,24702
54,1,2022,28,26981,25003
54,1,2022,29,27588,25307
54,1,2022,30,28715,26206
54,1,2022,31,29891,27139
54,1,2022,32,32515,29248
54,1,2022,33,33847,30289
54,1,2022,34,35232,31365
54,1,2022,35,34727,31105
54,1,2022,36,34224,30843
54,1,2022,37,33132,30430
54,1,2022,38,32644,30169
54,1,2022,39,32158,29909
54,1,2022,40,30872,28612
54,1,2022,41,29628,27370
54,1,2022,42,27380,25025
54,1,2022,43,26265,23931
54,1,2022,44,25188,22882
54,1,2022,45,25064,22756
54,1,2022,46,24930,22623
54,1,2022,47,25616,23202
54,1,2022,48,25461,23056
54,1,2022,49,25299,22908
54,1,2022,50,24700,22489
54,1,2022,51,24096,22070
54,1,2022,52,23507,21790
54,1,2022,53,22896,21370
54,1,2022,54,22285,20951
54,1,2022,55,21254,20057
54,1,2022,56,20251,19188
54,1,2022,57,19607,18529
54,1,2022,58,18651,17710
54,1,2022,59,17729,16918
54,1,2022,60,15949,15442
54,1,2022,61,14314,14083
54,1,2022,62,12118,12218
54,1,2022,63,10836,11125
54,1,2022,64,9673,10121
54,1,2022,65,8960,9531
54,1,2022,66,8284,8961
54,1,2022,67,7813,8531
54,1,2022,68,7196,7998
54,1,2022,69,6617,7488
54,1,2022,70,6111,7120
54,1,2022,71,5623,6754
54,1,2022,72,5216,6510
54,1,2022,73,4777,6151
54,1,2022,74,4367,5804
54,1,2022,75,3936,5399
54,1,2022,76,3536,5007
54,1,2022,77,3173,4646
54,1,2022,78,2832,4287
54,1,2022,79,2519,3948
54,1,2022,80,2190,3550
54,1,2022,81,1890,3168
54,1,2022,82,1631,2811
54,1,2022,83,1392,2474
54,1,2022,84,1182,2163
54,1,2022,85,963,1830
54,1,2022,86,777,1537
54,1,2022,87,612,1271
54,1,2022,88,486,1054
54,1,2022,89,382,869
54,1,2022,90,292,700
54,1,2022,91,220,555
54,1,2022,92,166,449
54,1,2022,93,123,350
54,1,2022,94,90,271
54,1,2022,95,60,192
54,1,2022,96,40,136
54,1,2022,97,26,92
