age,female,male
0,205151,259945
1,211310,264875
2,217655,269899
3,224191,275018
4,230922,280233
5,233263,280298
6,240267,285616
7,247481,291033
8,262799,305436
9,279066,320552
10,322068,363315
11,342003,381296
12,363171,400166
13,346791,380835
14,331149,362438
15,291942,323186
16,278775,307574
17,266201,292716
18,260992,280922
19,255884,269604
20,257392,258522
21,252356,248107
22,247418,238111
23,238790,231069
24,230462,224237
25,212293,210965
26,204891,204726
27,197746,198672
28,203214,205623
29,208835,212816
30,220068,225786
31,226154,233686
32,232409,241861
33,243440,255436
34,254994,269773
35,279261,299963
36,292515,316799
37,306399,334580
38,304135,331612
39,301888,328669
40,297172,321602
41,294975,318748
42,292796,315920
43,279129,300080
44,266100,285034
45,250859,267158
46,239149,253762
47,227986,241038
48,211652,223192
49,196487,206667
50,168995,177896
51,156888,164724
52,145647,152528
53,150166,156193
54,154826,159946
55,178386,181623
56,183920,185987
57,189626,190456
58,180658,181852
59,172114,173636
60,155785,159064
61,148418,151878
62,141399,145016
63,135199,137910
64,129271,131151
65,123560,124278
66,118143,118188
67,112962,112396
68,108531,107077
69,104274,102010
70,103228,100088
71,99179,95352
72,95288,90840
73,87154,82090
74,79714,74183
75,71846,65962
76,65713,59608
77,60103,53867
78,52986,46729
79,46712,40538
80,41470,35635
81,36560,30913
82,32231,26817
83,26424,21088
84,21664,16582
85,17037,12182
86,13967,9579
87,11451,7532
88,9049,5736
89,7151,4368
90,5553,3245
91,4388,2471
92,3468,1882
93,2646,1420
94,2020,1072
95,1495,803
96,1141,606
97,871,457
98,665,345
99,507,260
100+,590,241
