area,mode,Year,Age,Male,Female
52,1,2021,16,279318,232759
52,1,2021,17,284578,239739
52,1,2021,18,289916,246914
52,1,2021,19,304183,262158
52,1,2021,20,319134,278332
52,1,2021,21,361575,321152
52,1,2021,22,379313,340948
52,1,2021,23,397900,361953
52,1,2021,24,378481,345524
52,1,2021,25,359988,329822
52,1,2021,26,320812,290658
52,1,2021,27,305149,277444
52,1,2021,28,290265,264834
52,1,2021,29,278446,259560
52,1,2021,30,267123,254398
52,1,2021,31,256049,255817
52,1,2021,32,245641,250725
52,1,2021,33,235655,245727
52,1,2021,34,228599,237063
52,1,2021,35,221745,228687
52,1,2021,36,208508,210542
52,1,2021,37,202209,203081
52,1,2021,38,196077,195875
52,1,2021,39,202755,201155
52,1,2021,40,209621,206568
52,1,2021,41,222107,217498
52,1,2021,42,229532,223299
52,1,2021,43,237151,229226
52,1,2021,44,249974,239815
52,1,2021,45,263407,250842
52,1,2021,46,292120,274269
52,1,2021,47,307625,286779
52,1,2021,48,323859,299814
52,1,2021,49,319877,296981
52,1,2021,50,315773,294111
52,1,2021,51,307526,288776
52,1,2021,52,303163,285837
52,1,2021,53,298661,282856
52,1,2021,54,281786,268756
52,1,2021,55,265649,255259
52,1,2021,56,246918,239640
52,1,2021,57,232419,227427
52,1,2021,58,218612,215759
52,1,2021,59,200314,199255
52,1,2021,60,183280,183912
52,1,2021,61,155594,157165
52,1,2021,62,141871,144886
52,1,2021,63,129150,133483
52,1,2021,64,129811,136497
52,1,2021,65,130248,139435
52,1,2021,66,144659,158965
52,1,2021,67,144637,161991
52,1,2021,68,144361,164882
52,1,2021,69,134117,154895
52,1,2021,70,124261,145284
52,1,2021,71,110155,129240
52,1,2021,72,101604,120828
52,1,2021,73,93546,112787
52,1,2021,74,85629,105499
52,1,2021,75,78182,98463
52,1,2021,76,70892,91646
52,1,2021,77,64303,85169
52,1,2021,78,58136,78992
52,1,2021,79,52489,73482
52,1,2021,80,47146,68066
52,1,2021,81,43340,64554
52,1,2021,82,38492,59074
52,1,2021,83,34013,53737
52,1,2021,84,28370,46255
52,1,2021,85,23494,39555
52,1,2021,86,18973,33126
52,1,2021,87,15446,27997
52,1,2021,88,12473,23528
52,1,2021,89,9593,18954
52,1,2021,90,7299,15133
52,1,2021,91,5561,12045
52,1,2021,92,4141,9456
52,1,2021,93,3054,7371
52,1,2021,94,2022,5306
52,1,2021,95,1326,3791
52,1,2021,96,806,2580
52,1,2021,97,522,1818
52,1,2021,98,336,1272
52,1,2021,99,209,851
52,1,2021,100,129,622
52,1,2022,16,279205,230375
52,1,2022,17,279222,232708
