age,female,male
0,142895,157498
1,144517,159530
2,146158,161589
3,147818,163674
4,149496,165786
5,150244,166976
6,151949,169131
7,153674,171314
8,157020,175128
9,160439,179027
10,159960,179686
11,163442,183687
12,167001,187776
13,178999,199259
14,191860,211444
15,209874,226962
16,224951,240840
17,241113,255567
18,260668,274968
19,281810,295842
20,329001,344594
21,355685,370752
22,384533,398898
23,371431,383305
24,358777,368322
25,315263,319798
26,304522,307298
27,294147,295286
28,297750,300476
29,301396,305757
30,311350,320353
31,315163,325983
32,319024,331713
33,327107,340395
34,335395,349305
35,347030,361010
36,355824,370459
37,364840,380156
38,373104,388695
39,381555,397425
40,393541,410048
41,402455,419259
42,411571,428676
43,414096,430448
44,416636,432228
45,421600,436221
46,424185,438025
47,426787,439836
48,418547,430134
49,410465,420646
50,395573,404035
51,387936,395123
52,380445,386407
53,374257,379037
54,368169,371806
55,377807,380504
56,371662,373246
57,365616,366126
58,334740,334023
59,306471,304735
60,265422,262721
61,243006,239685
62,222484,218669
63,206760,202637
64,192146,187781
65,176810,172957
66,164314,160276
67,152700,148526
68,147275,142019
69,142043,135798
70,142511,134311
71,137447,128428
72,132564,122802
73,124367,114624
74,116677,106990
75,110031,100378
76,103227,93694
77,96845,87454
78,86907,78387
79,77990,70259
80,70191,63587
81,62989,56994
82,56525,51085
83,47245,42251
84,39488,34944
85,32323,28239
86,27017,23355
87,22581,19316
88,17412,14504
89,13427,10890
90,9799,7618
91,7556,5719
92,5826,4294
93,4335,3106
94,3226,2246
95,2324,1569
96,1730,1135
97,1287,821
98,958,594
99,713,429
100+,756,426
