area,mode,Year,Age,Male,Female
21,1,2021,16,166705,150038
21,1,2021,17,168841,151737
21,1,2021,18,171000,153450
21,1,2021,19,174780,156776
21,1,2021,20,178639,160169
21,1,2021,21,179260,159669
21,1,2021,22,183212,163119
21,1,2021,23,187245,166643
21,1,2021,24,198644,178583
21,1,2021,25,210731,191373
21,1,2021,26,226132,209291
21,1,2021,27,239895,224275
21,1,2021,28,254503,240333
21,1,2021,29,273762,259767
21,1,2021,30,294486,280777
21,1,2021,31,342948,327727
21,1,2021,32,368910,354229
21,1,2021,33,396837,382866
21,1,2021,34,381249,369726
21,1,2021,35,366263,357022
21,1,2021,36,317916,313610
21,1,2021,37,305378,302810
21,1,2021,38,293313,292372
21,1,2021,39,298318,295822
21,1,2021,40,303377,299298
21,1,2021,41,317624,309012
21,1,2021,42,322924,312597
21,1,2021,43,328269,316199
21,1,2021,44,336477,323950
21,1,2021,45,344821,331848
21,1,2021,46,355817,342992
21,1,2021,47,364491,351271
21,1,2021,48,373305,359711
21,1,2021,49,380879,367349
21,1,2021,50,388465,375092
21,1,2021,51,399608,386212
21,1,2021,52,407181,394217
21,1,2021,53,414703,402318
21,1,2021,54,414597,403884
21,1,2021,55,414253,405350
21,1,2021,56,415762,409039
21,1,2021,57,414946,410306
21,1,2021,58,413906,411477
21,1,2021,59,401890,402117
21,1,2021,60,389808,392823
21,1,2021,61,370832,376935
21,1,2021,62,358764,367916
21,1,2021,63,346671,358963
21,1,2021,64,335600,351174
21,1,2021,65,324428,343294
21,1,2021,66,326726,349724
21,1,2021,67,314954,341239
21,1,2021,68,303180,332658
21,1,2021,69,271063,301543
21,1,2021,70,241832,273006
21,1,2021,71,203433,233488
21,1,2021,72,180817,210845
21,1,2021,73,160461,190162
21,1,2021,74,144414,173873
21,1,2021,75,129675,158693
21,1,2021,76,115392,143136
21,1,2021,77,103020,130185
21,1,2021,78,91715,118217
21,1,2021,79,84018,111244
21,1,2021,80,76617,104325
21,1,2021,81,71863,101260
21,1,2021,82,64861,94042
21,1,2021,83,58262,86924
21,1,2021,84,50850,77777
21,1,2021,85,44077,69217
21,1,2021,86,38078,61586
21,1,2021,87,32481,54252
21,1,2021,88,27494,47557
21,1,2021,89,22180,39685
21,1,2021,90,17709,32857
21,1,2021,91,14111,27043
21,1,2021,92,11032,22057
21,1,2021,93,8543,17874
21,1,2021,94,6046,13404
21,1,2021,95,4237,9985
21,1,2021,96,2879,7239
21,1,2021,97,1992,5327
21,1,2021,98,1371,3895
21,1,2021,99,852,2611
21,1,2021,100,537,1933
21,1,2022,16,165503,149270
21,1,2022,17,166673,150016
21,1,2022,18,168804,151710
21,1,2022,19,170956,153419
21,1,2022,20,174731,156741
21,1,2022,21,178587,160133
21,1,2022,22,179206,159633
21,1,2022,23,183153,163082
21,1,2022,24,187182,166605
21,1,2022,25,198574,178539
21,1,2022,26,210654,191320
21,1,2022,27,226047,209227
21,1,2022,28,239802,224199
21,1,2022,29,254400,240245
21,1,2022,30,273648,259666
21,1,2022,31,294357,280664
21,1,2022,32,342793,327592
21,1,2022,33,368736,354077
21,1,2022,34,396644,382698
21,1,2022,35,381046,369550
21,1,2022,36,366039,356830
21,1,2022,37,317697,313423
21,1,2022,38,305145,302610
21,1,2022,39,293068,292162
21,1,2022,40,298038,295589
21,1,2022,41,303050,299039
21,1,2022,42,317240,308719
21,1,2022,43,322491,312277
21,1,2022,44,327787,315851
21,1,2022,45,335920,323556
21,1,2022,46,344164,331392
21,1,2022,47,355052,342468
21,1,2022,48,363618,350681
21,1,2022,49,372324,359053
21,1,2022,50,379727,366609
21,1,2022,51,387071,374253
21,1,2022,52,397954,385262
21,1,2022,53,405272,393161
21,1,2022,54,412534,401154
21,1,2022,55,412167,402598
21,1,2022,56,411526,403911
21,1,2022,57,412729,407439
21,1,2022,58,411623,408554
21,1,2022,59,410313,409575
21,1,2022,60,397928,400074
21,1,2022,61,385308,390603
21,1,2022,62,365942,374594
