age,female,male
0,149004,166505
1,148209,166210
2,147419,165914
3,146634,165619
4,145852,165325
5,141686,162027
6,140930,161739
7,140179,161452
8,144968,166108
9,149920,170899
10,156610,178017
11,161960,183150
12,167493,188433
13,176621,195467
14,186246,202764
15,205712,218144
16,216923,226289
17,228744,234736
18,228080,231328
19,227417,227969
20,227043,224211
21,226384,220955
22,225726,217746
23,212220,204048
24,199521,191212
25,175901,168728
26,165377,158115
27,155481,148168
28,153334,145929
29,151217,143723
30,140343,132391
31,138405,130390
32,136494,128420
33,155377,147646
34,176872,169751
35,238773,233870
36,271805,268884
37,309408,309141
38,306061,306905
39,302750,304686
40,281646,284416
41,278599,282360
42,275586,280318
43,264153,268492
44,253195,257166
45,242695,243882
46,232626,233593
47,222975,223739
48,206079,209408
49,190463,195996
50,157151,167471
51,145243,156745
52,134237,146706
53,145015,156640
54,156658,167246
55,202306,207328
56,218548,221368
57,236096,236358
58,221502,224538
59,207811,213309
60,177649,188570
61,166669,179139
62,156367,170180
63,148276,161745
64,140603,153728
65,134907,147666
66,127925,140346
67,121306,133390
68,114028,124403
69,107187,116021
70,100223,107732
71,94210,100472
72,88558,93703
73,83177,86042
74,78122,79007
75,74635,72917
76,70100,66956
77,65840,61482
78,59814,54740
79,54340,48738
80,49998,44210
81,45422,39362
82,41266,35046
83,34847,28600
84,29426,23339
85,24139,18270
86,20385,14909
87,17214,12167
88,13682,9287
89,10874,7090
90,8413,5190
91,6686,3962
92,5314,3024
93,3978,2209
94,2978,1613
95,2114,1131
96,1582,826
97,1184,604
98,887,441
99,664,322
100+,628,198
