area,mode,Year,Age,Male,Female
50,1,2021,16,161729,141487
50,1,2021,17,161426,140729
50,1,2021,18,161118,139970
50,1,2021,19,165736,144737
50,1,2021,20,170482,149662
50,1,2021,21,177543,156318
50,1,2021,22,182618,161633
50,1,2021,23,187835,167126
50,1,2021,24,194789,176200
50,1,2021,25,201996,185761
50,1,2021,26,217247,205127
50,1,2021,27,225291,216255
50,1,2021,28,233636,227986
50,1,2021,29,230187,227272
50,1,2021,30,226794,226563
50,1,2021,31,223007,226142
50,1,2021,32,219721,225434
50,1,2021,33,216482,224723
50,1,2021,34,202819,211222
50,1,2021,35,190011,198521
50,1,2021,36,167613,174956
50,1,2021,37,157007,164424
50,1,2021,38,147059,154520
50,1,2021,39,144756,152316
50,1,2021,40,142472,150139
50,1,2021,41,131132,139263
50,1,2021,42,129026,137251
50,1,2021,43,126935,135256
50,1,2021,44,145756,153841
50,1,2021,45,167331,174956
50,1,2021,46,230139,235927
50,1,2021,47,264087,268243
50,1,2021,48,302980,304953
50,1,2021,49,300089,301226
50,1,2021,50,297110,297499
50,1,2021,51,276442,276275
50,1,2021,52,273418,272759
50,1,2021,53,270290,269242
50,1,2021,54,257659,257483
50,1,2021,55,245466,246173
50,1,2021,56,231389,235292
50,1,2021,57,220171,224834
50,1,2021,58,209376,214787
50,1,2021,59,194456,197798
50,1,2021,60,180394,182084
50,1,2021,61,152551,149573
50,1,2021,62,141133,137572
50,1,2021,63,130403,126480
50,1,2021,64,137272,135862
50,1,2021,65,144290,145828
50,1,2021,66,175822,186923
50,1,2021,67,184265,200253
50,1,2021,68,192829,214338
50,1,2021,69,179285,199052
50,1,2021,70,166320,184629
50,1,2021,71,143245,155823
50,1,2021,72,132370,144154
50,1,2021,73,122121,133190
50,1,2021,74,112538,124225
50,1,2021,75,103464,115652
50,1,2021,76,95844,108732
50,1,2021,77,87594,100871
50,1,2021,78,79819,93428
50,1,2021,79,71169,85652
50,1,2021,80,63157,78251
50,1,2021,81,55480,70747
50,1,2021,82,48715,64000
50,1,2021,83,42567,57618
50,1,2021,84,36446,51577
50,1,2021,85,30987,45916
50,1,2021,86,26252,41353
50,1,2021,87,21958,36438
50,1,2021,88,18223,31948
50,1,2021,89,14550,26963
