age,female,male
0,172683,200015
1,169617,197263
2,166605,194550
3,163646,191874
4,160740,189235
5,152855,180827
6,150141,178341
7,147475,175888
8,152897,182800
9,158519,189984
10,161546,196368
11,167485,204085
12,173643,212105
13,193757,232780
14,216202,255469
15,262831,301516
16,293277,330905
17,327249,363159
18,340681,373290
19,354665,383704
20,379464,402319
21,395040,413544
22,411255,425081
23,384734,397820
24,359923,372307
25,307164,320009
26,287356,299486
27,268825,280279
28,262862,274723
29,257031,269278
30,247232,260313
31,241748,255153
32,236385,250095
33,248945,263358
34,262172,277325
35,296903,313004
36,312677,329604
37,329291,347083
38,330733,349572
39,332182,352078
40,330764,352733
41,332214,355263
42,333669,357810
43,324652,348196
44,315878,338842
45,302621,324150
46,294443,315440
47,286486,306966
48,276734,296585
49,267314,286556
50,254096,273691
51,245447,264436
52,237092,255494
53,233671,249907
54,230300,244443
55,236976,247293
56,233557,241887
57,230187,236598
58,214974,220991
59,200765,206414
60,179420,186239
61,167562,173955
62,156487,162480
63,148594,153026
64,141098,144121
65,135169,136034
66,128351,128117
67,121876,120662
68,116172,114335
69,110734,108340
70,108289,105276
71,103219,99756
72,98388,94525
73,89854,86096
74,82060,78419
75,75136,71799
76,68619,65396
77,62667,59565
78,53682,50811
79,45985,43343
80,37661,35772
81,32261,30515
82,27636,26030
83,23553,21433
84,20074,17647
85,17791,14733
86,15162,12131
87,12922,9988
88,9950,7397
89,7662,5478
90,5471,3675
91,4213,2722
92,3244,2015
93,2433,1518
94,1825,1144
95,1337,875
96,1003,659
97,752,497
98,564,374
99,423,282
100+,229,111
