area,mode,Year,Age,Male,Female
61,1,2021,16,180480,152601
61,1,2021,17,177981,149887
61,1,2021,18,175509,147214
61,1,2021,19,182374,152608
61,1,2021,20,189502,158195
61,1,2021,21,195825,161189
61,1,2021,22,203469,167084
61,1,2021,23,211405,173191
61,1,2021,24,231941,193209
61,1,2021,25,254462,215533
61,1,2021,26,300226,261941
61,1,2021,27,329387,292201
61,1,2021,28,361390,325957
61,1,2021,29,371375,339243
61,1,2021,30,381647,353078
61,1,2021,31,400073,377673
61,1,2021,32,411142,393068
61,1,2021,33,422516,409082
61,1,2021,34,395329,382582
61,1,2021,35,369877,357777
61,1,2021,36,317813,305201
61,1,2021,37,297306,285388
61,1,2021,38,278101,266850
61,1,2021,39,272431,260790
61,1,2021,40,266846,254856
61,1,2021,41,257744,244976
61,1,2021,42,252385,239358
61,1,2021,43,247099,233845
61,1,2021,44,259866,246031
61,1,2021,45,273232,258810
61,1,2021,46,307837,292716
61,1,2021,47,323522,307831
61,1,2021,48,339932,323687
61,1,2021,49,341549,324561
61,1,2021,50,343036,325379
61,1,2021,51,342525,323320
61,1,2021,52,343657,324001
61,1,2021,53,344614,324614
61,1,2021,54,333720,314993
61,1,2021,55,322968,305559
61,1,2021,56,307060,291754
61,1,2021,57,296796,282838
61,1,2021,58,286706,274113
61,1,2021,59,274824,263663
61,1,2021,60,263128,253497
61,1,2021,61,248662,239708
61,1,2021,62,237417,230234
61,1,2021,63,226383,221025
61,1,2021,64,218243,216386
61,1,2021,65,210081,211659
61,1,2021,66,208831,215911
61,1,2021,67,200417,210746
61,1,2021,68,192055,205492
61,1,2021,69,175490,189672
61,1,2021,70,159989,174828
61,1,2021,71,140564,153968
61,1,2021,72,127646,141510
61,1,2021,73,115722,129878
61,1,2021,74,105616,121034
61,1,2021,75,96164,112568
61,1,2021,76,87483,105395
61,1,2021,77,79177,97646
61,1,2021,78,71448,90306
61,1,2021,79,64680,83700
61,1,2021,80,58275,77283
61,1,2021,81,53528,72796
61,1,2021,82,47716,66491
61,1,2021,83,42324,60411
61,1,2021,84,35913,52305
61,1,2021,85,30260,45019
61,1,2021,86,25408,38624
61,1,2021,87,21058,32880
61,1,2021,88,17316,27842
61,1,2021,89,13232,22000
61,1,2021,90,10005,17237
61,1,2021,91,7233,12791
61,1,2021,92,5353,9864
61,1,2021,93,3924,7555
61,1,2021,94,2749,5719
61,1,2021,95,1907,4299
61,1,2021,96,1331,3338
61,1,2021,97,912,2476
61,1,2021,98,621,1825
61,1,2021,99,378,1206
61,1,2021,100,230,865
61,1,2022,16,188853,160446
61,1,2022,17,180440,152574
61,1,2022,18,177935,149855
61,1,2022,19,175458,147178
61,1,2022,20,182316,152568
61,1,2022,21,189439,158153
61,1,2022,22,195756,161146
61,1,2022,23,203394,167038
61,1,2022,24,211324,173143
61,1,2022,25,231848,193152
61,1,2022,26,254357,215462
61,1,2022,27,300098,261845
61,1,2022,28,329241,292084
61,1,2022,29,361224,325815
61,1,2022,30,371199,339086
61,1,2022,31,381458,352910
61,1,2022,32,399867,377487
61,1,2022,33,410922,392869
61,1,2022,34,422282,408869
61,1,2022,35,395089,382366
61,1,2022,36,369621,357549
61,1,2022,37,317565,304984
61,1,2022,38,297050,285164
61,1,2022,39,277838,266622
61,1,2022,40,272142,260546
61,1,2022,41,266523,254592
61,1,2022,42,257394,244700
61,1,2022,43,252004,239066
61,1,2022,44,246691,233538
61,1,2022,45,259383,245674
61,1,2022,46,272648,258387
61,1,2022,47,307096,292184
61,1,2022,48,322655,307216
61,1,2022,49,338934,322982
61,1,2022,50,340397,323782
61,1,2022,51,341666,324511
61,1,2022,52,340949,322374
61,1,2022,53,341867,322967
61,1,2022,54,342612,323496
61,1,2022,55,331551,313799
61,1,2022,56,320614,304268
61,1,2022,57,304583,290396
61,1,2022,58,294171,281400
61,1,2022,59,283958,272605
61,1,2022,60,271836,262068
61,1,2022,61,259783,251792
61,1,2022,62,245054,237936
61,1,2022,63,233546,228379
61,1,2022,64,222290,219102
61,1,2022,65,213880,214289
61,1,2022,66,205451,209324
61,1,2022,67,203803,213244
61,1,2022,68,195185,207866
61,1,2022,69,186663,202420
61,1,2022,70,170093,186535
61,1,2022,71,154525,171604
61,1,2022,72,135295,150841
61,1,2022,73,122437,138373
61,1,2022,74,110624,126763
61,1,2022,75,100547,117847
61,1,2022,76,91102,109280
61,1,2022,77,82478,102019
61,1,2022,78,74288,94243
61,1,2022,79,66721,86918
61,1,2022,80,60011,80173
61,1,2022,81,53617,73514
61,1,2022,82,48846,68779
61,1,2022,83,43185,62398
61,1,2022,84,37997,56312
61,1,2022,85,31914,48409
61,1,2022,86,26554,41352
61,1,2022,87,22021,35211
61,1,2022,88,18026,29750
61,1,2022,89,14643,25008
61,1,2022,90,11024,19557
61,1,2022,91,8187,15114
61,1,2022,92,5815,11066
61,1,2022,93,4228,8419
61,1,2022,94,3044,6363
61,1,2022,95,2096,4752
61,1,2022,96,1428,3525
61,1,2022,97,979,2700
61,1,2022,98,659,1976
61,1,2022,99,441,1437
61,1,2022,100,268,1036
61,1,2023,16,191464,163306
61,1,2023,17,188813,160418
61,1,2023,18,180395,152542
61,1,2023,19,177885,149819
61,1,2023,20,175404,147140
61,1,2023,21,182258,152529
61,1,2023,22,189375,158112
61,1,2023,23,195687,161103
61,1,2023,24,203319,166993
61,1,2023,25,211243,173094
61,1,2023,26,231755,193090
61,1,2023,27,254251,215386
61,1,2023,28,299969,261744
61,1,2023,29,329095,291960
61,1,2023,30,361058,325669
61,1,2023,31,371020,338930
61,1,2023,32,381267,352742
61,1,2023,33,399659,377301
61,1,2023,34,410701,392671
61,1,2023,35,422033,408646
61,1,2023,36,394823,382129
61,1,2023,37,369341,357302
61,1,2023,38,317299,304753
61,1,2023,39,296777,284928
61,1,2023,40,277551,266380
61,1,2023,41,271821,260285
61,1,2023,42,266170,254314
61,1,2023,43,257016,244410
61,1,2023,44,251599,238762
61,1,2023,45,246244,233210
61,1,2023,46,258843,245285
61,1,2023,47,272008,257932
61,1,2023,48,306294,291619
61,1,2023,49,321732,306568
61,1,2023,50,337819,322232
61,1,2023,51,339071,322947
61,1,2023,52,340132,323592
61,1,2023,53,339216,321378
61,1,2023,54,339930,321890
61,1,2023,55,340439,322308
61,1,2023,56,329192,312515
61,1,2023,57,318088,302897
61,1,2023,58,301951,288967
61,1,2023,59,291416,279901
61,1,2023,60,280942,271008
61,1,2023,61,268458,260361
61,1,2023,62,256098,249990
61,1,2023,63,241148,236079
61,1,2023,64,229417,226456
61,1,2023,65,217943,217046
61,1,2023,66,209265,211997
61,1,2023,67,200607,206816
61,1,2023,68,198591,210417
61,1,2023,69,189814,204848
61,1,2023,70,181035,199167
61,1,2023,71,164394,183192
61,1,2023,72,148841,168216
61,1,2023,73,129877,147589
61,1,2023,74,117141,135143
61,1,2023,75,105409,123513
61,1,2023,76,95345,114494
61,1,2023,77,85978,105868
61,1,2023,78,77470,98552
61,1,2023,79,69453,90795
61,1,2023,80,61981,83344
61,1,2023,81,55287,76357
61,1,2023,82,48996,69552
61,1,2023,83,44275,64642
61,1,2023,84,38832,58259
61,1,2023,85,33824,52209
61,1,2023,86,28057,44549
61,1,2023,87,23060,37773
61,1,2023,88,18890,31926
61,1,2023,89,15277,26781
61,1,2023,90,12229,22284
61,1,2023,91,9044,17193
61,1,2023,92,6599,13112
61,1,2023,93,4605,9474
61,1,2023,94,3290,7114
61,1,2023,95,2328,5306
61,1,2023,96,1574,3910
61,1,2023,97,1054,2862
61,1,2023,98,710,2164
61,1,2023,99,470,1563
61,1,2023,100,314,1242
61,1,2024,16,194082,166180
61,1,2024,17,191424,163279
61,1,2024,18,188767,160387
61,1,2024,19,180346,152507
61,1,2024,20,177833,149782
61,1,2024,21,175349,147104
61,1,2024,22,182198,152490
61,1,2024,23,189310,158072
61,1,2024,24,195616,161061
61,1,2024,25,203242,166947
61,1,2024,26,211160,173040
61,1,2024,27,231662,193024
61,1,2024,28,254145,215305
61,1,2024,29,299839,261637
61,1,2024,30,328947,291834
61,1,2024,31,360889,325523
61,1,2024,32,370840,338774
61,1,2024,33,381074,352574
61,1,2024,34,399450,377117
61,1,2024,35,410467,392463
61,1,2024,36,421757,408401
61,1,2024,37,394533,381874
61,1,2024,38,369040,357040
61,1,2024,39,317015,304509
61,1,2024,40,296479,284678
61,1,2024,41,277233,266122
61,1,2024,42,271471,260010
61,1,2024,43,265790,254023
61,1,2024,44,256614,244110
