age,female,male
0,34432,37988
1,34828,38258
2,35228,38529
3,35633,38802
4,36042,39078
5,36290,39119
6,36708,39396
7,37130,39675
8,37836,40354
9,38555,41044
10,39200,41664
11,39946,42375
12,40705,43100
13,41916,44391
14,43164,45720
15,45569,48322
16,46925,49769
17,48322,51259
18,48267,51233
19,48212,51207
20,48008,51055
21,47955,51029
22,47900,51003
23,46651,49678
24,45434,48387
25,42260,44884
26,41158,43718
27,40084,42582
28,41099,43846
29,42140,45148
30,44507,47893
31,45634,49315
32,46790,50778
33,48034,52528
34,49311,54339
35,51576,57708
36,52946,59697
37,54354,61754
38,54198,61499
39,54043,61245
40,54625,61448
41,54469,61194
42,54313,60942
43,51355,57634
44,48558,54506
45,45696,51375
46,43207,48586
47,40853,45950
48,36549,41084
49,32699,36733
50,26555,30024
51,23757,26844
52,21254,24001
53,21248,23656
54,21241,23316
55,23429,25143
56,23420,24782
57,23413,24425
58,22326,22968
59,21289,21598
60,19575,19549
61,18667,18382
62,17800,17285
63,17173,16488
64,16569,15727
65,16321,15174
66,15747,14473
67,15193,13805
68,14312,13119
69,13482,12468
70,12814,12186
71,12070,11581
72,11371,11006
73,10226,9875
74,9197,8861
75,8272,7922
76,7440,7107
77,6691,6377
78,5627,5305
79,4733,4413
80,3824,3545
81,3217,2949
82,2705,2453
83,2219,1932
84,1821,1521
85,1520,1181
86,1247,930
87,1023,732
88,763,530
89,569,383
90,393,253
91,293,184
92,218,133
93,161,100
94,119,75
95,87,58
96,64,44
97,48,33
98,35,25
99,26,19
100+,52,32
