area,mode,Year,Age,Male,Female
63,1,2021,16,38976,36192
63,1,2021,17,39247,36607
63,1,2021,18,39516,37024
63,1,2021,19,40182,37722
63,1,2021,20,40855,38430
63,1,2021,21,41457,39062
63,1,2021,22,42146,39794
63,1,2021,23,42846,40536
63,1,2021,24,44106,41726
63,1,2021,25,45399,42949
63,1,2021,26,47953,45319
63,1,2021,27,49361,46646
63,1,2021,28,50813,48013
63,1,2021,29,50764,47937
63,1,2021,30,50718,47864
63,1,2021,31,50548,47643
63,1,2021,32,50502,47571
63,1,2021,33,50457,47495
63,1,2021,34,49127,46234
63,1,2021,35,47829,45002
63,1,2021,36,44342,41830
63,1,2021,37,43160,40710
63,1,2021,38,42005,39618
63,1,2021,39,43212,40589
63,1,2021,40,44446,41581
63,1,2021,41,47085,43873
63,1,2021,42,48407,44934
63,1,2021,43,49755,46013
63,1,2021,44,51367,47169
63,1,2021,45,53014,48343
63,1,2021,46,56150,50467
63,1,2021,47,57914,51701
63,1,2021,48,59715,52956
63,1,2021,49,59258,52677
63,1,2021,50,58772,52386
63,1,2021,51,58683,52793
63,1,2021,52,58120,52471
63,1,2021,53,57525,52135
63,1,2021,54,54030,49105
63,1,2021,55,50707,46230
63,1,2021,56,47390,43296
63,1,2021,57,44406,40724
63,1,2021,58,41580,38289
63,1,2021,59,36783,34048
63,1,2021,60,32490,30259
63,1,2021,61,26185,24391
63,1,2021,62,23049,21645
63,1,2021,63,20255,19195
63,1,2021,64,19590,19009
63,1,2021,65,18914,18802
63,1,2021,66,19943,20490
63,1,2021,67,19187,20211
63,1,2021,68,18425,19913
63,1,2021,69,16852,18691
63,1,2021,70,15372,17513
63,1,2021,71,13458,15793
63,1,2021,72,12220,14747
63,1,2021,73,11075,13746
63,1,2021,74,10165,12942
63,1,2021,75,9304,12157
63,1,2021,76,8587,11629
63,1,2021,77,7808,10873
63,1,2021,78,7077,10145
63,1,2021,79,6371,9223
63,1,2021,80,5706,8346
63,1,2021,81,5222,7569
63,1,2021,82,4625,6760
63,1,2021,83,4075,6000
63,1,2021,84,3373,5051
63,1,2021,85,2772,4223
63,1,2021,86,2250,3508
63,1,2021,87,1818,2898
63,1,2021,88,1457,2379
63,1,2021,89,1074,1817
63,1,2021,90,783,1375
63,1,2021,91,545,989
63,1,2021,92,389,735
63,1,2021,93,275,543
63,1,2021,94,182,388
63,1,2021,95,120,275
63,1,2021,96,77,197
63,1,2021,97,50,138
63,1,2021,98,32,96
63,1,2021,99,19,60
63,1,2021,100,11,39
63,1,2022,16,38928,35936
63,1,2022,17,38962,36183
63,1,2022,18,39231,36596
63,1,2022,19,39498,37011
63,1,2022,20,40162,37707
63,1,2022,21,40834,38415
63,1,2022,22,41434,39047
63,1,2022,23,42122,39778
63,1,2022,24,42821,40520
63,1,2022,25,44078,41709
63,1,2022,26,45369,42929
63,1,2022,27,47921,45296
63,1,2022,28,49327,46619
63,1,2022,29,50777,47983
63,1,2022,30,50726,47905
63,1,2022,31,50678,47831
63,1,2022,32,50507,47610
63,1,2022,33,50460,47536
63,1,2022,34,50413,47460
63,1,2022,35,49080,46197
63,1,2022,36,47777,44961
63,1,2022,37,44288,41788
63,1,2022,38,43103,40665
63,1,2022,39,41945,39570
63,1,2022,40,43142,40534
63,1,2022,41,44364,41520
63,1,2022,42,46989,43803
63,1,2022,43,48298,44856
63,1,2022,44,49633,45928
63,1,2022,45,51226,47072
63,1,2022,46,52848,48231
63,1,2022,47,55954,50337
63,1,2022,48,57689,51554
63,1,2022,49,59462,52793
63,1,2022,50,58971,52498
63,1,2022,51,58439,52189
63,1,2022,52,58302,52575
63,1,2022,53,57695,52235
63,1,2022,54,57058,51882
63,1,2022,55,53542,48843
63,1,2022,56,50197,45955
63,1,2022,57,46866,43012
63,1,2022,58,43870,40433
63,1,2022,59,41038,37993
63,1,2022,60,36242,33759
63,1,2022,61,31935,29973
63,1,2022,62,25677,24138
63,1,2022,63,22547,21401
63,1,2022,64,19768,18961
63,1,2022,65,19072,18752
63,1,2022,66,18367,18515
63,1,2022,67,19317,20143
63,1,2022,68,18537,19835
63,1,2022,69,17758,19509
63,1,2022,70,16187,18273
63,1,2022,71,14702,17079
63,1,2022,72,12818,15365
63,1,2022,73,11589,14312
63,1,2022,74,10460,13308
63,1,2022,75,9553,12492
63,1,2022,76,8695,11691
63,1,2022,77,7979,11143
63,1,2022,78,7215,10381
63,1,2022,79,6504,9652
63,1,2022,80,5811,8724
63,1,2022,81,5155,7827
63,1,2022,82,4674,7039
63,1,2022,83,4101,6234
63,1,2022,84,3580,5488
63,1,2022,85,2930,4580
63,1,2022,86,2375,3795
63,1,2022,87,1901,3125
63,1,2022,88,1515,2559
63,1,2022,89,1198,2083
63,1,2022,90,869,1571
63,1,2022,91,621,1170
63,1,2022,92,424,829
63,1,2022,93,297,607
63,1,2022,94,206,441
63,1,2022,95,134,310
63,1,2022,96,86,217
63,1,2022,97,54,153
63,1,2022,98,35,105
63,1,2022,99,22,72
63,1,2022,100,13,47
63,1,2023,16,38644,35514
63,1,2023,17,38915,35927
63,1,2023,18,38947,36172
63,1,2023,19,39213,36584
63,1,2023,20,39479,36998
63,1,2023,21,40141,37693
63,1,2023,22,40812,38400
63,1,2023,23,41411,39032
63,1,2023,24,42097,39763
63,1,2023,25,42795,40504
63,1,2023,26,44051,41690
63,1,2023,27,45340,42907
63,1,2023,28,47889,45271
63,1,2023,29,49293,46591
63,1,2023,30,50740,47952
63,1,2023,31,50688,47874
63,1,2023,32,50639,47799
63,1,2023,33,50466,47577
63,1,2023,34,50418,47503
63,1,2023,35,50367,47423
63,1,2023,36,49029,46156
63,1,2023,37,47722,44917
63,1,2023,38,44232,41743
63,1,2023,39,43044,40617
63,1,2023,40,41880,39519
63,1,2023,41,43066,40477
63,1,2023,42,44277,41456
63,1,2023,43,46887,43730
63,1,2023,44,48184,44776
63,1,2023,45,49501,45837
63,1,2023,46,51071,46967
63,1,2023,47,52669,48111
63,1,2023,48,55744,50200
63,1,2023,49,57453,51402
63,1,2023,50,59184,52621
63,1,2023,51,58647,52308
63,1,2023,52,58071,51982
63,1,2023,53,57888,52348
63,1,2023,54,57241,51991
63,1,2023,55,56557,51615
63,1,2023,56,53020,48563
63,1,2023,57,49658,45665
63,1,2023,58,46316,42716
63,1,2023,59,43314,40132
63,1,2023,60,40452,37682
