age,female,male
0,126279,140725
1,128528,142876
2,130816,145058
3,133145,147275
4,135516,149525
5,137198,150974
6,139641,153280
7,142127,155622
8,145900,159417
9,149773,163304
10,151083,165101
11,155094,169127
12,159212,173251
13,169286,182682
14,179999,192627
15,192656,203498
16,204847,214576
17,217809,226258
18,236051,243757
19,255819,262610
20,301465,306463
21,326713,330165
22,354075,355701
23,342223,344355
24,330767,333370
25,290320,293742
26,280602,284371
27,271210,275300
28,275056,280643
29,278958,286090
30,284834,294778
31,288873,300500
32,292970,306332
33,307849,322430
34,323482,339375
35,357357,374919
36,375505,394622
37,394574,415361
38,395388,416729
39,396204,418101
40,390219,413574
41,391023,414936
42,391830,416303
43,385857,408180
44,379976,400215
45,374852,391343
46,369137,383708
47,363510,376221
48,350368,361649
49,337701,347641
50,318067,327888
51,306568,315188
52,295485,302980
53,289623,294592
54,283878,286437
55,290066,288666
56,284311,280676
57,278671,272906
58,258466,252053
59,239725,232793
60,215697,209504
61,200057,193497
62,185552,178711
63,170135,162461
64,155999,147688
65,138253,128282
66,126767,116616
67,116234,106012
68,111967,102904
69,107856,99888
70,111294,104829
71,107207,101756
72,103271,98773
73,93006,89929
74,83762,81876
75,73211,72860
76,65934,66335
77,59380,60396
78,51750,52788
79,45101,46139
80,39314,40532
81,34263,35427
82,29860,30965
83,24674,25064
84,20389,20289
85,16575,15878
86,13696,12853
87,11318,10404
88,8792,7854
89,6830,5928
90,5025,4170
91,3904,3147
92,3032,2376
93,2371,1845
94,1853,1433
95,1456,1141
96,1139,886
97,890,688
98,696,534
99,544,415
100+,294,194
