area,mode,Year,Age,Male,Female
23,1,2021,16,150709,137009
23,1,2021,17,152996,139445
23,1,2021,18,155314,141919
23,1,2021,19,159075,145672
23,1,2021,20,162923,149520
23,1,2021,21,164680,150807
23,1,2021,22,168657,154786
23,1,2021,23,172725,158869
23,1,2021,24,182076,168891
23,1,2021,25,191928,179540
23,1,2021,26,202697,192119
23,1,2021,27,213670,204228
23,1,2021,28,225244,217101
23,1,2021,29,242606,235231
23,1,2021,30,261314,254876
23,1,2021,31,304888,300292
23,1,2021,32,328399,325369
23,1,2021,33,353724,352533
23,1,2021,34,342368,340644
23,1,2021,35,331365,329141
23,1,2021,36,291883,288790
23,1,2021,37,282462,279016
23,1,2021,38,273325,269565
23,1,2021,39,278480,273266
23,1,2021,40,283702,277007
23,1,2021,41,292087,282685
23,1,2021,42,297481,286510
23,1,2021,43,302930,290364
23,1,2021,44,318463,304864
23,1,2021,45,334722,320045
23,1,2021,46,369164,353179
23,1,2021,47,387844,370677
23,1,2021,48,407387,389001
23,1,2021,49,407809,389260
23,1,2021,50,408076,389461
23,1,2021,51,402387,382917
23,1,2021,52,402249,382981
23,1,2021,53,401915,382979
23,1,2021,54,392259,376297
23,1,2021,55,382603,369634
23,1,2021,56,371940,363631
23,1,2021,57,362357,357003
23,1,2021,58,352818,350409
23,1,2021,59,336614,336550
23,1,2021,60,320796,323119
23,1,2021,61,299533,303011
23,1,2021,62,284698,290673
23,1,2021,63,270258,278723
23,1,2021,64,259171,271677
23,1,2021,65,248181,264610
23,1,2021,66,245953,268407
23,1,2021,67,234837,260934
23,1,2021,68,223899,253439
23,1,2021,69,202487,232722
23,1,2021,70,182720,213436
23,1,2021,71,160298,189637
23,1,2021,72,144098,173472
23,1,2021,73,129324,158487
23,1,2021,74,114060,142967
23,1,2021,75,100363,128735
23,1,2021,76,84127,111824
23,1,2021,77,73591,100342
23,1,2021,78,64189,89894
23,1,2021,79,59614,84481
23,1,2021,80,55109,79122
23,1,2021,81,54763,78976
23,1,2021,82,50096,73248
23,1,2021,83,45604,67612
23,1,2021,84,38756,58066
23,1,2021,85,32707,49599
23,1,2021,86,26748,40895
23,1,2021,87,22209,34577
23,1,2021,88,18298,29091
23,1,2021,89,14361,23571
23,1,2021,90,11155,18949
23,1,2021,91,8606,15102
23,1,2021,92,6545,11959
23,1,2021,93,4929,9410
23,1,2021,94,3405,6974
23,1,2021,95,2329,5136
23,1,2021,96,1528,3697
23,1,2021,97,1032,2688
23,1,2021,98,693,1943
23,1,2021,99,432,1312
23,1,2021,100,272,981
23,1,2022,16,149249,135311
23,1,2022,17,150678,136989
23,1,2022,18,152960,139421
23,1,2022,19,155272,141890
23,1,2022,20,159028,145640
23,1,2022,21,162872,149486
23,1,2022,22,164627,150772
23,1,2022,23,168599,154751
23,1,2022,24,172663,158833
23,1,2022,25,182008,168849
23,1,2022,26,191854,179490
23,1,2022,27,202616,192059
23,1,2022,28,213582,204159
23,1,2022,29,225147,217021
23,1,2022,30,242499,235139
23,1,2022,31,261193,254774
23,1,2022,32,304741,300167
23,1,2022,33,328235,325229
23,1,2022,34,353541,352378
23,1,2022,35,342174,340482
23,1,2022,36,331150,328963
23,1,2022,37,291670,288617
23,1,2022,38,282233,278832
23,1,2022,39,273083,269371
23,1,2022,40,278203,273050
23,1,2022,41,283379,276765
23,1,2022,42,291713,282416
23,1,2022,43,297059,286215
23,1,2022,44,302459,290042
23,1,2022,45,317905,304491
23,1,2022,46,334049,319603
23,1,2022,47,368326,352637
23,1,2022,48,386864,370052
23,1,2022,49,406259,388286
23,1,2022,50,406510,388472
23,1,2022,51,406535,388585
23,1,2022,52,400635,381971
23,1,2022,53,400267,381950
23,1,2022,54,399706,381865
23,1,2022,55,389844,375093
23,1,2022,56,379960,368316
23,1,2022,57,369094,362202
23,1,2022,58,359314,355471
23,1,2022,59,349608,348782
23,1,2022,60,333138,334832
23,1,2022,61,316920,321284
23,1,2022,62,295400,301120
23,1,2022,63,280283,288696
23,1,2022,64,265609,276676
23,1,2022,65,254236,269449
23,1,2022,66,242964,262127
23,1,2022,67,240299,265577
23,1,2022,68,228978,257881
23,1,2022,69,217887,250187
23,1,2022,70,196526,229409
23,1,2022,71,176740,210039
23,1,2022,72,154536,186306
23,1,2022,73,138456,170138
23,1,2022,74,123853,155186
23,1,2022,75,108799,139690
23,1,2022,76,95280,125450
23,1,2022,77,79493,108686
23,1,2022,78,69211,97271
23,1,2022,79,60093,86927
23,1,2022,80,55460,81339
23,1,2022,81,50851,75705
23,1,2022,82,50128,75107
23,1,2022,83,45490,69237
23,1,2022,84,41086,63523
23,1,2022,85,34570,54201
23,1,2022,86,28817,45974
23,1,2022,87,23282,37644
23,1,2022,88,19098,31607
23,1,2022,89,15548,26413
23,1,2022,90,12027,21197
23,1,2022,91,9177,16825
23,1,2022,92,6958,13243
23,1,2022,93,5200,10358
23,1,2022,94,3849,8049
23,1,2022,95,2613,5892
23,1,2022,96,1756,4285
23,1,2022,97,1132,3046
23,1,2022,98,751,2188
23,1,2022,99,496,1562
23,1,2022,100,311,1170
23,1,2023,16,146986,132915
23,1,2023,17,149219,135291
23,1,2023,18,150643,136965
23,1,2023,19,152920,139392
23,1,2023,20,155227,141859
23,1,2023,21,158981,145608
23,1,2023,22,162821,149453
23,1,2023,23,164572,150739
23,1,2023,24,168540,154716
23,1,2023,25,172600,158794
23,1,2023,26,181939,168803
23,1,2023,27,191779,179436
23,1,2023,28,202534,191996
23,1,2023,29,213493,204086
23,1,2023,30,225050,216939
23,1,2023,31,242389,235048
23,1,2023,32,261071,254671
23,1,2023,33,304593,300043
23,1,2023,34,328070,325091
23,1,2023,35,353346,352215
23,1,2023,36,341958,340304
23,1,2023,37,330915,328772
23,1,2023,38,291441,288432
23,1,2023,39,281990,278637
23,1,2023,40,272818,269164
23,1,2023,41,277894,272819
23,1,2023,42,283026,276510
23,1,2023,43,291310,282133
23,1,2023,44,296609,285907
23,1,2023,45,301943,289698
23,1,2023,46,317282,304083
23,1,2023,47,333310,319128
23,1,2023,48,367420,352061
23,1,2023,49,385820,369393
23,1,2023,50,404997,387524
23,1,2023,51,405013,387625
23,1,2023,52,404809,387655
23,1,2023,53,398708,380975
23,1,2023,54,398119,380874
23,1,2023,55,397303,380682
23,1,2023,56,387213,373796
23,1,2023,57,377119,366914
23,1,2023,58,366065,360697
