area,age,m_death_rate,f_death_rate,m_employment_rate,f_employment_rate
11,16,0.00023,0.00005,0.963201472,0.952959029
11,17,0.00024,0.00009,0.966938934,0.949152542
11,18,0.00018,0.00012,0.953648681,0.94854004
11,19,0.00014,0.00009,0.950758221,0.945480631
11,20,0.00019,0.00005,0.937640389,0.939264113
11,21,0.00021,0.00009,0.928765074,0.922435627
11,22,0.00026,0.00008,0.908869618,0.913390507
11,23,0.00028,0.0001,0.915436407,0.917908951
11,24,0.00017,0.00007,0.935978302,0.930636243
11,25,0.00022,0.00013,0.939430007,0.936317079
11,26,0.00019,0.00012,0.944109853,0.939632546
11,27,0.00022,0.00014,0.946725674,0.943445857
11,28,0.00022,0.00008,0.951975102,0.939803708
11,29,0.00027,0.0001,0.957364781,0.943776449
11,30,0.00027,0.00009,0.957942238,0.948504626
11,31,0.00033,0.00014,0.958876879,0.949405438
11,32,0.0003,0.00017,0.964314845,0.949085724
11,33,0.00025,0.00016,0.96164886,0.950678051
11,34,0.00039,0.00016,0.964296802,0.951662248
11,35,0.00044,0.00023,0.964542484,0.956589631
11,36,0.00052,0.00027,0.963455916,0.953733846
11,37,0.00058,0.00027,0.961041696,0.957092423
11,38,0.00057,0.00037,0.961866497,0.954920635
11,39,0.0008,0.00046,0.962537463,0.955737554
11,40,0.00095,0.00041,0.959707969,0.955013078
11,41,0.00099,0.0005,0.953821535,0.952036984
11,42,0.00116,0.0005,0.954868489,0.953992893
11,43,0.00126,0.00058,0.957365934,0.955857385
11,44,0.00139,0.00074,0.960080571,0.951733269
11,45,0.0018,0.00082,0.95050933,0.953872718
11,46,0.00177,0.00091,0.952000626,0.951620062
11,47,0.00192,0.00093,0.943801963,0.95309071
11,48,0.00244,0.00099,0.943123248,0.95177665
11,49,0.00269,0.00113,0.934342739,0.956034293
11,50,0.00314,0.00156,0.943803873,0.958115183
11,51,0.00327,0.00134,0.943183309,0.961938959
11,52,0.00344,0.0014,0.936251742,0.970422535
11,53,0.00373,0.00156,0.939679548,0.964237517
11,54,0.00416,0.00183,0.939674862,0.967900302
11,55,0.0045,0.00213,0.956300652,0.961614825
11,56,0.00465,0.00228,0.95066691,0.957947855
11,57,0.00496,0.00268,0.943152455,0.935064935
11,58,0.0059,0.00291,0.951718709,0.940915805
11,59,0.00607,0.00327,0.94966443,0.957281553
11,60,0.00686,0.00357,0.957049486,0.925373134
11,61,0.00804,0.00425,0.954606142,0.91416309
11,62,0.00838,0.00445,0.95035461,0.929032258
11,63,0.00969,0.0054,0.94092827,0.9375
11,64,0.01053,0.00588,0.94047619,0.944954128
11,65,0.01169,0.00673,0.932721713,0.926829268
11,66,0.01246,0.0072,0.93220339,0.9
11,67,0.01468,0.00846,0.932960894,0.791666667
11,68,0.0155,0.00925,0.936170213,0.9
11,69,0.01925,0.01037,0.917293233,0.928571429
11,70,0.0191,0.01298,0.909090909,1
11,71,0.0222,0.01353,0.975609756,0.9
11,72,0.02536,0.0162,0.933333333,1
11,73,0.02972,0.01835,0.942307692,1
11,74,0.03126,0.02308,0.902439024,1
11,75,0.03896,0.02438,0.923076923,0.846153846
11,76,0.04115,0.02928,0.923076923,0.846153846
11,77,0.04733,0.03267,0.923076923,0.846153846
11,78,0.05102,0.03781,0.923076923,0.846153846
11,79,0.05627,0.04199,0.923076923,0.846153846
11,80,0.06643,0.05014,0.923076923,0.846153846
11,81,0.0742,0.05602,0.923076923,0.846153846
11,82,0.08047,0.0653,0.923076923,0.846153846
11,83,0.09097,0.07398,0.923076923,0.846153846
11,84,0.09988,0.07998,0.923076923,0.846153846
11,85,0.1145,0.09019,0.923076923,0.846153846
11,86,0.12216,0.09979,0.923076923,0.846153846
11,87,0.13402,0.11152,0.923076923,0.846153846
11,88,0.1547,0.12685,0.923076923,0.846153846
11,89,0.16532,0.13053,0.923076923,0.846153846
11,90,0.19359,0.16145,0.923076923,0.846153846
