area,year,salary,insurance_rate,growth,collect_rate
11,1965,672,0,0,0
11,1966,664,0,-0.010714286,0
11,1967,669,0,0.006777108,0
11,1968,657,0,-0.016143498,0
11,1969,655,0,-0.002739726,0
11,1970,639,0,-0.021984733,0
11,1971,638,0,-0.001408451,0
11,1972,670,0,0.045141066,0
11,1973,669,0,-0.001343284,0
11,1974,665,0,-0.005381166,0
11,1975,661,0,-0.005413534,0
11,1976,655,0,-0.00816944,0
11,1977,656,0,0.001374046,0
11,1978,701,0,0.061737805,0
11,1979,761,0,0.07703281,0
11,1980,868,0,0.126544021,0
11,1981,880,0,0.012442396,0
11,1982,896,0,0.016363636,0
11,1983,964,0,0.068303571,0
11,1984,1127,0,0.052178423,0
11,1985,1343,0,0.072493345,0
11,1986,1488,0,0.097170514,0
11,1987,1787,0,0.070846774,0
11,1988,2107,0,0.061163962,0
11,1989,2312,0,0.087565259,0
11,1990,2653,0,0.132742215,0
11,1991,2877,0,0.075989446,0
11,1992,3402,0,0.064233577,0
11,1993,4510,0,0.103121693,0
11,1994,6523,0,0.091707317,0
11,1995,8144,0,0.08365476,0
11,1996,9579,0,0.068583006,0
11,1997,11019,0,0.13529596,0.755913314
11,1998,12451,0,0.116961612,0.705568957
11,1999,14054,0,0.115870211,0.740166733
11,2000,16350,0,0.067032873,0.716956208
11,2001,19155,0,0.05440367,0.759636612
11,2002,21852,0,0.126718872,0.80603229
11,2003,25312,0,0.062504119,0.76600938
11,2004,29674,0,0.075096397,0.724184955
11,2005,34191,0,0.136998719,0.735080019
11,2006,40117,0,0.055988418,0.71627193
11,2007,46507,0,0.063355685,0.666365251
11,2008,56328,0,0.09005526,0.61686247
11,2009,58140,0,0.028951853,0.550218792
11,2010,65683,0,0.116764706,0.540764856
11,2011,75835,0,0.139104487,0.522440986
11,2012,85306,0,0.112400607,0.567618286
11,2013,93997,0,0.091692261,0.588655569
11,2014,103400,0,0.090031597,0.575792051
11,2015,113073,0,0.084194391,0.565654419
11,2016,122749,0,0.077015733,0.669722045
11,2017,134994,0,0.089780772,0.663953094
11,2018,149843,0.80115088,0.098997733,0.85456658
11,2019,173205,0.80535815,0.060318867,0.800577145
11,2020,185026,0.797947265,0.061423746,0.744801962
12,1965,613,0,0,0
12,1966,606,0,-0.011190865,0
12,1967,610,0,0.006468647,0
12,1968,600,0,-0.016065574,0
12,1969,598,0,-0.003266667,0
12,1970,583,0,-0.002458194,0
12,1971,582,0,-0.001680961,0
12,1972,611,0,0.048831615,0
12,1973,610,0,-0.001603928,0
12,1974,607,0,-0.004819672,0
12,1975,603,0,-0.00645799,0
12,1976,598,0,-0.008126036,0
12,1977,599,0,0.071638796,0
12,1978,640,0,0.067078464,0
12,1979,732,0,0.140875,0
12,1980,820,0,0.117814208,0
12,1981,845,0,0.069878049,0
12,1982,865,0,0.073195266,0
12,1983,916,0,0.067780347,0
12,1984,1132,0,0.231091703,0
12,1985,1165,0,0.028568905,0
12,1986,1380,0,0.180858369,0
12,1987,1651,0,0.192449275,0
12,1988,1975,0,0.192319806,0
12,1989,2262,0,0.142410127,0
12,1990,2438,0,0.076251105,0
12,1991,2724,0,0.114963084,0
12,1992,3118,0,0.14174743,0
12,1993,4003,0,0.278159076,0
12,1994,5364,0,0.333195104,0
12,1995,6501,0,0.207729306,0
12,1996,7643,0,0.172151977,0
12,1997,8238,0,0.076292032,0.709339143
12,1998,9946,0,0.203185239,0.734197457
12,1999,11056,0,0.109370601,0.730580855
12,2000,12480,0,0.126222865,0.692952366
12,2001,14308,0,0.143544872,0.71123965
12,2002,16258,0,0.133561644,0.796368705
12,2003,18648,0,0.144064461,0.824697182
12,2004,21754,0,0.163228228,0.896114076
12,2005,25271,0,0.158437988,0.803766883
12,2006,28682,0,0.132277314,0.839797472
12,2007,34938,0,0.213753574,0.88823505
12,2008,41748,0,0.191018375,0.805287819
12,2009,44992,0,0.076150235,0.706340751
12,2010,52963,0,0.173621533,0.672855136
12,2011,55636,0,0.049459812,0.639438688
12,2012,65398,0,0.171952693,0.708500785
12,2013,68864,0,0.051938591,0.632102476
12,2014,73839,0,0.070798966,0.655157643
12,2015,81486,0,0.101491895,0.654530307
12,2016,87806,0,0.076008149,0.669468526
12,2017,96965,0,0.10222331,0.721348839
12,2018,103931,0.757148598,0.070403548,0.781165508
12,2019,111602,0.762447757,0.072332413,0.754318202
12,2020,118918,0.632723577,0.064243293,0.736686122
13,1965,573,0,0,0
13,1966,566,0,-0.011972077,0
13,1967,570,0,0.006925795,0
13,1968,561,0,-0.015473684,0
13,1969,559,0,-0.003493761,0
13,1970,545,0,-0.024543828,0
13,1971,544,0,-0.001798165,0
13,1972,571,0,0.048639706,0
13,1973,570,0,-0.001716287,0
13,1974,567,0,-0.005157895,0
13,1975,564,0,-0.005185185,0
13,1976,553,0,-0.019113475,0
13,1977,554,0,0.001772152,0
13,1978,592,0,0.067220217,0
13,1979,636,0,0.072837838,0
13,1980,726,0,0.138679245,0
13,1981,771,0,0.060743802,0
13,1982,800,0,0.036861219,0
13,1983,824,0,0.0294,0
13,1984,965,0,0.167694175,0
13,1985,1043,0,0.079212435,0
13,1986,1221,0,0.167248322,0
13,1987,1394,0,0.138853399,0
13,1988,1688,0,0.206685796,0
13,1989,1821,0,0.07721564,0
13,1990,2019,0,0.106556837,0
13,1991,2156,0,0.066498266,0
13,1992,2485,0,0.089545455,0
13,1993,3034,0,0.090650704,0
13,1994,4185,0,0.101779829,0
13,1995,4839,0,0.153146953,0
13,1996,5286,0,0.090526968,0
13,1997,5692,0,0.075270526,0.814657298
13,1998,6302,0,0.105024596,0.784022644
13,1999,7022,0,0.111964456,0.79480397
13,2000,7781,0,0.105927086,0.813630807
13,2001,8730,0,0.119524483,0.808557462
13,2002,10032,0,0.146158076,0.786906791
13,2003,11189,0,0.113024322,0.747984674
13,2004,12925,0,0.152049334,0.779759619
13,2005,14707,0,0.135114894,0.803566099
13,2006,16590,0,0.125473584,0.75941529
13,2007,19911,0,0.196177215,0.809805074
13,2008,24756,0,0.238466174,0.816481519
13,2009,28383,0,0.143579738,0.803097918
13,2010,32306,0,0.135452207,0.823001888
13,2011,35973,0,0.11123816,0.816193792
13,2012,39542,0,0.097229033,0.766989142
13,2013,42532,0,0.074103485,0.739312561
13,2014,46239,0,0.085414747,0.775564963
13,2015,52409,0,0.130768399,0.762377452
13,2016,56987,0,0.085604381,0.609692506
13,2017,65266,0,0.082373173,0.616143546
13,2018,71633,0.62143617,0.09560353,0.624081799
13,2019,75775,0.657753587,0.056666062,0.646904255
13,2020,79964,0.554242496,0.044176443,0.602026786
14,1965,624,0,0,0
14,1966,617,0,-0.01099359,0
14,1967,621,0,0.076353323,0
14,1968,610,0,-0.00173591,0
14,1969,608,0,-0.003213115,0
14,1970,593,0,-0.024177632,0
14,1971,592,0,-0.001652614,0
14,1972,622,0,0.049662162,0
14,1973,621,0,-0.001575563,0
14,1974,618,0,-0.0047343,0
14,1975,614,0,-0.006343042,0
14,1976,602,0,-0.001915309,0
14,1977,601,0,-0.001627907,0
14,1978,632,0,0.050549085,0
14,1979,755,0,0.190727848,0
14,1980,754,0,-0.001298013,0
14,1981,802,0,0.062387268,0
14,1982,830,0,0.074214464,0
14,1983,868,0,0.08586747,0
14,1984,1086,0,0.246129032,0
14,1985,1098,0,0.080828729,0
14,1986,1266,0,0.149945355,0
14,1987,1427,0,0.124628752,0
14,1988,1661,0,0.160700771,0
14,1989,1902,0,0.142191451,0
14,1990,2111,0,0.107686646,0
14,1991,2267,0,0.072420654,0
14,1992,2530,0,0.113692104,0
14,1993,3025,0,0.19173913,0
