area,year,salary,insurance_rate,growth,collect_rate
11,1965,672,0,0,0
11,1966,664,0,-0.010714286,0
11,1967,669,0,0.006777108,0
11,1968,657,0,-0.016143498,0
11,1969,655,0,-0.002739726,0
11,1970,639,0,-0.021984733,0
11,1971,638,0,-0.001408451,0
11,1972,670,0,0.045141066,0
11,1973,669,0,-0.001343284,0
11,1974,665,0,-0.005381166,0
11,1975,661,0,-0.005413534,0
11,1976,655,0,-0.00816944,0
11,1977,656,0,0.001374046,0
11,1978,701,0,0.061737805,0
11,1979,761,0,0.07703281,0
11,1980,868,0,0.126544021,0
11,1981,880,0,0.012442396,0
11,1982,896,0,0.016363636,0
11,1983,964,0,0.068303571,0
11,1984,1127,0,0.052178423,0
11,1985,1343,0,0.072493345,0
11,1986,1488,0,0.097170514,0
11,1987,1787,0,0.070846774,0
11,1988,2107,0,0.061163962,0
11,1989,2312,0,0.087565259,0
11,1990,2653,0,0.132742215,0
11,1991,2877,0,0.075989446,0
11,1992,3402,0,0.064233577,0
11,1993,4510,0,0.103121693,0
11,1994,6523,0,0.091707317,0
11,1995,8144,0,0.08365476,0
11,1996,9579,0,0.068583006,0
11,1997,11019,0,0.13529596,0.755913314
11,1998,12451,0,0.116961612,0.705568957
11,1999,14054,0,0.115870211,0.740166733
11,2000,16350,0,0.067032873,0.716956208
11,2001,19155,0,0.05440367,0.759636612
11,2002,21852,0,0.126718872,0.80603229
11,2003,25312,0,0.062504119,0.76600938
11,2004,29674,0,0.075096397,0.724184955
11,2005,34191,0,0.136998719,0.735080019
11,2006,40117,0,0.055988418,0.71627193
11,2007,46507,0,0.063355685,0.666365251
11,2008,56328,0,0.09005526,0.61686247
11,2009,58140,0,0.028951853,0.550218792
11,2010,65683,0,0.116764706,0.540764856
11,2011,75835,0,0.139104487,0.522440986
11,2012,85306,0,0.112400607,0.567618286
11,2013,93997,0,0.091692261,0.588655569
11,2014,103400,0,0.090031597,0.575792051
11,2015,113073,0,0.084194391,0.565654419
11,2016,122749,0,0.077015733,0.669722045
11,2017,134994,0,0.089780772,0.663953094
11,2018,149843,0.80115088,0.098997733,0.85456658
11,2019,173205,0.80535815,0.060318867,0.800577145
11,2020,185026,0.797947265,0.061423746,0.744801962
11,2021,194651,0.807947265,0.063137066,0.754801962
11,2022,211896.5739,0.817947265,0.063137066,0.764801962
11,2023,226761.6049,0.827947265,0.063137066,0.774801962
11,2024,242669.452,0.837947265,0.063137066,0.784801962
11,2025,259693.271,0.847947265,0.063137066,0.794801962
11,2026,277911.3501,0.857947265,0.063137066,0.804801962
11,2027,297407.4692,0.867947265,0.063137066,0.814801962
11,2028,318271.2858,0.877947265,0.063137066,0.824801962
11,2029,340598.747,0.887947265,0.063137066,0.834801962
11,2030,305561.3567,0.897947265,0.046300515,0.844801962
11,2031,321280.9658,0.9,0.046300515,0.854801962
11,2032,337809.2704,0.9,0.046300515,0.864801962
11,2033,355187.8739,0.9,0.046300515,0.874801962
11,2034,373460.52,0.9,0.046300515,0.884801962
11,2035,392673.2026,0.9,0.046300515,0.894801962
11,2036,412874.282,0.9,0.046300515,0.9
11,2037,434114.6063,0.9,0.046300515,0.9
11,2038,456447.6394,0.9,0.046300515,0.9
11,2039,479929.5958,0.9,0.046300515,0.9
11,2040,504619.5818,0.9,0.046300515,0.9
11,2041,530579.7445,0.9,0.046300515,0.9
11,2042,557875.4282,0.9,0.046300515,0.9
11,2043,586575.3389,0.9,0.046300515,0.9
11,2044,616751.7169,0.9,0.046300515,0.9
11,2045,648480.5192,0.9,0.046300515,0.9
11,2046,681841.6102,0.9,0.046300515,0.9
11,2047,716918.9632,0.9,0.046300515,0.9
11,2048,753800.8711,0.9,0.046300515,0.9
11,2049,792580.1694,0.9,0.046300515,0.9
11,2050,833354.4693,0.9,0.046300515,0.9
12,1965,613,0,0,0
12,1966,606,0,-0.011190865,0
12,1967,610,0,0.006468647,0
12,1968,600,0,-0.016065574,0
12,1969,598,0,-0.003266667,0
12,1970,583,0,-0.002458194,0
12,1971,582,0,-0.001680961,0
12,1972,611,0,0.048831615,0
12,1973,610,0,-0.001603928,0
12,1974,607,0,-0.004819672,0
12,1975,603,0,-0.00645799,0
12,1976,598,0,-0.008126036,0
12,1977,599,0,0.071638796,0
12,1978,640,0,0.067078464,0
12,1979,732,0,0.140875,0
12,1980,820,0,0.117814208,0
12,1981,845,0,0.069878049,0
12,1982,865,0,0.073195266,0
12,1983,916,0,0.067780347,0
12,1984,1132,0,0.231091703,0
12,1985,1165,0,0.028568905,0
12,1986,1380,0,0.180858369,0
12,1987,1651,0,0.192449275,0
12,1988,1975,0,0.192319806,0
12,1989,2262,0,0.142410127,0
12,1990,2438,0,0.076251105,0
12,1991,2724,0,0.114963084,0
12,1992,3118,0,0.14174743,0
12,1993,4003,0,0.278159076,0
12,1994,5364,0,0.333195104,0
12,1995,6501,0,0.207729306,0
12,1996,7643,0,0.172151977,0
12,1997,8238,0,0.076292032,0.709339143
12,1998,9946,0,0.203185239,0.734197457
12,1999,11056,0,0.109370601,0.730580855
12,2000,12480,0,0.126222865,0.692952366
12,2001,14308,0,0.143544872,0.71123965
12,2002,16258,0,0.133561644,0.796368705
12,2003,18648,0,0.144064461,0.824697182
12,2004,21754,0,0.163228228,0.896114076
12,2005,25271,0,0.158437988,0.803766883
12,2006,28682,0,0.132277314,0.839797472
12,2007,34938,0,0.213753574,0.88823505
12,2008,41748,0,0.191018375,0.805287819
12,2009,44992,0,0.076150235,0.706340751
12,2010,52963,0,0.173621533,0.672855136
12,2011,55636,0,0.049459812,0.639438688
12,2012,65398,0,0.171952693,0.708500785
12,2013,68864,0,0.051938591,0.632102476
12,2014,73839,0,0.070798966,0.655157643
12,2015,81486,0,0.101491895,0.654530307
12,2016,87806,0,0.076008149,0.669468526
12,2017,96965,0,0.10222331,0.721348839
12,2018,103931,0.757148598,0.070403548,0.781165508
12,2019,111602,0.762447757,0.072332413,0.754318202
12,2020,118918,0.632723577,0.064243293,0.736686122
12,2021,123528,0.642723577,0.052921271,0.746686122
12,2022,132108.2341,0.652723577,0.052921271,0.756686122
12,2023,139242.2502,0.662723577,0.052921271,0.766686122
12,2024,146761.5123,0.672723577,0.052921271,0.776686122
12,2025,154686.8244,0.682723577,0.052921271,0.786686122
12,2026,163040.1136,0.692723577,0.052921271,0.796686122
12,2027,171844.4913,0.702723577,0.052921271,0.806686122
12,2028,181124.3167,0.712723577,0.052921271,0.816686122
12,2029,190905.2648,0.722723577,0.052921271,0.826686122
12,2030,175353.4357,0.732723577,0.038808932,0.836686122
12,2031,182297.5986,0.742723577,0.038808932,0.846686122
12,2032,189516.7569,0.752723577,0.038808932,0.856686122
12,2033,197021.8008,0.762723577,0.038808932,0.866686122
12,2034,204824.0516,0.772723577,0.038808932,0.876686122
12,2035,212935.2789,0.782723577,0.038808932,0.886686122
12,2036,221367.7185,0.792723577,0.038808932,0.896686122
12,2037,230134.0908,0.802723577,0.038808932,0.9
12,2038,239247.6197,0.812723577,0.038808932,0.9
12,2039,248722.0531,0.822723577,0.038808932,0.9
12,2040,258571.683,0.832723577,0.038808932,0.9
12,2041,268811.3677,0.842723577,0.038808932,0.9
12,2042,279456.5536,0.852723577,0.038808932,0.9
12,2043,290523.299,0.862723577,0.038808932,0.9
12,2044,302028.2981,0.872723577,0.038808932,0.9
12,2045,313988.906,0.882723577,0.038808932,0.9
12,2046,326423.1655,0.892723577,0.038808932,0.9
12,2047,339349.8334,0.9,0.038808932,0.9
12,2048,352788.4097,0.9,0.038808932,0.9
12,2049,366759.1663,0.9,0.038808932,0.9
